
[00:00:00.000 --> 00:00:05.700]  我們這次第二部份就會講到我們個人和神的關係
[00:00:05.700 --> 00:00:08.700]  和個人和其他人的關係
[00:00:08.700 --> 00:00:12.560]  特別是我們的家人和教會的關係
[00:00:12.560 --> 00:00:15.700]  我們會繼續探討下去
[00:00:15.700 --> 00:00:21.680]  我們再一次的帶大家去看一看這個PowerPoint
[00:00:21.680 --> 00:00:26.300]  這個就是信徒生活的一個情況
[00:00:26.300 --> 00:00:30.300]  在《彼得前書》裏面就講到原來我們最重要的
[00:00:30.300 --> 00:00:34.120]  就是要怎樣過一個聖潔的生活
[00:00:34.120 --> 00:00:36.920]  在《彼得前書》第一章十三到二十一節裏面
[00:00:36.920 --> 00:00:38.700]  大家先聽我讀出
[00:00:38.700 --> 00:00:42.840]  「所以要約束你們的心謹慎自守
[00:00:42.840 --> 00:00:46.620]  專心盼望耶穌基督顯現的時候
[00:00:46.620 --> 00:00:49.260]  所帶給你們的恩
[00:00:49.260 --> 00:00:51.580]  你們記住信命的兒女
[00:00:51.580 --> 00:00:58.900]  就不要效法從前誤會無知的時候那放縱私欲的樣子
[00:00:58.900 --> 00:01:01.740]  那照你們的既是聖潔
[00:01:01.740 --> 00:01:05.780]  你們在一切所行的事上也要聖潔
[00:01:05.780 --> 00:01:07.860]  又說在經上記著說
[00:01:07.860 --> 00:01:10.780]  你們要聖潔 因為我是聖潔的
[00:01:10.780 --> 00:01:13.400]  你們既稱那不偏待人
[00:01:13.400 --> 00:01:16.720]  按各人行為審判人的主為父
[00:01:16.720 --> 00:01:21.460]  就當全敬畏的心度你們在世寄居的日子
[00:01:21.460 --> 00:01:23.840]  知道你們得贖
[00:01:23.840 --> 00:01:27.120]  脫去你們祖宗所傳流虛妄的行為
[00:01:27.120 --> 00:01:31.460]  不是憑著那能壞的金銀等物
[00:01:31.460 --> 00:01:34.340]  乃是憑著基督的補血
[00:01:34.340 --> 00:01:38.340]  如同無瑕之、無之污的羔羊之血
[00:01:38.340 --> 00:01:43.460]  基督在創世以前是預先被神所知道的
[00:01:43.460 --> 00:01:47.240]  卻在這末世才為你們顯現
[00:01:47.240 --> 00:01:49.080]  你們也恩著他
[00:01:49.080 --> 00:01:51.340]  信那叫他從死裡復活
[00:01:51.340 --> 00:01:53.480]  又吸偷榮耀的神
[00:01:53.480 --> 00:01:57.500]  叫你們的信心和盼望都在於神
[00:01:57.500 --> 00:02:01.100]  我們一口氣讀了13到21節裏面
[00:02:01.100 --> 00:02:04.200]  就講到我們曾經得救
[00:02:04.200 --> 00:02:08.120]  我們有八樣的祝福或者恩典
[00:02:08.120 --> 00:02:09.480]  我們擁有
[00:02:09.480 --> 00:02:12.140]  現在就要講到我們生活的部分
[00:02:12.140 --> 00:02:13.580]  講聖潔
[00:02:13.580 --> 00:02:16.060]  聖潔的意思是甚麼呢?
[00:02:16.060 --> 00:02:19.100]  剛才16、17節很清楚地講
[00:02:19.100 --> 00:02:21.140]  因為經上記著說你們要聖潔
[00:02:21.140 --> 00:02:22.980]  因為我是聖潔的
[00:02:22.980 --> 00:02:25.840]  今天神是聖潔
[00:02:25.840 --> 00:02:27.840]  所以我們要聖潔
[00:02:27.840 --> 00:02:32.640]  聖潔原來就是神自己本身的屬性
[00:02:32.640 --> 00:02:34.640]  如果神不聖潔的時候
[00:02:34.640 --> 00:02:37.140]  我們不可以扭向信任祂
[00:02:37.140 --> 00:02:38.940]  很簡單舉個例
[00:02:38.940 --> 00:02:41.440]  你知不知道
[00:02:41.440 --> 00:02:43.040]  那些色情場所
[00:02:43.040 --> 00:02:45.040]  他們開工之前擺甚麼?
[00:02:45.040 --> 00:02:46.240]  擺豬八戒
[00:02:46.240 --> 00:02:47.840]  因為夠色情
[00:02:47.840 --> 00:02:51.140]  現在台灣和國內都有一種叫做小三廟
[00:02:51.140 --> 00:02:51.940]  拜的是甚麼呢?
[00:02:51.940 --> 00:02:53.340]  是拜狐狸精
[00:02:53.340 --> 00:02:56.140]  希望可以吸引其他人去當中
[00:02:56.140 --> 00:02:57.840]  你會不會信任這些神呢?
[00:02:57.840 --> 00:02:59.540]  如果祂真是神的話
[00:02:59.540 --> 00:03:02.340]  所以今天我們的神是一個聖潔
[00:03:02.340 --> 00:03:04.740]  我們的神是聖潔的時候
[00:03:04.740 --> 00:03:07.040]  我們是屬於祂的
[00:03:07.040 --> 00:03:09.140]  所謂「虎父無院子」
[00:03:09.140 --> 00:03:11.440]  在第一堂裏面講過
[00:03:11.440 --> 00:03:13.040]  聖潔真正的意思
[00:03:13.040 --> 00:03:15.540]  不只是道德的高超不去犯罪
[00:03:15.540 --> 00:03:18.040]  而是分別出來的意思
[00:03:18.040 --> 00:03:19.940]  所以你留意到
[00:03:19.940 --> 00:03:22.940]  我們是要分別為聖的
[00:03:22.940 --> 00:03:26.240]  要分別才能夠成為聖潔
[00:03:26.240 --> 00:03:27.840]  記不記得上一堂講過
[00:03:27.840 --> 00:03:29.740]  當守安息日為聖日
[00:03:29.740 --> 00:03:30.940]  甚麼叫聖日呢?
[00:03:30.940 --> 00:03:32.940]  就是分別出來給神
[00:03:32.940 --> 00:03:35.240]  這個時候不要忘記
[00:03:35.240 --> 00:03:38.540]  今天我們的神都是對我們有這個要求
[00:03:38.540 --> 00:03:42.240]  《約翰第十七章》第十六到第十八節
[00:03:42.240 --> 00:03:46.440]  他們不屬世界正如我不屬世界一樣
[00:03:46.440 --> 00:03:49.740]  求你用真理使他們成聖
[00:03:49.740 --> 00:03:52.340]  你的道就是真理
[00:03:52.340 --> 00:03:54.040]  你怎樣猜我到世上
[00:03:54.040 --> 00:03:56.840]  我也照樣猜他們到世上
[00:03:56.840 --> 00:03:58.240]  這裏很清楚講
[00:03:58.240 --> 00:04:00.440]  我們怎樣可以得到聖潔的生命呢?
[00:04:00.440 --> 00:04:03.040]  原來就是靠神的真理
[00:04:03.040 --> 00:04:05.140]  來幫助我們
[00:04:05.140 --> 00:04:09.240]  神並不是拋下某些道德標準
[00:04:09.240 --> 00:04:11.040]  叫我們來到學校
[00:04:11.040 --> 00:04:12.640]  是將自己
[00:04:12.640 --> 00:04:16.240]  他本身就是一個聖潔的神
[00:04:16.240 --> 00:04:20.440]  這個時候他的兒子道成育身來到這個世界
[00:04:20.440 --> 00:04:23.040]  就是讓我們能夠有學校的榜樣
[00:04:23.040 --> 00:04:24.540]  我們要學他
[00:04:24.540 --> 00:04:29.140]  學習成聖的含義就是
[00:04:29.140 --> 00:04:30.740]  去學習基督
[00:04:30.740 --> 00:04:32.140]  去跟隨基督
[00:04:32.140 --> 00:04:34.140]  這個才是最重要
[00:04:34.140 --> 00:04:35.640]  我們要想一想
[00:04:35.640 --> 00:04:40.140]  成聖的那種動力在哪裏呢?
[00:04:40.140 --> 00:04:42.540]  我們分幾方面來看
[00:04:42.540 --> 00:04:44.340]  第一
[00:04:44.340 --> 00:04:46.640]  我們是要害怕的
[00:04:46.640 --> 00:04:48.140]  因為我們作為基督徒
[00:04:48.140 --> 00:04:51.640]  我們失去了這種的懼怕
[00:04:51.640 --> 00:04:54.640]  就是怕被審判
[00:04:54.640 --> 00:04:57.840]  請你留意《彼得前書》第一章第十七節
[00:04:57.840 --> 00:05:00.340]  道理們既稱那不偏待人
[00:05:00.340 --> 00:05:03.840]  按各人行為審判人的主為輔
[00:05:03.840 --> 00:05:06.240]  就當全敬畏的心
[00:05:06.240 --> 00:05:09.640]  道理們在世寄居的日子
