
[00:00:00.000 --> 00:00:02.000]  好,大英姊妹,平安!
[00:00:02.000 --> 00:00:07.000]  好,感謝神,讓我們可以一齊回到神的家裡,一齊去敬拜
[00:00:07.000 --> 00:00:11.000]  讓我們在聽道之先,我們一齊有祈禱
[00:00:11.000 --> 00:00:14.000]  親愛的主,我們去歡迎你
[00:00:14.000 --> 00:00:17.000]  歡迎你在我們的中間
[00:00:17.000 --> 00:00:20.000]  我們今天單單的去仰望你
[00:00:20.000 --> 00:00:25.000]  祝我們此時此刻,躺開一個心
[00:00:25.000 --> 00:00:28.000]  要歡迎你,你要對我們說話
[00:00:28.000 --> 00:00:31.000]  願真理的聖靈,解開你的真理
[00:00:31.000 --> 00:00:33.000]  你要讓我們聽得明白
[00:00:33.000 --> 00:00:37.000]  願意說的,聽的,都蒙你賜福
[00:00:37.000 --> 00:00:41.000]  願你就在我們生命當中,坐著為皇
[00:00:41.000 --> 00:00:44.000]  願你的話語,成為我們腳前的燈
[00:00:44.000 --> 00:00:47.000]  路上的光,來點燃我們的生命
[00:00:47.000 --> 00:00:50.000]  奉主耶穌基督,聖靈求,阿們
[00:00:50.000 --> 00:00:53.000]  好,大英姊妹,今天我選了一個講題
[00:00:53.000 --> 00:00:57.000]  改了個名字叫做「信仰單程路」
[00:00:57.000 --> 00:01:02.000]  即是說,這條路是一條路
[00:01:02.000 --> 00:01:05.000]  是一個方向去的
[00:01:05.000 --> 00:01:10.000]  可以選擇中途下車的這條路
[00:01:10.000 --> 00:01:14.000]  但是,如果我們說信耶穌
[00:01:14.000 --> 00:01:17.000]  去跟隨主做門徒的時候
[00:01:17.000 --> 00:01:21.000]  相信這條路是有不同的風光
[00:01:21.000 --> 00:01:27.000]  有人說,受浸之前
[00:01:27.000 --> 00:01:31.000]  就好像跟我們的主去拍拖
[00:01:31.000 --> 00:01:35.000]  有沒有聽過,說還沒準備好
[00:01:35.000 --> 00:01:37.000]  所以還沒受浸?
[00:01:37.000 --> 00:01:41.000]  有吧,可能我們都是過來人
[00:01:41.000 --> 00:01:46.000]  其實,信主決定去浸禮那一刻
[00:01:46.000 --> 00:01:50.000]  決定一生一世去跟隨神
[00:01:50.000 --> 00:01:57.000]  所以,有人覺得浸禮就是跟神去結婚
[00:01:57.000 --> 00:02:00.000]  是不是?跟主去結婚
[00:02:00.000 --> 00:02:03.000]  一生一世,永不分離
[00:02:03.000 --> 00:02:08.000]  這條路是直到永恆的
[00:02:08.000 --> 00:02:12.000]  所以,我們信仰這條路是一個方向
[00:02:12.000 --> 00:02:17.000]  單單去認識神,單單去跟隨神
[00:02:17.000 --> 00:02:22.000]  是一生一世,並且直到永恆的路
[00:02:22.000 --> 00:02:27.000]  教會編了《仕奴行傳》
[00:02:27.000 --> 00:02:30.000]  做我們講題的經文
