
[00:00:00.000 --> 00:00:02.000]  密通來禱告
[00:00:02.000 --> 00:00:05.680]  天父我們在祢面前敬拜祢
[00:00:05.680 --> 00:00:09.480]  主耶穌 我們來到祢面前聆聽祢的教誨
[00:00:09.480 --> 00:00:11.480]  聖靈求主祢開啟我們的心
[00:00:11.480 --> 00:00:13.960]  在我們裡面曉得祢的話語
[00:00:13.960 --> 00:00:16.960]  並且賜給我們一顆順從的心
[00:00:16.960 --> 00:00:18.960]  讓我們在我們的日常當中
[00:00:18.960 --> 00:00:20.960]  遵從主祢的話語
[00:00:20.960 --> 00:00:22.960]  把講的聽的都仰望在主的手中
[00:00:22.960 --> 00:00:24.480]  求主與我們同在
[00:00:24.480 --> 00:00:26.480]  禱告奉耶穌基督的聖名
[00:00:26.480 --> 00:00:28.480]  Amen
[00:00:29.480 --> 00:00:31.480]  在我們每個人的心當中呢
[00:00:31.480 --> 00:00:34.480]  其實都有一個小小的王國
[00:00:34.480 --> 00:00:37.480]  而在國王的寶座上呢
[00:00:37.480 --> 00:00:39.480]  也坐著一個小小的國王
[00:00:39.480 --> 00:00:41.480]  這個世界呢
[00:00:41.480 --> 00:00:43.480]  就是一個春秋戰國的世界
[00:00:43.480 --> 00:00:45.480]  人人呢都分疆列土
[00:00:45.480 --> 00:00:47.480]  自立為王
[00:00:47.480 --> 00:00:48.480]  強者講文習武
[00:00:48.480 --> 00:00:50.480]  遠交近攻
[00:00:50.480 --> 00:00:52.480]  合縱連橫
[00:00:52.480 --> 00:00:54.480]  巧取豪奪
[00:00:54.480 --> 00:00:57.480]  無非都是要成就自己一番霸業
[00:00:57.480 --> 00:01:00.480]  弱者呢就忍氣吞聲
[00:01:00.480 --> 00:01:02.480]  割地賠款
[00:01:02.480 --> 00:01:05.480]  力圖呢在亂世當中偷生
[00:01:05.480 --> 00:01:07.480]  竭力自保
[00:01:07.480 --> 00:01:10.480]  這個世界通行的就是叢林法則
[00:01:10.480 --> 00:01:13.480]  弱肉強食成王敗寇
[00:01:13.480 --> 00:01:15.480]  我們每一個人從小到大
[00:01:15.480 --> 00:01:18.480]  不論你喜歡還是不喜歡
[00:01:18.480 --> 00:01:23.480]  都要參加這一個血雨腥風的大戰
[00:01:23.480 --> 00:01:25.480]  而且先驚百戰
[00:01:25.480 --> 00:01:27.480]  在這種競爭的環境當中呢
[00:01:27.480 --> 00:01:29.480]  造就了人人
[00:01:29.480 --> 00:01:31.480]  增進的習氣
[00:01:31.480 --> 00:01:35.480]  也練就了一身近距離格鬥的技能
[00:01:35.480 --> 00:01:38.480]  純屬的成為本能
[00:01:38.480 --> 00:01:40.480]  而且呢樂此不疲
[00:01:40.480 --> 00:01:42.480]  與天鬥與地鬥與人鬥
[00:01:42.480 --> 00:01:44.480]  其樂無窮
[00:01:44.480 --> 00:01:45.480]  然而有一天呢
[00:01:45.480 --> 00:01:47.480]  有一位人王征服了你
[00:01:47.480 --> 00:01:49.480]  而人王呢並沒有
[00:01:49.480 --> 00:01:51.480]  馬上的讓你退位
[00:01:51.480 --> 00:01:53.480]  他給你時間
[00:01:53.480 --> 00:01:56.480]  讓你甘心樂意的退位為止
[00:01:56.480 --> 00:01:58.480]  因此呢我們就會理解
[00:01:58.480 --> 00:02:00.480]  在歷史當中在現實裡面
[00:02:00.480 --> 00:02:04.480]  教會為什麼常常的硝煙瀰漫
[00:02:04.480 --> 00:02:07.480]  因為教會作為基督徒的群體
[00:02:07.480 --> 00:02:11.480]  充滿了沒有真心降服於
[00:02:11.480 --> 00:02:14.480]  王的弟兄姊妹
[00:02:14.480 --> 00:02:16.480]  我們仍然在開疆拓土
[00:02:16.480 --> 00:02:18.480]  仍然在攻伐不止
[00:02:18.480 --> 00:02:20.480]  我們還都有小小的
[00:02:20.480 --> 00:02:23.480]  國王在我們裡面
[00:02:23.480 --> 00:02:24.480]  我們已被征服
[00:02:24.480 --> 00:02:28.480]  但仍然留戀我們的王座
[00:02:28.480 --> 00:02:30.480]  我們也許是亡國之君
[00:02:30.480 --> 00:02:34.480]  但仍然貪戀我們裡面的主權
[00:02:34.480 --> 00:02:36.480]  我們靈性好的時候
[00:02:36.480 --> 00:02:37.480]  我們可以退位
[00:02:37.480 --> 00:02:38.480]  軟弱的時候呢
[00:02:38.480 --> 00:02:40.480]  我們又篡權
