
[00:00:00.000 --> 00:00:02.000]  各位兄姊妹,聖誕快樂!
[00:00:02.000 --> 00:00:04.000]  各位弟兄姊妹,聖誕快樂!
[00:00:04.000 --> 00:00:08.000]  或者我們都和身邊的肢體揮揮手說一聲聖誕快樂,好嗎?
[00:00:08.000 --> 00:00:10.000]  或者我們都和身邊的肢體揮揮手說一聲聖誕快樂,好嗎?
[00:00:10.000 --> 00:00:16.000]  今天我們能夠聚首一堂慶祝主耶穌基督的降生
[00:00:16.000 --> 00:00:20.000]  今天我們能聚首一堂慶祝主耶穌基督的降生
[00:00:20.000 --> 00:00:25.000]  這一天其實是一年裏面,我覺得最美好的一個節日
[00:00:25.000 --> 00:00:28.000]  我覺得這是一年裏,我覺得最美好的節日
[00:00:28.000 --> 00:00:32.000]  因爲這個節日也是我們真正盼望的源頭
[00:00:32.000 --> 00:00:36.000]  因爲這個節日也是我們真正盼望的源頭
[00:00:36.000 --> 00:00:41.000]  對我來說,我覺得聖誕節是很好的一個節日
[00:00:41.000 --> 00:00:45.000]  不單止是因爲燈飛、禮物,甚至聖誕大餐
[00:00:45.000 --> 00:00:49.000]  對我來說,聖誕節是最美好的節日
[00:00:49.000 --> 00:00:52.000]  不單是因爲聖誕燈飛、禮物和大餐
[00:00:52.000 --> 00:01:00.000]  而是真的因爲這個節日本身告訴我們什麼纔是盼望
[00:01:00.000 --> 00:01:05.000]  而是真的因爲這個節日本身告訴我們什麼纔是真正的盼望
[00:01:05.000 --> 00:01:10.000]  我們今天的講題就是盼望的來臨,盼望在耶穌身上
[00:01:10.000 --> 00:01:14.000]  我們今天的講題是盼望來臨,盼望在耶穌身上
[00:01:14.000 --> 00:01:17.000]  我常常覺得,每一次講到盼望
[00:01:17.000 --> 00:01:21.000]  我們很容易混淆了兩個的觀念
[00:01:21.000 --> 00:01:24.000]  我常常覺得,每一次講到盼望
[00:01:24.000 --> 00:01:27.000]  我們很容易混淆了兩個的觀念
[00:01:27.000 --> 00:01:31.000]  就是願望和盼望
[00:01:31.000 --> 00:01:33.000]  就是願望和盼望
[00:01:33.000 --> 00:01:35.000]  那願望是什麼呢?
[00:01:35.000 --> 00:01:36.000]  願望是什麼呢?
[00:01:36.000 --> 00:01:41.000]  我會想象,舉個例子,你望着一個聖誕節
[00:01:41.000 --> 00:01:43.000]  可能有一個聖誕老人的廣告
[00:01:43.000 --> 00:01:48.000]  你去幻想今年你想要的禮物,不知道會不會來呢?
[00:01:48.000 --> 00:01:53.000]  舉個例子,就好像你看到聖誕老人的廣告
[00:01:53.000 --> 00:01:59.000]  你在想象今年會不會真的有一份你想要的禮物
[00:01:59.000 --> 00:02:01.000]  但是盼望又是什麼呢?
[00:02:01.000 --> 00:02:03.000]  但盼望又是什麼呢?
[00:02:03.000 --> 00:02:07.000]  我會說盼望是更加深刻和有力量的
[00:02:07.000 --> 00:02:10.000]  我會說盼望是更深刻和有力量的
[00:02:10.000 --> 00:02:13.000]  它不是基於我們的想象和幻想
[00:02:13.000 --> 00:02:15.000]  它不是基於我們的想象和幻想
[00:02:15.000 --> 00:02:18.000]  而是基於我們自己出於神的
[00:02:18.000 --> 00:02:20.000]  而是基於出於神的
[00:02:20.000 --> 00:02:22.000]  而較早前的信息我們說過了
[00:02:22.000 --> 00:02:24.000]  盼望其實有名稱的
[00:02:24.000 --> 00:02:26.000]  它的名稱是耶穌
[00:02:26.000 --> 00:02:30.000]  較早前我們的信息說過,盼望的名字是耶穌
[00:02:30.000 --> 00:02:32.000]  今年現在是12月了
[00:02:32.000 --> 00:02:35.000]  說起盼望我就想起去年的12月
[00:02:35.000 --> 00:02:39.000]  現在已經12月,說到盼望我想起去年的12月
[00:02:39.000 --> 00:02:42.000]  去年有些弟兄姐妹在我家
[00:02:42.000 --> 00:02:45.000]  我們講講我們的新年願望是什麼
[00:02:45.000 --> 00:02:48.000]  去年12月有些弟兄姐妹到家裏
[00:02:48.000 --> 00:02:50.000]  我們在說新年願望
[00:02:50.000 --> 00:02:52.000]  我記得我去年的新年願望
[00:02:52.000 --> 00:02:54.000]  New Year Resolution是什麼
[00:02:54.000 --> 00:02:57.000]  我記得我去年的新年願望是什麼
[00:02:57.000 --> 00:02:59.000]  我記得我作了八個字
[00:02:59.000 --> 00:03:02.000]  叫逆轉年齡,回復青春
[00:03:02.000 --> 00:03:05.000]  有八個字,逆轉年齡,回復青春
[00:03:05.000 --> 00:03:08.000]  我不是想去掉面上的咒文
[00:03:08.000 --> 00:03:11.000]  我不是想消除臉上所有的咒文
[00:03:11.000 --> 00:03:14.000]  而是我想做一下運動,改善一下飲食
[00:03:14.000 --> 00:03:16.000]  讓自己健康一點,有活力一點
[00:03:16.000 --> 00:03:19.000]  而是希望通過做運動,改善飲食
[00:03:19.000 --> 00:03:21.000]  讓自己更有活力
[00:03:21.000 --> 00:03:23.000]  有力氣去做自己想做的事
[00:03:23.000 --> 00:03:25.000]  更有力氣做想做的事
[00:03:25.000 --> 00:03:27.000]  我很有信心的,我定了一個計劃
[00:03:27.000 --> 00:03:30.000]  我很有信心的制定了一個計劃
[00:03:30.000 --> 00:03:32.000]  我想着每天做一下運動
[00:03:32.000 --> 00:03:34.000]  想着每天運動,少喫點甜品
