
[00:00:00.000 --> 00:00:10.600]  好,感謝主,給我們今天很特別的時間,很特別的背景去崇拜
[00:00:10.600 --> 00:00:18.000]  我們剛才連回教會最美最特別的佈置,不知道你們有沒有見過這麼美的
[00:00:18.000 --> 00:00:21.000]  很多神學在背後,很美,很用功
[00:00:21.000 --> 00:00:26.000]  所以我們都是願意繼續獻上最好的給我們的主耶穌
[00:00:26.000 --> 00:00:29.000]  今天講到的題目是:耶穌基督復活了
[00:00:30.000 --> 00:00:34.000]  我們作為基督徒,一定要確定一個信息
[00:00:34.000 --> 00:00:40.000]  我們每個人都是,回到教會,如果沒有一些很實際的意義
[00:00:40.000 --> 00:00:46.000]  或者沒有這麼重要的東西,我們未必會花這麼多時間、精力、金錢
[00:00:46.000 --> 00:00:51.000]  或者犧牲了很多玩樂,或者很多更加刺激的東西
[00:00:51.000 --> 00:00:54.000]  就正如,我想問大家有沒有人是讀書的時候
[00:00:54.000 --> 00:00:59.000]  你覺得讀完書,沒有將來升學的機會,你會不會努力讀書?
[00:00:59.000 --> 00:01:04.000]  如果做完一個月,沒得出糧,你會不會很努力工作?
[00:01:04.000 --> 00:01:07.000]  如果不停地照顧寶寶,照顧來照顧去都這麼大
[00:01:07.000 --> 00:01:11.000]  經常要換尿片、換屎片,他不大的,你會不會繼續?
[00:01:11.000 --> 00:01:15.000]  不會的,他有將來的,我們都有將來的
[00:01:15.000 --> 00:01:18.000]  我們的服事、我們的生活、我們的信仰
[00:01:18.000 --> 00:01:23.000]  並不是這樣過了就算了,因為耶穌復活
[00:01:23.000 --> 00:01:28.000]  在全世界裡面,有很多人有不同的信仰
[00:01:28.000 --> 00:01:31.000]  但是基督徒所相信的耶穌是很獨特的
[00:01:31.000 --> 00:01:35.000]  因為祂生前預言了自己會復活
[00:01:35.000 --> 00:01:38.000]  祂說復活在祂,生命也在祂
[00:01:38.000 --> 00:01:46.000]  祂的人生的榜樣成為了全世界很多很多人的一種影響
[00:01:46.000 --> 00:01:51.000]  今天我們要學習的領袖、重要人物就是耶穌
[00:01:51.000 --> 00:01:57.000]  當然其他人很偉大,某某總統、某某偉人都很偉大
[00:01:57.000 --> 00:02:00.000]  但這些人的偉大並不及耶穌
[00:02:00.000 --> 00:02:03.000]  甚至這些偉大人物都是向耶穌學校
[00:02:03.000 --> 00:02:09.000]  我們怎樣做一個父母、怎樣做一個好的愛人
[00:02:09.000 --> 00:02:13.000]  無論是拍拖還是結婚,你都要學習耶穌的愛、犧牲的愛
[00:02:13.000 --> 00:02:16.000]  人生有沒有什麼目的、有沒有什麼意義
[00:02:16.000 --> 00:02:19.000]  我們都要在耶穌裡面才能找到
[00:02:19.000 --> 00:02:23.000]  剛才說到讀了一段經文
[00:02:23.000 --> 00:02:28.000]  前書十五章,分開三個大點跟大家分享
[00:02:28.000 --> 00:02:32.000]  第一是應驗預言的耶穌
[00:02:32.000 --> 00:02:34.000]  在這兩節經文裡面說到
[00:02:34.000 --> 00:02:37.000]  我當日所領受又傳給你們的
[00:02:37.000 --> 00:02:43.000]  第一就是基督照聖經所說為我們的罪死了
[00:02:43.000 --> 00:02:48.000]  而且埋葬了又照聖經所說第三日復活了
[00:02:48.000 --> 00:02:57.000]  保羅所說到耶穌死而復活這件事是有聖經的根據
[00:02:57.000 --> 00:03:02.000]  不是這件事發生之後才去記載
[00:03:02.000 --> 00:03:04.000]  那是一個歷史的技術
[00:03:04.000 --> 00:03:09.000]  但是保羅說到是照著聖經所說的
[00:03:09.000 --> 00:03:11.000]  因為之前已經出現了
[00:03:11.000 --> 00:03:14.000]  在舊約聖經裡面特別指的是舊約的聖經
[00:03:14.000 --> 00:03:18.000]  今天我們看聖經有舊約和新約兩部分
[00:03:18.000 --> 00:03:23.000]  耶穌死而復活是舊約聖經已經有記載
[00:03:23.000 --> 00:03:25.000]  神學家有不同的看法
[00:03:25.000 --> 00:03:28.000]  有些神學家認為有大概二百處
[00:03:28.000 --> 00:03:32.000]  二百個地方的舊約經文說到耶穌的預言
[00:03:32.000 --> 00:03:37.000]  有些闊一些的定義認為大概有四百處這麼多的地方
[00:03:37.000 --> 00:03:41.000]  去說到關於耶穌的出生死亡復活這些的事
[00:03:41.000 --> 00:03:46.000]  這些經文有些是我們耳熟能詳
[00:03:46.000 --> 00:03:49.000]  例如以賽亞書第五十三章
[00:03:49.000 --> 00:03:52.000]  這段經文有時候我們在壽苦節也會說
[00:03:52.000 --> 00:03:54.000]  或者大家有讀到
[00:03:54.000 --> 00:03:58.000]  他被藐視被人嫌棄多受痛苦常經憂患
[00:03:58.000 --> 00:04:03.000]  他被藐視好像被人掩面不看的一樣
[00:04:03.000 --> 00:04:05.000]  我們不尊重他
[00:04:05.000 --> 00:04:07.000]  他承認擔當我們的憂患
[00:04:07.000 --> 00:04:09.000]  背負我們的痛苦
[00:04:09.000 --> 00:04:11.000]  我們以為他是受責罰
[00:04:11.000 --> 00:04:13.000]  被神擊打苦袋了
[00:04:13.000 --> 00:04:17.000]  誰知他是為我們的過犯受害
[00:04:17.000 --> 00:04:19.000]  為我們的罪孽壓傷
[00:04:19.000 --> 00:04:22.000]  因他受的刑罰我們得平安
[00:04:22.000 --> 00:04:25.000]  因他受的鞭傷我們得醫治
[00:04:25.000 --> 00:04:27.000]  在舊約的神學來說
[00:04:27.000 --> 00:04:29.000]  這是一個很獨特的形容
[00:04:29.000 --> 00:04:31.000]  因為在形容一個神的僕人
[00:04:31.000 --> 00:04:33.000]  一個神很喜悅的一個人
[00:04:33.000 --> 00:04:36.000]  但是他卻是受苦
[00:04:36.000 --> 00:04:41.000]  在舊約的神學裡面是一個並不吻合的地方
[00:04:41.000 --> 00:04:44.000]  因為舊約的神學比較直一點
[00:04:44.000 --> 00:04:46.000]  一個蒙福的人一個神的僕人
[00:04:46.000 --> 00:04:49.000]  應該是很被重視
[00:04:49.000 --> 00:04:51.000]  得到很多好的照顧
[00:04:51.000 --> 00:04:54.000]  好像弱勢一樣升到一個很高的地位
[00:04:54.000 --> 00:04:57.000]  是不會這樣受苦受害
[00:04:57.000 --> 00:05:00.000]  但是這裡所形容的一個
[00:05:00.000 --> 00:05:04.000]  唯有去到耶穌基督被釘在十字架
[00:05:04.000 --> 00:05:07.000]  我們明白這段經文說什麼
[00:05:07.000 --> 00:05:09.000]  他這樣的受苦
[00:05:09.000 --> 00:05:10.000]  這樣的被害
[00:05:10.000 --> 00:05:12.000]  不是他自己做錯了事情
[00:05:12.000 --> 00:05:14.000]  因為這個經文說到
[00:05:14.000 --> 00:05:16.000]  別人看到這樣一個受苦的人
[00:05:16.000 --> 00:05:18.000]  以為他做錯了事
[00:05:18.000 --> 00:05:21.000]  他自己因為做錯而被責罰
[00:05:21.000 --> 00:05:22.000]  但是我們明白
[00:05:22.000 --> 00:05:24.000]  在耶穌的身上的應驗
[00:05:24.000 --> 00:05:26.000]  就是因為他是義僕
[00:05:26.000 --> 00:05:29.000]  他自己所付的代價不是自己做錯事情
[00:05:29.000 --> 00:05:32.000]  是為了你和我的罪責
[00:05:32.000 --> 00:05:34.000]  我們都做錯了很多事情
[00:05:34.000 --> 00:05:37.000]  每一個人都做錯了很多很多的事情
[00:05:37.000 --> 00:05:42.000]  不需要大家去說
[00:05:42.000 --> 00:05:45.000]  我相信你自己知道自己做錯了什麼
[00:05:45.000 --> 00:05:47.000]  對人的心態是怎麼樣
[00:05:47.000 --> 00:05:50.000]  甚至在行為上實際上做了很多事情
[00:05:50.000 --> 00:05:54.000]  這個是應該受到刑罰的
[00:05:54.000 --> 00:05:57.000]  但是耶穌卻為我們付上了代價
[00:05:57.000 --> 00:06:04.000]  這段經文大概在主耶穌來世前700年前就寫了
[00:06:04.000 --> 00:06:06.000]  這是一個預言
[00:06:06.000 --> 00:06:08.000]  將來會有一個這樣的僕人受苦
[00:06:08.000 --> 00:06:10.000]  為了我們的緣故
[00:06:10.000 --> 00:06:11.000]  他受刑罰
[00:06:11.000 --> 00:06:12.000]  我們得到平安
[00:06:12.000 --> 00:06:13.000]  他受鞭傷
[00:06:13.000 --> 00:06:15.000]  我們得到醫治
[00:06:15.000 --> 00:06:18.000]  今天我們都是需要平安
[00:06:18.000 --> 00:06:19.000]  我們需要得到醫治
[00:06:19.000 --> 00:06:21.000]  這段經文就是說
[00:06:21.000 --> 00:06:23.000]  耶穌基督所受的
[00:06:23.000 --> 00:06:25.000]  就帶來平安和醫治
[00:06:25.000 --> 00:06:26.000]  因為他明白我們
[00:06:26.000 --> 00:06:27.000]  因為他是神
[00:06:27.000 --> 00:06:30.000]  他自己所受的痛苦能夠復原
[00:06:30.000 --> 00:06:32.000]  能夠有赦免
[00:06:32.000 --> 00:06:33.000]  有很多的恩典在裡面
[00:06:33.000 --> 00:06:39.000]  我們藉著他都得到平安和醫治
[00:06:39.000 --> 00:06:40.000]  另一段經文
[00:06:40.000 --> 00:06:43.000]  舉例在詩篇69篇
[00:06:43.000 --> 00:06:46.000]  他們拿苦膽給他量食物
[00:06:46.000 --> 00:06:49.000]  我喝了他們拿醋給我喝
[00:06:49.000 --> 00:06:51.000]  我們前一晚星期五晚都是這樣
[00:06:51.000 --> 00:06:56.000]  醋醃過的食物嘗試吃下去體會那種味道
[00:06:56.000 --> 00:06:58.000]  就是耶穌基督被釘在十字架上
[00:06:58.000 --> 00:07:02.000]  有人拿醋給他喝
[00:07:02.000 --> 00:07:06.000]  這個預言大概是主前一千年左右
[00:07:06.000 --> 00:07:09.000]  耶穌來之前一千年就寫了這件事
[00:07:09.000 --> 00:07:11.000]  看起來不太明白是什麼
[00:07:11.000 --> 00:07:14.000]  不過如果我們知道這是其中一個關於耶穌的預言的話
[00:07:14.000 --> 00:07:16.000]  當然還有很多
[00:07:16.000 --> 00:07:17.000]  譬如詩篇22篇都有
[00:07:17.000 --> 00:07:19.000]  很多很多的經文
[00:07:19.000 --> 00:07:21.000]  講到耶穌的出生
[00:07:21.000 --> 00:07:23.000]  耶穌的成長
[00:07:23.000 --> 00:07:24.000]  耶穌的死亡
[00:07:24.000 --> 00:07:25.000]  復活
[00:07:25.000 --> 00:07:27.000]  都有被預言出來
[00:07:27.000 --> 00:07:33.000]  更左一段經文是創世紀三章
[00:07:33.000 --> 00:07:35.000]  裡面講到
[00:07:35.000 --> 00:07:38.000]  我要叫你和女人彼此為仇
[00:07:38.000 --> 00:07:41.000]  你的後裔和女人的後裔也彼此為仇
[00:07:41.000 --> 00:07:43.000]  女人的後裔要傷你的頭
[00:07:43.000 --> 00:07:45.000]  你要傷她的腳筋
[00:07:45.000 --> 00:07:50.000]  這裡講到神去責罰那條蛇或魔鬼在背後的工作
[00:07:50.000 --> 00:07:52.000]  魔鬼撒旦被責罰
[00:07:52.000 --> 00:07:57.000]  講到魔鬼撒旦和女人的後裔成為一個仇敵
[00:07:57.000 --> 00:07:59.000]  在聖經的講法裡
[00:07:59.000 --> 00:08:01.000]  多數是講男人的後裔
[00:08:01.000 --> 00:08:03.000]  這裡特別講到女人的後裔
[00:08:03.000 --> 00:08:08.000]  似乎暗指著童貞女瑪利亞所生的後裔耶穌
[00:08:08.000 --> 00:08:12.000]  這種彼此的傷
[00:08:12.000 --> 00:08:18.000]  女人的後裔要傷你的額頭
[00:08:18.000 --> 00:08:22.000]  魔鬼撒旦受到很重的傷害
[00:08:22.000 --> 00:08:25.000]  因為在十字架上粉碎了他的權勢
[00:08:25.000 --> 00:08:27.000]  魔鬼撒旦已經受到重傷
[00:08:27.000 --> 00:08:29.000]  將來他一定要進入永盈
[00:08:29.000 --> 00:08:32.000]  但當他還沒有進入永盈
[00:08:32.000 --> 00:08:34.000]  仍然有他的能力去攻擊人
[00:08:34.000 --> 00:08:36.000]  去做很多破壞的事情
[00:08:36.000 --> 00:08:38.000]  不過他是受了重傷
[00:08:38.000 --> 00:08:40.000]  他不會有完全的獲勝
[00:08:40.000 --> 00:08:42.000]  但耶穌仍然受傷
[00:08:42.000 --> 00:08:45.000]  耶穌在十字架上好像受了腳傷一樣
[00:08:45.000 --> 00:08:47.000]  他會復原
[00:08:47.000 --> 00:08:49.000]  好像我兩隻腳都做過手術
[00:08:49.000 --> 00:08:50.000]  我都復原了
[00:08:50.000 --> 00:08:51.000]  我都可以打球
[00:08:51.000 --> 00:08:52.000]  我可以做很多運動
[00:08:52.000 --> 00:08:53.000]  是可以復原的
[00:08:53.000 --> 00:08:54.000]  不是一個重傷
[00:08:54.000 --> 00:08:57.000]  不過耶穌基督都是受傷
[00:08:57.000 --> 00:08:59.000]  這個寓言是講到耶穌基督在十字架上
[00:08:59.000 --> 00:09:02.000]  所成就的救恩
[00:09:02.000 --> 00:09:05.000]  這個比剛才講的經文更加遠
[00:09:05.000 --> 00:09:09.000]  更加長時間的書成
[00:09:09.000 --> 00:09:13.000]  而這件事發生在創世起初的時候
[00:09:13.000 --> 00:09:15.000]  更加是一個遠古遠古的時候
[00:09:15.000 --> 00:09:17.000]  古子保羅說
[00:09:17.000 --> 00:09:21.000]  我們所傳的耶穌復活這件事情
[00:09:21.000 --> 00:09:23.000]  是一個已經有寓言
[00:09:23.000 --> 00:09:27.000]  是很久之前已經講了出來的事情
[00:09:27.000 --> 00:09:29.000]  並不是臨時
[00:09:29.000 --> 00:09:33.000]  或者並不是我們憑空想像出來
[00:09:33.000 --> 00:09:36.000]  古子我們的信仰是有根有記
[00:09:36.000 --> 00:09:37.000]  一個理性的人
[00:09:37.000 --> 00:09:41.000]  如果真的去看這些寓言的時候
[00:09:41.000 --> 00:09:43.000]  或者稍後第二點講到歷史的時候
[00:09:43.000 --> 00:09:45.000]  我們的理性應該被滿足
[00:09:45.000 --> 00:09:48.000]  知道我們的信仰並不是一個迷信
[00:09:48.000 --> 00:09:50.000]  而是一個有根基的信仰
[00:09:50.000 --> 00:09:51.000]  這些寓言
[00:09:51.000 --> 00:09:53.000]  每一個寓言都是很重要
[00:09:53.000 --> 00:09:55.000]  何況聖經裡面是充滿了
[00:09:55.000 --> 00:09:58.000]  很保守的200個左右的寓言
[00:09:58.000 --> 00:10:00.000]  我不知道大家有沒有去過
