
[00:00:00.000 --> 00:00:04.200]  今天我們講一個比較特別的題目
[00:00:04.200 --> 00:00:05.720]  就是捐獻
[00:00:05.720 --> 00:00:11.160]  今天我們去到哥林多後書第八和第九章的經文
[00:00:11.160 --> 00:00:16.640]  而今天的題目是捐獻的恩典
[00:00:16.640 --> 00:00:23.920]  我不知道大家有沒有試過在朋友的結婚當兄弟或姊妹
[00:00:23.920 --> 00:00:29.000]  不知道大家當兄弟或姊妹時的經驗是怎樣
[00:00:29.000 --> 00:00:34.840]  又不知道你們當兄弟或姊妹時的心情會是怎樣
[00:00:34.840 --> 00:00:37.480]  我沒有試過當姊妹
[00:00:37.480 --> 00:00:40.720]  不過我試過很多次當兄弟
[00:00:40.720 --> 00:00:44.120]  當兄弟其中一個最重要的責任
[00:00:44.120 --> 00:00:48.440]  就是要支持新郎哥去接新娘
[00:00:48.440 --> 00:00:50.680]  而很多時候我們在接新娘的時候
[00:00:50.680 --> 00:00:55.720]  我們會發現兄弟要和新郎哥一起過關
[00:00:55.720 --> 00:00:58.520]  讓他可以取得美人歸
[00:00:58.520 --> 00:01:02.320]  見過接新娘的朋友都會知道
[00:01:02.320 --> 00:01:04.680]  在接新娘當兄弟的時候
[00:01:04.680 --> 00:01:08.640]  很多時候都需要過五關斬六將
[00:01:08.640 --> 00:01:11.840]  我記得有一次當我當兄弟的時候
[00:01:11.840 --> 00:01:16.240]  一開始我們要戴一些很奇怪的假髮
[00:01:16.240 --> 00:01:18.720]  戴完這些奇怪的假髮之後
[00:01:18.720 --> 00:01:21.160]  就要一起做一件我做得不好的事
[00:01:21.160 --> 00:01:23.360]  就是做掌上壓
[00:01:23.360 --> 00:01:26.840]  誰知戴著假髮做完掌上壓之後
[00:01:26.840 --> 00:01:30.560]  還要戴著假髮跳舞
[00:01:30.560 --> 00:01:32.200]  大家應該不會想看到我跳舞
[00:01:32.200 --> 00:01:33.640]  所以我不會跳給大家看
[00:01:33.640 --> 00:01:35.800]  接著我們做完這些之後
[00:01:35.800 --> 00:01:41.160]  為了表示一對新人將會甘苦與共
[00:01:41.160 --> 00:01:46.160]  所以兄弟要吃甜、酸、苦、辣的食物
[00:01:46.160 --> 00:01:49.800]  所以我們作為兄弟就要吃甜、苦、酸、辣
[00:01:49.800 --> 00:01:54.640]  有一次我甚至要去吃一隻昆蟲
[00:01:54.640 --> 00:01:58.880]  大家不需要擔心,那隻昆蟲是認可食用的
[00:01:58.880 --> 00:02:02.640]  只是平時認可食用我們都未必會吃昆蟲
[00:02:02.640 --> 00:02:10.040]  之後當然要跟新郎哥一起想想愛的宣言
[00:02:10.040 --> 00:02:12.320]  我們搞盡腦汁
[00:02:12.320 --> 00:02:15.000]  有一次還要作詩
[00:02:15.000 --> 00:02:16.360]  真的考起我
[00:02:16.360 --> 00:02:18.440]  因為大家知道我的中文程度不是很高
[00:02:18.440 --> 00:02:20.440]  就要跟新郎哥一起作詩
[00:02:20.440 --> 00:02:22.160]  搞了一輪之後
[00:02:22.160 --> 00:02:26.040]  終於接到新娘了
[00:02:26.040 --> 00:02:27.080]  我們很開心
[00:02:27.080 --> 00:02:31.440]  我記得有一次在接新娘的過程中
[00:02:31.440 --> 00:02:35.560]  新郎哥就來搭我們每個兄弟的肩膀
[00:02:35.560 --> 00:02:38.800]  真是辛苦你了,謝謝你
[00:02:38.800 --> 00:02:42.280]  但有一次有個兄弟我覺得他說得很好
[00:02:42.280 --> 00:02:47.280]  他說兄弟能夠在你的生命的大日子裡
[00:02:47.280 --> 00:02:49.200]  跟你一起這樣去經歷
[00:02:49.200 --> 00:02:50.560]  一點都不辛苦
[00:02:50.560 --> 00:02:54.680]  是榮幸,是恩典
[00:02:54.680 --> 00:02:58.440]  今天我們的題目叫做捐獻的恩典
[00:02:58.440 --> 00:03:03.280]  很多時候這個世界覺得捐獻是單方面付出
[00:03:03.280 --> 00:03:05.760]  特別是如果有捐錢的事
[00:03:05.760 --> 00:03:08.040]  最好不要找我
[00:03:08.040 --> 00:03:12.840]  捐錢好,不過最重要捐錢的那個最好不要是我
[00:03:12.840 --> 00:03:16.160]  有時候我不知道大家有沒有參與過賣旗
[00:03:16.160 --> 00:03:17.880]  當你賣旗的時候
[00:03:17.880 --> 00:03:19.560]  有些人看到你會怎樣
[00:03:19.560 --> 00:03:20.640]  刻意避開
[00:03:20.640 --> 00:03:22.960]  最好捐錢的那個不是我
[00:03:22.960 --> 00:03:24.720]  大家賣過旗的都可能知道
[00:03:24.720 --> 00:03:25.960]  如果你沒有賣過旗
[00:03:25.960 --> 00:03:27.640]  我們一齊出去賣旗的時候
[00:03:27.640 --> 00:03:29.640]  你就能夠經歷到
[00:03:29.640 --> 00:03:33.360]  很多人都覺得最好這些事就避開
[00:03:33.360 --> 00:03:35.720]  最好不是我
[00:03:35.720 --> 00:03:36.680]  但今天很特別
[00:03:36.680 --> 00:03:38.760]  我們在聖經裡面說
[00:03:38.760 --> 00:03:42.600]  原來捐獻是恩典
[00:03:42.600 --> 00:03:43.920]  恩典是什麼?
[00:03:43.920 --> 00:03:46.880]  是神給你的禮物
[00:03:46.880 --> 00:03:49.840]  有沒有人想避開神給你的禮物?
[00:03:49.840 --> 00:03:51.920]  如果沒有,我們今天真的要看了
[00:03:51.920 --> 00:03:54.360]  原來捐獻是神的恩典
[00:03:54.360 --> 00:03:56.080]  是神給我們的禮物
[00:03:56.080 --> 00:04:00.440]  並且原來我們會在裡面經歷神的祝福
[00:04:00.440 --> 00:04:02.840]  所以作為耶穌的門徒
[00:04:02.840 --> 00:04:03.760]  我們一起想一下
[00:04:03.760 --> 00:04:07.520]  究竟我們應該怎樣有一個捐獻的生命
[00:04:07.520 --> 00:04:11.560]  所以今天我們一起從哥倫多後書裡面一段經文
[00:04:11.560 --> 00:04:14.200]  我們一起學三個功課,好不好?
[00:04:14.200 --> 00:04:16.160]  我們今天學第一個功課
[00:04:16.160 --> 00:04:21.560]  就是認定有份參與捐獻是恩典
[00:04:21.560 --> 00:04:24.800]  我們首先一起讀第八章的一至五節,好不好?
[00:04:24.800 --> 00:04:26.800]  我們一起讀,一二三
[00:04:26.800 --> 00:04:33.120]  「弟兄們,我把臣賜給馬其頓宗教會的恩告訴你們
[00:04:33.120 --> 00:04:37.440]  就是他們在患難中受大試煉的時候
[00:04:37.440 --> 00:04:40.080]  仍有滿足的快樂
[00:04:40.080 --> 00:04:45.680]  在極窮之間還顯出格外他們樂捐的厚恩
[00:04:45.680 --> 00:04:49.240]  我可以證明他們是按著力量
[00:04:49.240 --> 00:04:51.440]  而且也過了力量
[00:04:51.440 --> 00:04:54.240]  自己甘心樂意地捐助
[00:04:54.240 --> 00:04:56.440]  再三地求我們
[00:04:56.440 --> 00:05:00.880]  准他們在這供給聖徒的恩情上有份
[00:05:00.880 --> 00:05:03.120]  並且他們所做的
[00:05:03.120 --> 00:05:05.800]  不但照我們所賞忘的
[00:05:05.800 --> 00:05:10.040]  更照神的旨意把自己獻給主
[00:05:10.040 --> 00:05:12.120]  又歸附了我們」
[00:05:12.120 --> 00:05:13.880]  這裡有德葉保羅說
[00:05:13.880 --> 00:05:18.840]  他跟哥倫多教會說「我首先告訴你馬其頓教會的恩」
[00:05:18.840 --> 00:05:21.080]  但是這個原文其實是說
[00:05:21.080 --> 00:05:26.280]  「我要把臣賜給馬其頓的恩典告訴你」
[00:05:26.280 --> 00:05:30.640]  原來捐獻是臣賜給我們的恩典
[00:05:30.640 --> 00:05:34.040]  所以第二節他就說清楚這是什麼恩典
[00:05:34.040 --> 00:05:39.320]  第二節說清楚這是馬其頓教會在患難受大試煉的時候
[00:05:39.320 --> 00:05:43.120]  就是說他們的生命受到壓力和逼迫的時候
[00:05:43.120 --> 00:05:45.880]  他們仍然有滿足的快樂
[00:05:45.880 --> 00:05:47.960]  這個滿足的快樂從何而來呢?
[00:05:47.960 --> 00:05:50.280]  就是原來他們在極窮之間
[00:05:50.280 --> 00:05:52.040]  即是很缺乏的當中
[00:05:52.040 --> 00:05:57.680]  仍然顯出他們樂意捐助的厚恩
[00:05:57.680 --> 00:06:04.000]  原來能夠捐獻是神給我們的恩典和禮物
[00:06:04.000 --> 00:06:05.440]  當我們這樣做的時候
[00:06:05.440 --> 00:06:09.880]  原來我們可以經歷從神而來滿足的快樂
[00:06:09.880 --> 00:06:13.520]  而第三節更加告訴我們
[00:06:13.520 --> 00:06:18.200]  馬其頓教會不僅是按著他們可以奉獻的力量
[00:06:18.200 --> 00:06:21.360]  更加是過了這個力量去奉獻
[00:06:21.360 --> 00:06:25.160]  他們說他們的甘心樂意不僅是過去式的
[00:06:25.160 --> 00:06:26.400]  第四節
[00:06:26.400 --> 00:06:30.160]  更加是現在寫信的時候
[00:06:30.160 --> 00:06:33.840]  馬其頓教會仍然在三求求什麼?
[00:06:33.840 --> 00:06:35.400]  不是求要錢
[00:06:35.400 --> 00:06:43.560]  是求他們可以在捐獻、在幫助聖徒的恩情上有份
[00:06:43.560 --> 00:06:47.840]  嘩!原來當你知道這是禮物的時候
[00:06:47.840 --> 00:06:52.000]  你會主動繼續要求在這件事上有份
[00:06:52.000 --> 00:06:56.560]  而保羅說馬其頓教會這個捐獻的生命
[00:06:56.560 --> 00:07:01.480]  其實是首先將自己獻給主
[00:07:01.480 --> 00:07:05.480]  也是聽從保羅的教導
