
[00:00:00.000 --> 00:00:03.000]  今天我們要從馬可福音第七章
[00:00:03.000 --> 00:00:05.000]  從十四節一直到第二十三節
[00:00:05.000 --> 00:00:10.000]  我們在這裡再看一個主耶穌所講的
[00:00:10.000 --> 00:00:13.000]  寓比喻
[00:00:13.000 --> 00:00:15.000]  叫做比喻parable
[00:00:15.000 --> 00:00:18.000]  就是把兩個事情放在一起比較
[00:00:18.000 --> 00:00:23.000]  我們在這裡先跟你們講一個故事
[00:00:23.000 --> 00:00:25.000]  先跟你們講一個故事
[00:00:25.000 --> 00:00:28.000]  我通常講到很少講故事對不對
[00:00:28.000 --> 00:00:31.000]  今天跟你們講一個故事
[00:00:31.000 --> 00:00:34.000]  有一個基督徒的家庭裡面有兄妹倆
[00:00:34.000 --> 00:00:40.000]  這兄妹倆他們有一天一起在吃東西
[00:00:40.000 --> 00:00:45.000]  這個哥哥我們通常知道
[00:00:45.000 --> 00:00:48.000]  男孩子吃東西是狼吞虎嚥
[00:00:48.000 --> 00:00:53.000]  女孩子吃東西就是像個淑女一樣
[00:00:53.000 --> 00:00:55.000]  慢慢的在那邊吃
[00:00:55.000 --> 00:00:59.000]  這個男孩子的哥哥他很快就吃完了
[00:00:59.000 --> 00:01:00.000]  吃完之後他就發現
[00:01:00.000 --> 00:01:03.000]  他妹妹的盤子裡面還有一大半
[00:01:03.000 --> 00:01:05.000]  還沒有動
[00:01:05.000 --> 00:01:08.000]  他就問他妹妹要
[00:01:08.000 --> 00:01:14.000]  當然是被拒絕了
[00:01:14.000 --> 00:01:19.000]  他的哥哥就開始說
[00:01:19.000 --> 00:01:26.000]  哎呀 Judy 我隨便取一個名字
[00:01:26.000 --> 00:01:28.000]  他說你記不記得
[00:01:28.000 --> 00:01:31.000]  爸爸媽媽不是常常告訴我們嗎
[00:01:31.000 --> 00:01:32.000]  聖經上說
[00:01:32.000 --> 00:01:38.000]  施比受更為有福
[00:01:38.000 --> 00:01:41.000]  你們都會笑
[00:01:41.000 --> 00:01:45.000]  他妹妹還是說No
[00:01:45.000 --> 00:01:49.000]  他又告訴他妹妹
[00:01:49.000 --> 00:01:53.000]  他說爸爸媽媽不是教導我們要Share嗎
[00:01:53.000 --> 00:01:56.000]  要分享
[00:01:56.000 --> 00:01:59.000]  那你為什麼不能照著聖經上的話
[00:01:59.000 --> 00:02:05.000]  還有爸爸媽媽所教導的跟我分享
[00:02:05.000 --> 00:02:07.000]  你們妹妹
[00:02:07.000 --> 00:02:08.000]  你們剛才都笑了
[00:02:08.000 --> 00:02:10.000]  所以我想這個事情其實也很普遍
[00:02:10.000 --> 00:02:12.000]  不一定是吃東西對不對
[00:02:12.000 --> 00:02:14.000]  有的時候是一個玩具
[00:02:14.000 --> 00:02:16.000]  有的時候是一個什麼東西的
[00:02:16.000 --> 00:02:18.000]  但是
[00:02:18.000 --> 00:02:19.000]  你們姐妹我們要想一下
[00:02:19.000 --> 00:02:21.000]  這個哥哥
[00:02:21.000 --> 00:02:27.000]  他真的是很關心他妹妹的屬靈光景嗎
[00:02:27.000 --> 00:02:31.000]  或者是關心她的道德行為嗎
[00:02:31.000 --> 00:02:33.000]  如果你覺得他是的
[00:02:33.000 --> 00:02:37.000]  請你舉手
[00:02:37.000 --> 00:02:42.000]  我們都不覺得是對不對
[00:02:42.000 --> 00:02:49.000]  他真正關心的是什麼
[00:02:49.000 --> 00:02:50.000]  誰吃啊
[00:02:50.000 --> 00:02:54.000]  他自己吃
[00:02:54.000 --> 00:02:57.000]  如果你去問他
[00:02:57.000 --> 00:02:58.000]  你問這個男孩
[00:02:58.000 --> 00:03:00.000]  你問他說你為什麼
[00:03:00.000 --> 00:03:02.000]  你為什麼要這樣子講
[00:03:02.000 --> 00:03:03.000]  為什麼要這樣做
[00:03:03.000 --> 00:03:04.000]  對不對
[00:03:04.000 --> 00:03:06.000]  有的時候他不一定去搶他的東西
[00:03:06.000 --> 00:03:08.000]  如果他去搶他的東西的話
[00:03:08.000 --> 00:03:10.000]  那問題又大
[00:03:10.000 --> 00:03:14.000]  這個妹妹一定是媽媽
[00:03:14.000 --> 00:03:18.000]  他搶我的東西對不對
[00:03:18.000 --> 00:03:20.000]  那麼如果你去問他
[00:03:20.000 --> 00:03:22.000]  你為什麼這樣子做
[00:03:22.000 --> 00:03:24.000]  他會怎麼回答
