
[00:00:00.000 --> 00:00:04.080]  今日的講題是「莊稼淑寮」
[00:00:04.080 --> 00:00:10.440]  我相信想當年 窩福堂都見到屯門區廣大的和祥
[00:00:10.440 --> 00:00:12.560]  領受了這個異象
[00:00:12.560 --> 00:00:16.080]  所以在這個地方開設教會
[00:00:16.080 --> 00:00:22.720]  今日景福堂仍然需要努力傳承窩福堂從上而來的異象
[00:00:22.720 --> 00:00:25.320]  繼續傳揚福音
[00:00:25.320 --> 00:00:31.680]  原來我們今日透過耶穌與一個撒瑪利亞婦人相遇的故事
[00:00:31.680 --> 00:00:34.480]  之後祂與門徒的對話
[00:00:34.480 --> 00:00:41.640]  再次反省反思我們今日如何實踐傳揚福音的大使命
[00:00:41.640 --> 00:00:45.160]  讓我們一齊來有個禱告
[00:00:45.160 --> 00:00:48.920]  天護上帝 我們讚美祢 感謝祢
[00:00:48.920 --> 00:00:51.280]  祢賜下寶貴的話語
[00:00:51.280 --> 00:00:58.320]  也引領眾人得蒙救恩來到祢面前領受生命的說話
[00:00:58.320 --> 00:01:03.440]  主啊 願祢的說話成為我們腳前的燈 路上的光
[00:01:03.440 --> 00:01:06.520]  今日這個時刻 願祢帶領我們
[00:01:06.520 --> 00:01:09.000]  願聖靈來幫助我們
[00:01:09.000 --> 00:01:11.600]  無論是講或聽的人
[00:01:11.600 --> 00:01:16.120]  都一同得著詛咒 一同經歷生命的提醒
[00:01:16.120 --> 00:01:19.560]  願祢保守我們以下來的時間 願祢帶領我們
[00:01:19.560 --> 00:01:21.600]  感謝讚美祢 以上禱告
[00:01:21.600 --> 00:01:25.520]  奉我主耶穌基督的聖名自祈求 阿們
[00:01:49.560 --> 00:01:55.320]  因為這條路實在太遙遠 他就坐下來休息
[00:01:55.320 --> 00:02:01.720]  當時原來是正午 即是最烈日當空的時間
[00:02:01.720 --> 00:02:08.080]  門徒要去買東西吃 耶穌就向一個撒瑪利亞婦人去拿水
[00:02:08.080 --> 00:02:11.040]  今天可能我們去餐廳拿杯水
[00:02:11.040 --> 00:02:13.080]  我們覺得沒什麼特別
[00:02:13.080 --> 00:02:18.400]  但原來耶穌和一個撒瑪利亞婦人去拿水
[00:02:18.400 --> 00:02:22.200]  由當時的文化 歷史的背景
[00:02:22.200 --> 00:02:28.200]  我們就能理解到這個婦人 甚至是門徒為何如此驚訝
[00:02:28.200 --> 00:02:31.200]  在文化的原因 當時耶穌的時代
[00:02:31.200 --> 00:02:34.360]  男人很少會和女人公開說話
[00:02:34.360 --> 00:02:36.280]  就算是夫婦也是一樣
[00:02:36.280 --> 00:02:42.520]  單身的男人更加不會隨便和婦女說話
[00:02:42.520 --> 00:02:46.400]  由歷史的原因 我們知道猶太人和撒瑪利亞人
[00:02:46.400 --> 00:02:49.360]  其實這兩族的牙齒印很深
[00:02:49.360 --> 00:02:53.360]  他們有很多新仇舊恨 互相不滿
[00:02:53.360 --> 00:02:55.360]  其實他們不會怎樣來往
[00:02:55.360 --> 00:02:58.760]  甚至猶太人也會刻意繞路走
[00:02:58.760 --> 00:03:02.640]  耶穌不單止和撒瑪利亞人對話
[00:03:02.640 --> 00:03:06.200]  他更加和一個撒瑪利亞婦人對話
[00:03:06.200 --> 00:03:10.080]  所以是一個完全沒什麼可能的事情
[00:03:10.080 --> 00:03:13.920]  經文表示門徒的反應很驚奇
[00:03:13.920 --> 00:03:18.280]  不過只是沒有人敢問他們的老師主耶穌
[00:03:18.280 --> 00:03:20.280]  「你到底想做什麼?」
[00:03:20.280 --> 00:03:24.080]  當然耶穌很清楚自己在做什麼
