
[00:00:00.000 --> 00:00:02.540]  今日同大家繼續嚟到睇
[00:00:02.540 --> 00:00:04.540]  菲律賓書第一章
[00:00:04.540 --> 00:00:08.580]  菲律賓書對今日我哋信徒嘅生活呢
[00:00:08.580 --> 00:00:10.200]  好有大嘅幫助
[00:00:10.200 --> 00:00:15.000]  因為當時保羅係面對全福音極大嘅艱難
[00:00:15.000 --> 00:00:19.260]  喺咁大嘅艱難裏面
[00:00:19.260 --> 00:00:21.260]  保羅點樣面對呢
[00:00:21.260 --> 00:00:24.520]  我哋話佢有個積極樂觀
[00:00:24.520 --> 00:00:27.140]  嘅人生嘅態度
[00:00:27.140 --> 00:00:29.880]  如果我哋能夠學到保羅
[00:00:29.880 --> 00:00:32.460]  呢種積極樂觀人生嘅態度
[00:00:32.460 --> 00:00:34.460]  我諗我哋能夠面對
[00:00:34.460 --> 00:00:36.460]  今日我哋生活上
[00:00:36.460 --> 00:00:38.460]  好多好多嘅艱難
[00:00:38.460 --> 00:00:41.120]  所以我哋要睇保羅呢
[00:00:41.120 --> 00:00:43.740]  喺十二節到二十節
[00:00:43.740 --> 00:00:45.400]  呢段經文呢
[00:00:45.400 --> 00:00:47.780]  佢所講嘅說話
[00:00:47.780 --> 00:00:53.100]  佢開始講到佢全福音佢嘅困難
[00:00:53.100 --> 00:00:59.700]  但你冇睇到佢有半句嘅投訴半句嘅迷怨
[00:00:59.700 --> 00:01:02.260]  佢有嘅
[00:01:02.260 --> 00:01:04.260]  只係感謝神
[00:01:04.260 --> 00:01:06.260]  佢有嘅
[00:01:06.260 --> 00:01:10.740]  只係靠神嘅恩典勝過一切
[00:01:10.740 --> 00:01:12.740]  所以我哋睇呢段經文
[00:01:12.740 --> 00:01:18.500]  學習保羅嗰種積極樂觀嘅人生嘅態度
[00:01:18.500 --> 00:01:28.300]  當我讀十二到二十節嘅時候
[00:01:28.300 --> 00:01:30.300]  請大家留心
[00:01:30.300 --> 00:01:32.300]  你睇到保羅
[00:01:32.300 --> 00:01:34.300]  面對每一件事
