
[00:00:00.000 --> 00:00:03.000]  如果大家來過我家的話
[00:00:03.000 --> 00:00:04.500]  很多人都來過
[00:00:04.500 --> 00:00:08.000]  可能都會看到我的後院裡
[00:00:08.000 --> 00:00:11.000]  種了很多花草樹木
[00:00:11.000 --> 00:00:13.000]  這個時候是最美的時候
[00:00:13.000 --> 00:00:14.000]  為什麼呢?
[00:00:14.000 --> 00:00:18.000]  因為那些花草樹木是發芽開花的時候
[00:00:18.000 --> 00:00:20.500]  但是如果你早兩個月來我家的時候
[00:00:20.500 --> 00:00:22.000]  你去到我的後院
[00:00:22.000 --> 00:00:23.500]  其實你會看到很多
[00:00:23.500 --> 00:00:25.500]  看上去
[00:00:25.500 --> 00:00:31.000]  半生不死 毫無生氣的花草樹木
[00:00:31.000 --> 00:00:33.500]  特別是那些會落葉的樹
[00:00:33.500 --> 00:00:35.500]  落光了葉的時候
[00:00:35.500 --> 00:00:40.000]  好像一點生氣都沒有
[00:00:40.000 --> 00:00:42.000]  但是現在你來到的時候
[00:00:42.000 --> 00:00:44.000]  你會看到花開始出來了
[00:00:44.000 --> 00:00:47.500]  花朵 樹葉都出來了
[00:00:47.500 --> 00:00:52.500]  所以整個氣氛讓你覺得生氣勃勃
[00:00:52.500 --> 00:00:55.500]  只有少數
[00:00:55.500 --> 00:00:57.000]  我看它真的死了
[00:00:57.000 --> 00:00:59.000]  生不回來了
[00:00:59.000 --> 00:01:01.500]  不會再生了
[00:01:01.500 --> 00:01:07.000]  其實在我們現實的生活裡
[00:01:07.000 --> 00:01:09.000]  很多人真的看不到
[00:01:09.000 --> 00:01:13.500]  我們現時的處境有什麼生機
[00:01:13.500 --> 00:01:17.000]  似乎沒有什麼再生的可能
[00:01:17.000 --> 00:01:19.500]  其實我想說的是什麼呢?
[00:01:19.500 --> 00:01:24.000]  我想說的是在我們人生當中
[00:01:24.000 --> 00:01:28.500]  我們發覺自己曾經有過夢想
[00:01:28.500 --> 00:01:29.500]  不過到了這個時候
[00:01:29.500 --> 00:01:32.000]  我們的夢想已經無法實現了
[00:01:32.000 --> 00:01:36.000]  我們可能有一點點的人生目標
[00:01:36.000 --> 00:01:38.000]  但是到了現在
[00:01:38.000 --> 00:01:42.000]  我們知道沒有辦法去達成
[00:01:42.000 --> 00:01:44.500]  而最令我們難過的是什麼呢?
[00:01:44.500 --> 00:01:48.500]  我們對家人 朋友 親戚 同事
[00:01:48.500 --> 00:01:52.500]  一定的關係已經破裂到一個地步
[00:01:52.500 --> 00:01:57.500]  我們覺得沒有什麼可能受保
[00:01:57.500 --> 00:01:59.500]  當你遇到這樣的處境的時候
[00:01:59.500 --> 00:02:01.500]  你會發覺
[00:02:01.500 --> 00:02:03.500]  好像我們現在的生命
[00:02:03.500 --> 00:02:08.500]  被卡住在某一個位置
[00:02:08.500 --> 00:02:10.500]  無論怎麼努力都好
[00:02:10.500 --> 00:02:12.000]  似乎都沒有什麼用
[00:02:12.000 --> 00:02:13.500]  做不到什麼
[00:02:13.500 --> 00:02:16.500]  沒有辦法去解決我們這個困局
[00:02:16.500 --> 00:02:18.000]  或者困境
[00:02:18.000 --> 00:02:22.500]  我們就不生不死地掉在那裡
[00:02:22.500 --> 00:02:24.500]  我希望我剛才說的這些
[00:02:24.500 --> 00:02:26.500]  沒有發生在大家身上
[00:02:26.500 --> 00:02:28.500]  但是在人生的際遇當中
[00:02:28.500 --> 00:02:33.500]  有時候我們會落在這樣的處境當中
[00:02:33.500 --> 00:02:36.500]  但是我想說給大家知道的是什麼呢?
[00:02:36.500 --> 00:02:38.500]  我們信耶穌的人就不同了
[00:02:38.500 --> 00:02:40.500]  因為我們有耶穌在我們的生命裡面
[00:02:40.500 --> 00:02:42.000]  所以今天開始
[00:02:42.000 --> 00:02:46.500]  會和大家講一個復活節的訊息
[00:02:46.500 --> 00:02:51.500]  因為復活節帶給人有一個再生的盼望
[00:02:51.500 --> 00:02:52.500]  就好像那時候的歌
[00:02:52.500 --> 00:02:54.500]  種子落在地裡
[00:02:54.500 --> 00:02:56.500]  埋在泥土裡面的時間
[00:02:56.500 --> 00:02:58.500]  就會死而復生
[00:02:58.500 --> 00:03:00.500]  這個很簡單的道理
[00:03:00.500 --> 00:03:01.500]  我們都見過
[00:03:01.500 --> 00:03:02.500]  特別是種花那些
[00:03:02.500 --> 00:03:04.500]  有時候殺種子
[00:03:04.500 --> 00:03:06.500]  然後種子死了
[00:03:06.500 --> 00:03:11.500]  就用另外一種姿態再次的出現
[00:03:11.500 --> 00:03:13.500]  不過我要解釋清楚的
[00:03:13.500 --> 00:03:17.500]  當我們說到耶穌的死和復活的時候
[00:03:17.500 --> 00:03:19.500]  耶穌帶給我們的
[00:03:19.500 --> 00:03:23.500]  不單單只是一個季節性的復活
[00:03:23.500 --> 00:03:25.500]  而是重生
[00:03:25.500 --> 00:03:28.500]  這件事我們教會比較少說
[00:03:28.500 --> 00:03:29.500]  是重生
[00:03:29.500 --> 00:03:32.500]  是一個全新的生命
[00:03:32.500 --> 00:03:34.500]  聖經裡面有一個人物
[00:03:34.500 --> 00:03:36.500]  就叫做尼哥底姆
[00:03:36.500 --> 00:03:38.500]  這個人是什麼人呢?
[00:03:38.500 --> 00:03:40.500]  聖經說是一個法利塞人
[00:03:40.500 --> 00:03:41.500]  不單單是法利塞人
[00:03:41.500 --> 00:03:43.500]  他還有一個官
[00:03:43.500 --> 00:03:45.500]  有權勢的
[00:03:45.500 --> 00:03:49.500]  他當然很明顯是法利塞人
[00:03:49.500 --> 00:03:52.500]  是信奉猶太教的
[00:03:52.500 --> 00:03:54.500]  這個人在當地
[00:03:54.500 --> 00:03:57.500]  在那個時間裡面來說
[00:03:57.500 --> 00:03:59.500]  是一個有學識
[00:03:59.500 --> 00:04:00.500]  受人尊重
[00:04:00.500 --> 00:04:01.500]  有錢
[00:04:01.500 --> 00:04:03.500]  有成就的人
[00:04:03.500 --> 00:04:06.500]  我們希望做類似這樣的人
[00:04:06.500 --> 00:04:08.500]  但是他有一個問題
[00:04:08.500 --> 00:04:09.500]  什麼問題?
[00:04:09.500 --> 00:04:12.500]  他發覺他人生裡面
[00:04:12.500 --> 00:04:14.500]  似乎很有成就
[00:04:14.500 --> 00:04:15.500]  人家很欣賞
[00:04:15.500 --> 00:04:16.500]  很羨慕他
[00:04:16.500 --> 00:04:19.500]  但是他覺得不滿足
[00:04:19.500 --> 00:04:23.500]  他的生命覺得不滿足
[00:04:23.500 --> 00:04:27.500]  我們看到他和耶穌對話裡面
[00:04:27.500 --> 00:04:31.500]  我們相信尼哥底姆
[00:04:31.500 --> 00:04:34.500]  在那個時間所追求的
[00:04:34.500 --> 00:04:39.500]  就再不是一般人的名利權勢
[00:04:39.500 --> 00:04:40.500]  事實上
[00:04:40.500 --> 00:04:43.500]  如果你剛才聽我介紹這個人
[00:04:43.500 --> 00:04:44.500]  有沒有名?
[00:04:44.500 --> 00:04:45.500]  有
[00:04:45.500 --> 00:04:46.500]  有沒有利?
[00:04:46.500 --> 00:04:47.500]  有
[00:04:47.500 --> 00:04:48.500]  有沒有權勢?
[00:04:48.500 --> 00:04:49.500]  有
[00:04:49.500 --> 00:04:51.500]  人一般所追求的東西
[00:04:51.500 --> 00:04:53.500]  他都有了
[00:04:53.500 --> 00:04:54.500]  問題就是
[00:04:54.500 --> 00:04:55.500]  有一件事
[00:04:55.500 --> 00:04:58.500]  他不能夠滿足的就是
[00:04:58.500 --> 00:05:00.500]  他想見到神的國
[00:05:00.500 --> 00:05:01.500]  什麼見到神的國?
[00:05:01.500 --> 00:05:05.500]  就是說他想知道自己有把握
[00:05:05.500 --> 00:05:09.500]  可以進入神的國裡面
[00:05:09.500 --> 00:05:11.500]  但是他的問題是
[00:05:11.500 --> 00:05:13.500]  雖然他是法利菜人
[00:05:13.500 --> 00:05:16.500]  他很熟悉舊約聖經
[00:05:16.500 --> 00:05:20.500]  他守了所有猶太教的禮儀
