
[00:00:00.000 --> 00:00:03.000]  今天聚完會以後
[00:00:03.000 --> 00:00:06.000]  教會會有一個會員大會
[00:00:06.000 --> 00:00:09.000]  會員大會來討論教會的情形
[00:00:09.000 --> 00:00:11.000]  今年的方向
[00:00:11.000 --> 00:00:13.000]  弟兄姊妹一起來參加
[00:00:13.000 --> 00:00:15.000]  也為教會禱告
[00:00:15.000 --> 00:00:17.000]  沒想到我今天的題目
[00:00:17.000 --> 00:00:22.000]  就跟這個會員大會也有很好的聯繫
[00:00:22.000 --> 00:00:24.000]  就是建立基督的聖旨
[00:00:24.000 --> 00:00:26.000]  Build up the body of Christ
[00:00:26.000 --> 00:00:28.000]  with different spiritual gifts
[00:00:28.000 --> 00:00:31.000]  用屬靈的恩賜來建造教會
[00:00:31.000 --> 00:00:33.000]  教會是一個身體
[00:00:33.000 --> 00:00:36.000]  基督的身體
[00:00:36.000 --> 00:00:41.000]  那在以國所書的第一章到第三章裡面
[00:00:41.000 --> 00:00:46.000]  就談到神的一個奧秘的計畫
[00:00:46.000 --> 00:00:48.000]  當我們看這個自然界裡面
[00:00:48.000 --> 00:00:51.000]  就有看到許多神的奧秘
[00:00:51.000 --> 00:00:53.000]  但是在屬靈的裡面
[00:00:53.000 --> 00:00:56.000]  神有一個奧秘的計畫
[00:00:56.000 --> 00:00:58.000]  這個計畫是隱藏的
[00:00:58.000 --> 00:01:00.000]  保羅說從創世之前
[00:01:00.000 --> 00:01:03.000]  到新約的那個時刻
[00:01:03.000 --> 00:01:05.000]  都是隱藏的
[00:01:05.000 --> 00:01:09.000]  所以神的奧秘如果張顯讓我們知道的話
[00:01:09.000 --> 00:01:11.000]  那我們是沒有可能知道
[00:01:11.000 --> 00:01:14.000]  但是在這個屬靈的奧秘的時候
[00:01:14.000 --> 00:01:21.000]  神在新約時代就張顯給門徒們了解
[00:01:21.000 --> 00:01:26.000]  那這個奧秘用一兩個動作
[00:01:26.000 --> 00:01:28.000]  可以比出來這個奧秘
[00:01:28.000 --> 00:01:31.000]  這是我自己想的
[00:01:31.000 --> 00:01:33.000]  那你們也跟我比一下
