
[00:00:00.000 --> 00:00:02.000]  (主席)各位親愛的姐妹們,早安!
[00:00:02.000 --> 00:00:07.000]  又是這一句,很高興能夠跟大家分享聖經神的話語
[00:00:07.000 --> 00:00:14.000]  很感謝神能夠有機會跟大家去分享聖經
[00:00:14.000 --> 00:00:18.000]  這一段經文,詩篇第二篇,一至十二節
[00:00:18.000 --> 00:00:22.000]  大家都知道這次應該是第二次去讀了,是不是?
[00:00:22.000 --> 00:00:26.000]  我告訴大家,是有個好處的
[00:00:26.000 --> 00:00:34.000]  因為這樣讀,又讀又讀,我們可以深入一點,記得清楚一點
[00:00:34.000 --> 00:00:39.000]  大家拿回手裡的副頁
[00:00:39.000 --> 00:00:43.000]  因為我有很多很多聖經會跟大家去看
[00:00:43.000 --> 00:00:47.000]  還有一些除了聖經之外的說話
[00:00:47.000 --> 00:00:54.000]  這個副頁跟上一次給你的副頁已經不同了
[00:00:54.000 --> 00:00:59.000]  就是因為在過程當中,我繼續去讀這段經文
[00:00:59.000 --> 00:01:04.000]  繼續去看一些參考書,繼續去思考
[00:01:04.000 --> 00:01:14.000]  繼續在祈禱的時候去預備神給我的一個講道的訊息
[00:01:14.000 --> 00:01:18.000]  小小重複,就是講回這個詩篇
[00:01:18.000 --> 00:01:22.000]  第一篇和第二篇,我都給個名字叫做《福由你揀》
[00:01:22.000 --> 00:01:25.000]  我相信絕大部分的人都記得
[00:01:25.000 --> 00:01:29.000]  但是其實詩篇第二篇和第一篇有一個很大的分別
[00:01:29.000 --> 00:01:33.000]  第一篇就以一個個人的經歷
[00:01:33.000 --> 00:01:39.000]  我們記得了,又不從惡人,又不暫聚人,又不助洩萬人
[00:01:39.000 --> 00:01:43.000]  那些是罪人來的,那些是不義的人
[00:01:43.000 --> 00:01:48.000]  跟著就什麼?為喜愛耶華的律法就耶思想,者人便民有福
[00:01:48.000 --> 00:01:53.000]  是一個個人的,個人和神的關係
[00:01:53.000 --> 00:01:56.000]  跟從神的,還是不跟從神的
[00:01:56.000 --> 00:02:00.000]  其實這個世界只有兩種人
[00:02:00.000 --> 00:02:02.000]  你說,這麼少?
[00:02:02.000 --> 00:02:06.000]  不是男人就是女人,一個方面來說,對不對?
[00:02:06.000 --> 00:02:09.000]  從這個角度,不是,有陰陽人的
[00:02:09.000 --> 00:02:12.000]  我告訴你,真的有陰陽人的,你們知不知道?
[00:02:12.000 --> 00:02:19.000]  不過這些,有機會你問我,有機會問我,是陰陽人,真的有的
[00:02:19.000 --> 00:02:25.000]  不是的,這個世界有這麼多宗教,我所說的是什麼?
[00:02:25.000 --> 00:02:34.000]  就是我們的信仰,基督教,用這個名稱來說,基督教其實是超級無敵的霸道的
[00:02:34.000 --> 00:02:36.000]  為什麼這麼說?
[00:02:36.000 --> 00:02:40.000]  除他意外,別無拯救,是不是這麼說?
[00:02:40.000 --> 00:02:47.000]  耶穌說,我就是道路真理生命,若不直著我,沒有人能夠到乎那裡去
[00:02:47.000 --> 00:02:48.000]  是不是這麼說?
[00:02:48.000 --> 00:02:51.000]  神說,我是獨一的真神,是不是這麼說?
[00:02:51.000 --> 00:02:57.000]  我們所說的不是說,梁牧師你真的很霸道,你很牙刷
[00:02:57.000 --> 00:03:05.000]  你做牧師,你就說基督教的東西是最對的,是獨一的真神
[00:03:05.000 --> 00:03:12.000]  不是因為我是牧師,我這麼說,是因為神的話語是這樣說,我只可以跟神的話語去說
[00:03:12.000 --> 00:03:18.000]  當你跟神的話語去說話,去做事的時候,很多時候未必人家會喜歡你的,是不是?
[00:03:18.000 --> 00:03:23.000]  很多人未必一定是接受你的,很多人未必一定和你想做朋友的
