
[00:00:00.000 --> 00:00:03.320]  今天很高興和大家分享一份訊息
[00:00:03.320 --> 00:00:06.920]  題目叫做平凡的人做偉大的事
[00:00:06.920 --> 00:00:10.880]  這其實是我們幸福小組其中一個口號
[00:00:10.880 --> 00:00:13.920]  令到我們大家都覺得很有盼望
[00:00:13.920 --> 00:00:16.880]  想和隔壁的朋友說 你是可以做偉大的事的
[00:00:16.880 --> 00:00:20.400]  我借了這個題目來講我想講的東西
[00:00:20.400 --> 00:00:23.240]  這個題目裏面我們自然會想起什麼人呢
[00:00:23.240 --> 00:00:25.240]  如果你想起平凡的人
[00:00:25.240 --> 00:00:28.920]  我想和大家分享的是關於十二個門徒的故事
[00:00:28.920 --> 00:00:31.880]  有多少人上過教會 五年以上 舉手
[00:00:31.880 --> 00:00:33.880]  大部份自己有了
[00:00:33.880 --> 00:00:37.440]  問一下他 你知不知道十二門徒的名字是甚麼
[00:00:37.440 --> 00:00:41.520]  呀 馬上就知道 幾堂都是這樣
[00:00:41.520 --> 00:00:44.360]  比較熟悉的 怎樣都能說出來
[00:00:44.360 --> 00:00:46.840]  就是彼得 安德烈
[00:00:46.840 --> 00:00:49.720]  這兩個都不認識 其他不用說了
[00:00:49.720 --> 00:00:52.680]  但還有兩個漁夫我們經常聽到的
[00:00:52.680 --> 00:00:55.280]  就是雅各和約翰 下世後福音殿
[00:00:55.280 --> 00:00:59.600]  上了五年以上 起碼你不會不認識這個吧
[00:00:59.600 --> 00:01:02.920]  你起碼都知道馬太福音的那個
[00:01:02.920 --> 00:01:06.520]  馬太都是耶穌基督的門徒
[00:01:06.520 --> 00:01:09.560]  挑戰你了 十二門徒都烏噹噹的那些
[00:01:09.560 --> 00:01:11.760]  明年我們會開基督生平的時候
[00:01:11.760 --> 00:01:17.000]  歡迎你來遊歷這六期很精彩的課程
[00:01:17.000 --> 00:01:21.080]  事實上有時候我們看耶穌基督的故事
[00:01:21.080 --> 00:01:24.400]  十二門徒走來走去 跟著耶穌基督三尾
[00:01:24.400 --> 00:01:28.680]  但你有沒有想過 上帝為什麼會選這一班人呢
[00:01:28.680 --> 00:01:31.160]  如果今天我們經常說團隊
[00:01:31.160 --> 00:01:35.840]  無論是保險 直銷 公司 都很流行說團隊
[00:01:35.840 --> 00:01:41.120]  你猜如果讓你做團隊 你會選這十二個人呢
[00:01:41.120 --> 00:01:43.840]  可能你說 嘩 那真的要想一想
[00:01:43.840 --> 00:01:46.400]  事實上耶穌基督降世在地上
[00:01:46.400 --> 00:01:49.560]  是過了33年左右的凡人的生活
[00:01:49.560 --> 00:01:51.080]  很平凡的生活
[00:01:51.080 --> 00:01:55.200]  你跟我一樣的 我相信你一樣是要吃奶 要換尿片的
[00:01:55.200 --> 00:01:59.160]  祂用了祂最後三年的時間去宣揚福音
[00:01:59.160 --> 00:02:01.760]  但如果我們謹慎一點說
[00:02:01.760 --> 00:02:04.080]  其實耶穌過了三年 最重要的
[00:02:04.080 --> 00:02:08.000]  是呼召和訓練那十二個門徒
[00:02:08.000 --> 00:02:10.920]  你有沒有想過 為什麼這麼大件事
[00:02:10.920 --> 00:02:12.760]  耶穌自己不做呢
[00:02:12.760 --> 00:02:16.640]  反而要交給這一班這麼平凡的人
[00:02:16.640 --> 00:02:19.680]  去完成一個這麼偉大的責任
[00:02:19.680 --> 00:02:21.680]  耶穌基督親自來到這個世界上
[00:02:21.680 --> 00:02:23.760]  死在十字架上 沒有人可以代替
[00:02:23.760 --> 00:02:26.800]  祂親自去完成了這份的救恩
