
[00:00:00.000 --> 00:00:02.000]  在這個新春的日子
[00:00:02.000 --> 00:00:07.120]  找了一個紅噹噹的新年圖
[00:00:07.120 --> 00:00:09.120]  做一個開始
[00:00:09.120 --> 00:00:11.900]  我不知道大家還有沒有新年的氣氛
[00:00:11.900 --> 00:00:13.320]  應該還有的
[00:00:13.320 --> 00:00:16.620]  不知道新年的時候
[00:00:16.620 --> 00:00:20.120]  人家來你家拜年你會有什麼感覺
[00:00:20.120 --> 00:00:23.360]  不過現在的人很多時候都會避年
[00:00:23.360 --> 00:00:27.000]  避年多數就是結了婚的那些
[00:00:27.000 --> 00:00:31.540]  派紅包不如省錢去旅行
[00:00:31.540 --> 00:00:34.000]  所以有些人就避了
[00:00:34.000 --> 00:00:36.840]  其實未婚的都會去旅行
[00:00:36.840 --> 00:00:40.040]  很奇怪 按道理有紅包
[00:00:40.040 --> 00:00:42.360]  但我發覺不是這樣的
[00:00:42.360 --> 00:00:46.000]  因為我自己做了三十多年的單身寡老
[00:00:46.000 --> 00:00:47.200]  我就知道
[00:00:47.200 --> 00:00:49.000]  我很怕別人來拜年
[00:00:49.000 --> 00:00:51.800]  特別是姨媽姑爹來拜年
[00:00:51.800 --> 00:00:54.400]  他給你紅包的時候很不捨得
[00:00:54.400 --> 00:00:56.200]  他總是多加一句話
[00:00:56.200 --> 00:00:58.800]  什麼時候派回來試
[00:00:58.800 --> 00:01:00.200]  就問你什麼時候
[00:01:00.200 --> 00:01:02.800]  我那時三十多歲都未拍拖
[00:01:02.800 --> 00:01:06.700]  所以就三十多歲了
[00:01:06.700 --> 00:01:08.400]  所以有時候都很尷尬
[00:01:08.400 --> 00:01:13.200]  所以我很怕這件事
[00:01:13.200 --> 00:01:15.200]  後來我自己都知道
[00:01:15.200 --> 00:01:19.000]  如果我們對後輩不要給他壓力
[00:01:19.000 --> 00:01:20.800]  不過最怕的就是姨媽姑爹說
[00:01:20.800 --> 00:01:23.700]  我介紹一個女孩子給你
[00:01:23.700 --> 00:01:27.600]  千萬不要騷擾我
[00:01:27.600 --> 00:01:32.600]  我記得有另外一個壓力就是親戚
[00:01:32.600 --> 00:01:36.600]  因為潮州人個個都叫阿植
[00:01:36.600 --> 00:01:37.600]  阿伯阿植
[00:01:37.600 --> 00:01:40.400]  那些人倫關係很亂
[00:01:40.400 --> 00:01:41.600]  其實那個不是你
[00:01:41.600 --> 00:01:44.100]  真的是你叔叔
[00:01:44.100 --> 00:01:47.300]  所以我有時候就很怕這件事
[00:01:47.300 --> 00:01:52.600]  不過最近有一個軟件
[00:01:52.600 --> 00:01:55.000]  叫做三姑六婆
[00:01:55.000 --> 00:01:56.400]  有沒有用過
[00:01:56.400 --> 00:01:59.000]  是一個計數機
[00:01:59.000 --> 00:02:01.000]  你只要按進去
[00:02:01.000 --> 00:02:06.000]  那個人是你爸爸的姐姐的子女
[00:02:06.000 --> 00:02:09.400]  它就自動計算了究竟是你誰
[00:02:09.400 --> 00:02:10.700]  這裡就計錯了
[00:02:10.700 --> 00:02:12.100]  大家看不看得出
[00:02:12.100 --> 00:02:15.700]  你爸爸的弟弟的女兒叫什麼
[00:02:15.700 --> 00:02:18.200]  不是表妹
[00:02:18.200 --> 00:02:19.300]  堂妹
[00:02:19.300 --> 00:02:27.200]  所以弄這個圖的人要用這個計數機
[00:02:27.200 --> 00:02:34.800]  我發現其實人倫關係很複雜
[00:02:34.800 --> 00:02:36.300]  但是我都問一個問題
[00:02:36.300 --> 00:02:41.800]  究竟在這麼複雜的人際人倫的關係裡面
[00:02:41.800 --> 00:02:45.200]  最根本的是什麼
[00:02:45.200 --> 00:02:46.400]  我問過自己
[00:02:46.400 --> 00:02:50.100]  為什麼會產生出這麼多複雜的人際關係
[00:02:50.100 --> 00:02:53.400]  其實我相信其中一種很重要
[00:02:53.400 --> 00:02:58.500]  人類得以去顏面下一代的動力就是什麼
[00:02:58.500 --> 00:02:59.500]  就是愛
[00:02:59.500 --> 00:03:03.800]  愛就是一切關係能夠顏面下去的那種動力
[00:03:03.800 --> 00:03:04.700]  很複雜的
[00:03:04.700 --> 00:03:06.000]  哇姨媽姑姐
[00:03:06.000 --> 00:03:09.300]  但是全部都是因為一對夫婦
[00:03:09.300 --> 00:03:11.700]  甚至是始祖亞當夏娃
[00:03:11.700 --> 00:03:15.500]  就是相愛來一路顏面下一代
[00:03:15.500 --> 00:03:17.600]  但是另一個動力
[00:03:17.600 --> 00:03:19.100]  不知道大家有沒有想過
[00:03:19.100 --> 00:03:22.800]  其實恨也是一個很大的動力
[00:03:22.800 --> 00:03:25.900]  我記得小時候看粵語長片
[00:03:25.900 --> 00:03:28.700]  我要報殺父的心仇
[00:03:28.700 --> 00:03:31.100]  這樣就搞了一套戲出來
[00:03:31.100 --> 00:03:35.200]  所以現在也有人說
[00:03:35.200 --> 00:03:38.600]  復仇者聯盟都可以拍三集
[00:03:38.600 --> 00:03:40.700]  因為受恨
[00:03:40.700 --> 00:03:47.500]  其實也是一種人類很大的原力
[00:03:47.500 --> 00:03:49.900]  所以在《星球大戰》裡面
[00:03:49.900 --> 00:03:51.700]  最複雜的一幕就是說
