
[00:00:00.000 --> 00:00:04.000]  OK 今天是我今年第一次來到當中
[00:00:04.000 --> 00:00:06.500]  應該說一聲新年快樂
[00:00:06.500 --> 00:00:09.500]  不過當我說的時候是一個formality
[00:00:09.500 --> 00:00:12.000]  多過真是快樂 會不會呢
[00:00:12.000 --> 00:00:14.000]  因為一開年呢
[00:00:14.000 --> 00:00:17.000]  你知道我們的總統很厲害
[00:00:17.000 --> 00:00:21.000]  馬上就去抓人家的總統回來
[00:00:21.000 --> 00:00:24.000]  導致有很多人不同的看法
[00:00:24.000 --> 00:00:26.000]  我不是評論這樣的東西
[00:00:26.000 --> 00:00:29.000]  不過一年開的時候就發覺有這樣的情況
[00:00:29.000 --> 00:00:32.000]  現在世界就很亂
[00:00:32.000 --> 00:00:36.000]  其實在一個這麼動盪的世界和社會當中
[00:00:36.000 --> 00:00:38.000]  大家有沒有發覺
[00:00:38.000 --> 00:00:42.000]  我們現在世界的風向在轉
[00:00:42.000 --> 00:00:45.000]  那我說什麼呢 什麼風向呢
[00:00:45.000 --> 00:00:47.000]  過去幾十年來說
[00:00:47.000 --> 00:00:49.000]  一直我們在美國生活的時候
[00:00:49.000 --> 00:00:52.000]  我們是強調大家要合作
[00:00:52.000 --> 00:00:55.000]  大家要共存 全球一體化
[00:00:55.000 --> 00:00:59.000]  還要制度信任
[00:00:59.000 --> 00:01:00.000]  為什麼呢
[00:01:00.000 --> 00:01:05.000]  因為我們相信如果國際的秩序
[00:01:05.000 --> 00:01:07.000]  可以帶來國家的穩定
[00:01:07.000 --> 00:01:09.000]  大家都喜歡穩定
[00:01:09.000 --> 00:01:10.000]  當國家穩定的時候
[00:01:10.000 --> 00:01:12.000]  每一樣東西都是predictable
[00:01:12.000 --> 00:01:14.000]  能夠預期預知
[00:01:14.000 --> 00:01:16.000]  這樣就容易些 為什麼呢
[00:01:16.000 --> 00:01:19.000]  只要你多些努力 勤力些做事
[00:01:19.000 --> 00:01:21.000]  明天就會更好的
[00:01:21.000 --> 00:01:25.000]  一般人覺得在這樣的環境下
[00:01:25.000 --> 00:01:30.000]  我們對將來的期望就會多些有把握
[00:01:30.000 --> 00:01:32.000]  但這個過去了
[00:01:32.000 --> 00:01:34.000]  風向轉了
[00:01:34.000 --> 00:01:36.000]  最近幾年的情況
[00:01:36.000 --> 00:01:38.000]  大家有沒有留意到不同了呢
[00:01:38.000 --> 00:01:40.000]  現在我們是強調什麼呢
[00:01:40.000 --> 00:01:42.000]  強調競爭
[00:01:42.000 --> 00:01:45.000]  強調國家利益優先
[00:01:45.000 --> 00:01:50.000]  還有陣營的對立越來越明顯
[00:01:50.000 --> 00:01:52.000]  現在很多時候
[00:01:52.000 --> 00:01:56.000]  我們國與國之間的相處
[00:01:56.000 --> 00:01:59.000]  我們再不是用一些理想 普世價值
[00:01:59.000 --> 00:02:01.000]  作為一個核心
[00:02:01.000 --> 00:02:05.000]  去主導著我們如何彼此相交
[00:02:05.000 --> 00:02:08.000]  國與國之間如何共存
[00:02:08.000 --> 00:02:09.000]  現在我們強調的是
[00:02:09.000 --> 00:02:11.000]  最重要的是自己安全
[00:02:11.000 --> 00:02:13.000]  我們強調的是國與國之間
[00:02:13.000 --> 00:02:17.000]  現在我們要hold on自己的立場
[00:02:17.000 --> 00:02:19.000]  要持穩自己的立場
[00:02:19.000 --> 00:02:22.000]  以自己的立場為優先
[00:02:22.000 --> 00:02:24.000]  剛才我們所說的大多的東西
[00:02:24.000 --> 00:02:28.000]  似乎越來越不能用在我們身上
[00:02:28.000 --> 00:02:32.000]  其實這些轉向
[00:02:32.000 --> 00:02:39.000]  不單單影響到國與國之間的外交和經濟
[00:02:39.000 --> 00:02:43.000]  其實都會直接影響到我們所謂的普通人
