
[00:00:00.000 --> 00:00:07.000]  讓我們一起祈禱,天父我們多謝祢給了我們一起去敬拜祢
[00:00:07.000 --> 00:00:12.000]  主祈求祢用祢的話語親自去幫助我們
[00:00:12.000 --> 00:00:17.000]  主祈說的人不配,有限,但主祈祢的說話卻大有能力
[00:00:17.000 --> 00:00:22.000]  求祢的聖靈在我們當中親自去教導,讓我們明白祢的心意
[00:00:22.000 --> 00:00:27.000]  讓我們同在,讓我們有五聖,我們一起祈禱加索,奉祢祟祢的聖名
[00:00:30.000 --> 00:00:35.000]  今天我們要去看幾段經文,大家都好像很熟悉
[00:00:35.000 --> 00:00:41.000]  關於敬拜天父,對於敬拜這個題目不知道大家在想什麼
[00:00:41.000 --> 00:00:45.000]  教會現在正在考慮崇拜時段的調整
[00:00:45.000 --> 00:00:49.000]  可能當中大家有些都填過問卷去表達意見
[00:00:49.000 --> 00:00:54.000]  近年可能因為參加崇拜的弟兄姊妹少了,同工少了
[00:00:54.000 --> 00:00:59.000]  於是如何更有效地運用我們的資源,成為我們關心的事情
[00:01:00.000 --> 00:01:08.000]  除了崇拜的資源,除了崇拜的時段之外
[00:01:08.000 --> 00:01:14.000]  對於崇拜不知道大家還有什麼期望,或者大家關心的是什麼
[00:01:14.000 --> 00:01:19.000]  今天我們看這段經文,很直接地告訴我們上帝所關心的
[00:01:19.000 --> 00:01:23.000]  就是要我們以心靈誠實去敬拜
[00:01:24.000 --> 00:01:31.000]  究竟耶穌會是什麼意思呢?為免我們斷章取義,或者背金句去了解聖經
[00:01:31.000 --> 00:01:35.000]  我們所要了解的經文就不是我們今天讀的那幾節經文
[00:01:35.000 --> 00:01:42.000]  選擇了19節和24節,其實只是想給大家一個焦點,方便集中
[00:01:42.000 --> 00:01:48.000]  這完全不是這樣的分段,所以千萬不要只用這段經文去查經,這樣是不足夠的
[00:01:52.000 --> 00:01:57.000]  首先這段經文其實是耶穌和撒瑪利亞夫人談到的一部分
[00:01:57.000 --> 00:02:03.000]  耶穌和撒瑪利亞夫人談到是要看福音的獨家記載
