
[00:00:00.000 --> 00:00:05.000]  我們在上次的訊息裡面講到
[00:00:05.000 --> 00:00:11.000]  格魯西蘇的十五節開始講到基督論
[00:00:11.000 --> 00:00:15.000]  可以說是 格魯西蘇這一個基督論
[00:00:15.000 --> 00:00:17.000]  可以說就是一個詩歌
[00:00:17.000 --> 00:00:19.000]  這個基督論非常重要
[00:00:19.000 --> 00:00:23.000]  很多的異端出問題就出在基督論
[00:00:23.000 --> 00:00:27.000]  是不是 耶和華見證人 還有摩門教
[00:00:27.000 --> 00:00:29.000]  都出在基督論上面
[00:00:29.000 --> 00:00:31.000]  那麼在當時候的諾斯底主義
[00:00:31.000 --> 00:00:33.000]  也就是這個新約書信裡面
[00:00:33.000 --> 00:00:34.000]  很多的書信裡面
[00:00:34.000 --> 00:00:38.000]  當時候的背景裡面出問題的就是在這裡
[00:00:38.000 --> 00:00:41.000]  諾斯底主義其中一個問題就是
[00:00:41.000 --> 00:00:44.000]  他們把基督貶低了
[00:00:44.000 --> 00:00:46.000]  基督不是認為神
[00:00:46.000 --> 00:00:51.000]  基督只不過是次神
[00:00:51.000 --> 00:00:52.000]  天主之輩
[00:00:52.000 --> 00:00:55.000]  所以保羅要針對這個問題
[00:00:55.000 --> 00:00:57.000]  來講到基督的問題
[00:00:57.000 --> 00:01:00.000]  你說摩斯我已經新約書信了三十年了
[00:01:00.000 --> 00:01:03.000]  還在講這個基本道理
[00:01:03.000 --> 00:01:06.000]  窮子妹 我發現今天很多的問題就是
[00:01:06.000 --> 00:01:08.000]  我們聽了很多的道
[00:01:08.000 --> 00:01:13.000]  但是這些道沒有真正在我們的生命裡面
[00:01:13.000 --> 00:01:16.000]  扎根下去
[00:01:16.000 --> 00:01:19.000]  所以有些是為什麼一些重要的真理
[00:01:19.000 --> 00:01:21.000]  需要一再講一再講
[00:01:21.000 --> 00:01:23.000]  講到一個地步
[00:01:23.000 --> 00:01:26.000]  從你變成是熟悉了
[00:01:26.000 --> 00:01:27.000]  變成是什麼
[00:01:27.000 --> 00:01:29.000]  變成生化
[00:01:29.000 --> 00:01:31.000]  成為你的價值觀
[00:01:31.000 --> 00:01:34.000]  成為你的核心理念
[00:01:34.000 --> 00:01:36.000]  那你要有這心態
[00:01:36.000 --> 00:01:38.000]  你說摩斯不管你怎麼說
[00:01:38.000 --> 00:01:43.000]  我就是已不變
[00:01:43.000 --> 00:01:46.000]  老生在在
[00:01:46.000 --> 00:01:47.000]  我就不受你影響
[00:01:47.000 --> 00:01:48.000]  親愛的窮子妹
[00:01:48.000 --> 00:01:50.000]  你不受神的話的影響
[00:01:50.000 --> 00:01:52.000]  你就在受魔鬼的影響
[00:01:52.000 --> 00:01:53.000]  我告訴你
[00:01:53.000 --> 00:01:56.000]  這個世界透過各式各樣的方法
[00:01:56.000 --> 00:01:58.000]  不知不覺的
[00:01:58.000 --> 00:02:00.000]  把人就擄到他那邊去
[00:02:00.000 --> 00:02:03.000]  所以你每一個禮拜天來到這裡的時候
[00:02:03.000 --> 00:02:04.000]  你在這裡聚會
[00:02:04.000 --> 00:02:05.000]  你在這裡聽到
[00:02:05.000 --> 00:02:06.000]  親愛的窮子妹
[00:02:06.000 --> 00:02:08.000]  你要帶著一個可慕的心
[00:02:08.000 --> 00:02:10.000]  神要向你說話
[00:02:10.000 --> 00:02:12.000]  你相信神還會說話嗎
[00:02:12.000 --> 00:02:15.000]  你相信神今天還說話嗎
[00:02:15.000 --> 00:02:17.000]  除了這本完成的聖經之外
[00:02:17.000 --> 00:02:20.000]  神會不會透過祂的話語
[00:02:20.000 --> 00:02:22.000]  歷世歷代的向我們說話
[00:02:22.000 --> 00:02:24.000]  會的
[00:02:24.000 --> 00:02:28.000]  神今天也要透過這個來讓我們看見
[00:02:28.000 --> 00:02:32.000]  首先十六節到十八節
[00:02:32.000 --> 00:02:34.000]  我們今天讀的這段聖經裡面
[00:02:34.000 --> 00:02:39.000]  祂講到了基督的兩件事情
[00:02:39.000 --> 00:02:41.000]  讓我們認識基督的兩方面
[00:02:41.000 --> 00:02:44.000]  第一方面就是十六節十七節
[00:02:44.000 --> 00:02:49.000]  講到基督是萬有之手
[00:02:49.000 --> 00:02:50.000]  基督是萬有之手
[00:02:50.000 --> 00:02:55.000]  我們一起來看這段聖經
[00:02:55.000 --> 00:02:56.000]  十六節十七節這裡說
[00:02:56.000 --> 00:02:59.000]  愛子是那不能看見之神的相思
[00:02:59.000 --> 00:03:02.000]  因為萬有都是靠祂
[00:03:02.000 --> 00:03:04.000]  你注意看這一段聖經裡面
[00:03:04.000 --> 00:03:07.000]  講萬有講了幾次
[00:03:07.000 --> 00:03:08.000]  十六節對不對
[00:03:08.000 --> 00:03:12.000]  因為萬有都是靠祂造的
[00:03:12.000 --> 00:03:15.000]  然後還有呢
[00:03:15.000 --> 00:03:16.000]  十七節
[00:03:16.000 --> 00:03:19.000]  祂在萬有之先有沒有
[00:03:19.000 --> 00:03:22.000]  萬有也靠祂而立有沒有
[00:03:22.000 --> 00:03:23.000]  是不是
[00:03:23.000 --> 00:03:24.000]  然後十八節
[00:03:24.000 --> 00:03:26.000]  祂也是教會全體之首
[00:03:26.000 --> 00:03:29.000]  那等一下我們再看
[00:03:29.000 --> 00:03:30.000]  所以你看這邊
[00:03:30.000 --> 00:03:35.000]  一再提到萬有萬有萬有
[00:03:35.000 --> 00:03:42.000]  誰是這個萬有之首呢
[00:03:42.000 --> 00:03:45.000]  首先我們要來看
[00:03:45.000 --> 00:03:49.000]  這個在創世紀的時候
[00:03:49.000 --> 00:03:51.000]  第一章二十六節
[00:03:51.000 --> 00:03:52.000]  這段聖經
[00:03:52.000 --> 00:03:54.000]  第一章一到三節
[00:03:54.000 --> 00:03:56.000]  我們請弟兄來唸這段好不好
[00:03:56.000 --> 00:03:57.000]  弟兄跟著我一起來唸
[00:03:57.000 --> 00:03:59.000]  第一節到第三節
[00:03:59.000 --> 00:04:00.000]  來 預備 請
[00:04:00.000 --> 00:04:03.000]  起初神創造天地
[00:04:03.000 --> 00:04:06.000]  地是空虛混沌
[00:04:06.000 --> 00:04:07.000]  約面黑暗
[00:04:07.000 --> 00:04:10.000]  神的靈運行在水面上
[00:04:10.000 --> 00:04:13.000]  神說要有光就有了光
[00:04:13.000 --> 00:04:15.000]  好 這裡提到說
[00:04:15.000 --> 00:04:17.000]  起初誰創造天地
[00:04:17.000 --> 00:04:18.000]  神
[00:04:18.000 --> 00:04:19.000]  好 請你記得
[00:04:19.000 --> 00:04:22.000]  接著創世紀第一章的
[00:04:22.000 --> 00:04:23.000]  二十六節
[00:04:23.000 --> 00:04:24.000]  請姐妹帶我們來唸好不好
[00:04:24.000 --> 00:04:32.000]  來 預備 請
[00:04:32.000 --> 00:04:33.000]  好 注意看
[00:04:33.000 --> 00:04:34.000]  這個地方提到說
[00:04:34.000 --> 00:04:38.000]  神說要按照誰的形象來造人
[00:04:38.000 --> 00:04:39.000]  我們
[00:04:39.000 --> 00:04:40.000]  你有沒有發現
[00:04:40.000 --> 00:04:41.000]  這出現一個問題了
[00:04:41.000 --> 00:04:43.000]  請問你信了神
