
[00:00:00.000 --> 00:00:02.480]  撒尼托德斯班所唱的詩歌
[00:00:02.480 --> 00:00:06.520]  都幫助我們明白福音的訊息
[00:00:06.520 --> 00:00:09.400]  在耶穌基督降生在地上的日子
[00:00:09.400 --> 00:00:10.640]  當祂三十歲的時候
[00:00:10.640 --> 00:00:12.800]  祂開始傳道
[00:00:12.800 --> 00:00:13.640]  當祂傳道的時候
[00:00:13.640 --> 00:00:15.720]  祂就說「天國近了
[00:00:15.720 --> 00:00:19.040]  你們要悔改信福音」
[00:00:19.040 --> 00:00:23.040]  悔改信福音是回應一件真理
[00:00:23.040 --> 00:00:24.320]  一個事實
[00:00:24.320 --> 00:00:27.960]  就是天國降臨在這個世界裡面
[00:00:27.960 --> 00:00:31.080]  這個世界我們都感覺到很多不好的
[00:00:31.080 --> 00:00:33.600]  應該建造得很好的鐵路
[00:00:33.600 --> 00:00:37.880]  為什麼花了很多錢搞成這樣
[00:00:37.880 --> 00:00:42.440]  應該是幫人去預防疾病的疫苗
[00:00:42.440 --> 00:00:45.200]  變成了害人的毒物
[00:00:45.200 --> 00:00:47.720]  應該好好地管理好國家
[00:00:47.720 --> 00:00:49.880]  建好社會的政府
[00:00:49.880 --> 00:00:51.640]  可能裡面有很多
[00:00:51.640 --> 00:00:53.320]  令人感受到
[00:00:53.320 --> 00:00:56.920]  體會到不公義受害的事情的發生
[00:00:56.920 --> 00:00:58.960]  所以這個世界很需要
[00:00:58.960 --> 00:01:01.560]  神去管理這個世界
[00:01:01.560 --> 00:01:03.520]  神去創造這個世界
[00:01:03.520 --> 00:01:06.760]  而讓人有管理這個世界的權柄
[00:01:06.760 --> 00:01:07.320]  那個遺憤
[00:01:07.320 --> 00:01:10.320]  不過人犯罪離開了上帝
[00:01:10.320 --> 00:01:13.480]  所以這個世界就充滿著很多的苦難
[00:01:13.480 --> 00:01:16.680]  很多的不公義的事情
[00:01:16.680 --> 00:01:18.640]  天國要降臨
[00:01:18.640 --> 00:01:20.960]  要改變這個世界
[00:01:20.960 --> 00:01:25.440]  這是福音帶給我們一個最核心的訊息
[00:01:25.440 --> 00:01:29.040]  而當神去讓這個國度降臨的時候
[00:01:29.040 --> 00:01:31.040]  祂想我們有份
[00:01:31.040 --> 00:01:34.400]  不再活在不公義和死亡的裡面
[00:01:34.400 --> 00:01:36.800]  而是能夠活在一個祂所做的
[00:01:36.800 --> 00:01:38.320]  新天新地的世界裡面
[00:01:38.320 --> 00:01:42.040]  有新的生命和祂在一起
[00:01:42.040 --> 00:01:43.680]  人離開上帝
[00:01:43.680 --> 00:01:46.240]  就搞到這個世界烏雷丹刀了
[00:01:46.240 --> 00:01:50.760]  所以我們要回到上帝的身邊裡面
[00:01:50.760 --> 00:01:51.920]  今天我們所看的
[00:01:51.920 --> 00:01:53.040]  當才所讀的聖經
[00:01:53.040 --> 00:01:55.680]  我請大家再次翻開
[00:01:55.680 --> 00:01:57.200]  就是一個關於福音
[00:01:57.200 --> 00:01:59.800]  關於救恩的故事
[00:01:59.800 --> 00:02:02.320]  這個故事是一個真實的事蹟
[00:02:02.320 --> 00:02:04.760]  而且很真實的告訴我們
[00:02:04.760 --> 00:02:07.080]  神的愛臨到我們身上的時候
[00:02:07.080 --> 00:02:10.280]  所帶來的生命有多重大的改變
[00:02:10.280 --> 00:02:12.560]  是我們每個人都需要的
[00:02:12.560 --> 00:02:14.120]  即使我們已經信了耶穌
[00:02:14.120 --> 00:02:17.480]  我們再一次去聽福音的訊息的時候
[00:02:17.480 --> 00:02:22.040]  我們也能夠在其中繼續領受神給我們的幫助
[00:02:22.040 --> 00:02:25.640]  這個故事關於一個醫病的事蹟
[00:02:25.640 --> 00:02:28.440]  相信大家在教會裡都聽過很多次
[00:02:28.440 --> 00:02:30.680]  這個血流苦人的故事
[00:02:30.680 --> 00:02:33.120]  基督徒其實不時都會聽到
[00:02:33.120 --> 00:02:36.800]  有些人因為藉著祈禱病得到醫治的事例
[00:02:36.800 --> 00:02:38.720]  有些事例有法庭見證
[00:02:38.720 --> 00:02:40.600]  甚至一些未信耶穌的朋友
[00:02:40.600 --> 00:02:43.720]  都可能會看過這些見證或者聽過
[00:02:43.720 --> 00:02:45.000]  今天所說的這段經文
[00:02:45.000 --> 00:02:49.480]  關於長期病患者得到醫治的事蹟
[00:02:49.480 --> 00:02:51.600]  不過聖經所要強調的
[00:02:51.600 --> 00:02:55.120]  其實並不是耶穌醫治的能力
[00:02:55.120 --> 00:02:57.760]  其實對於一個唯獨的真神來說
[00:02:57.760 --> 00:03:00.360]  生命是祂所創造的
[00:03:00.360 --> 00:03:01.960]  祂能夠醫病
[00:03:01.960 --> 00:03:03.680]  有什麼奇怪呢?
[00:03:03.680 --> 00:03:05.440]  祂能夠使人復活
[00:03:05.440 --> 00:03:06.440]  有什麼奇怪呢?
[00:03:06.440 --> 00:03:08.880]  因為生命就是祂所做的
[00:03:08.880 --> 00:03:10.440]  所以聖經所要幫助我們的
[00:03:10.440 --> 00:03:14.720]  是透過關於疾病得到治療的事蹟
[00:03:14.720 --> 00:03:16.360]  更深去明白
[00:03:16.360 --> 00:03:21.440]  神要去解決我們生命裡的痛苦和問題
[00:03:21.440 --> 00:03:22.600]  基督徒信耶穌
[00:03:22.600 --> 00:03:27.280]  不只是因為得到某些好處才信
[00:03:27.280 --> 00:03:28.320]  我們所得到的好處
[00:03:28.320 --> 00:03:31.440]  也遠超過身體得到醫治
[00:03:31.440 --> 00:03:33.280]  基督徒信耶穌是因為
[00:03:33.280 --> 00:03:36.280]  我們認識到原來神是這麼好的
[00:03:36.280 --> 00:03:38.600]  所以我們要跟從祂
[00:03:38.600 --> 00:03:42.240]  聖經多次多方地宣告
[00:03:42.240 --> 00:03:45.240]  神去解決我們生命裡的問題
[00:03:45.240 --> 00:03:46.240]  我們今天要看的就是
[00:03:46.240 --> 00:03:49.160]  神如何解決我們生命裡兩方面的問題
[00:03:49.160 --> 00:03:50.760]  就是苦的問題
[00:03:50.760 --> 00:03:52.880]  和罪的問題
[00:03:52.880 --> 00:03:55.600]  第一個問題是受苦的問題
[00:03:55.600 --> 00:03:58.000]  第二個問題就是犯罪
[00:03:58.000 --> 00:04:00.800]  要罪得到赦免的問題
[00:04:00.800 --> 00:04:02.320]  耶穌所要做的
[00:04:02.320 --> 00:04:05.280]  不只是幫助我們理解這兩個問題
[00:04:05.280 --> 00:04:06.280]  理解是重要的
[00:04:06.280 --> 00:04:09.040]  不過最重要的是解決的問題
[00:04:09.040 --> 00:04:10.680]  很多時候我們都說
