
[00:00:00.000 --> 00:00:02.640]  請我們先做一次同心的禱告
[00:00:02.640 --> 00:00:05.440]  愛我們的恩主,我們獻上感恩
[00:00:05.440 --> 00:00:09.720]  今天在這個清晨給我們有這麼好的陽光
[00:00:09.720 --> 00:00:11.520]  這麼舒服的環境
[00:00:11.520 --> 00:00:15.440]  在溫暖的教堂當中去敬拜祢
[00:00:15.440 --> 00:00:21.120]  願祢讓我們有留心去聽、去思考、並且去行動
[00:00:21.120 --> 00:00:24.400]  又願僕人口中的言語與電影節目之間的心思、意念
[00:00:24.400 --> 00:00:26.400]  蒙聖靈的啟迪、蒙主的月立
[00:00:26.400 --> 00:00:28.400]  禱告奉耶穌基督的名
[00:00:28.400 --> 00:00:30.400]  阿們
[00:00:58.400 --> 00:01:00.400]  收到你的聖誕禮物和聖誕卡了
[00:01:00.400 --> 00:01:02.400]  曾經收到一些
[00:01:02.400 --> 00:01:04.400]  感謝主看到,原來多一些
[00:01:04.400 --> 00:01:07.400]  收到的人多一些,送出的人就少很多
[00:01:07.400 --> 00:01:09.400]  可能這兩天會繼續送
[00:01:09.400 --> 00:01:13.400]  不知道聖誕節你第一時間想起的是什麼
[00:01:13.400 --> 00:01:17.400]  可能你第一時間想起的就是聖誕禮物
[00:01:17.400 --> 00:01:21.400]  聖誕大餐,不知道你習慣不習慣吃大餐
[00:01:21.400 --> 00:01:24.400]  聖誕節可能想起的就是聖誕節可以放假了
[00:01:24.400 --> 00:01:28.400]  終於很累,很忙,忙了幾個月
[00:01:28.400 --> 00:01:30.400]  不知道大家聖誕節會不會去看燈飾
[00:01:30.400 --> 00:01:33.400]  有沒有人已經去過尖沙咀看燈飾?
[00:01:33.400 --> 00:01:35.400]  少了很多,也有
[00:01:35.400 --> 00:01:38.400]  以前看燈飾是一個大的活動
[00:01:38.400 --> 00:01:40.400]  一定要去看看
[00:01:40.400 --> 00:01:43.400]  我今年剛好經過,也沒有心去看
[00:01:43.400 --> 00:01:45.400]  剛好經過就看過燈飾
[00:01:45.400 --> 00:01:48.400]  看到尖東裏面最大的燈飾是什麼?
[00:01:48.400 --> 00:01:50.400]  大家有沒有記得?如果去過看過
[00:01:50.400 --> 00:01:52.400]  在尖東的噴水池
[00:01:52.400 --> 00:01:54.400]  在尖東的廣場裏面
[00:01:54.400 --> 00:01:56.400]  通常圍著三面都是大型燈飾
[00:01:56.400 --> 00:01:59.400]  其中一個正面最大型的燈飾
[00:01:59.400 --> 00:02:01.400]  是一隻黃色的鴨子
[00:02:01.400 --> 00:02:03.400]  知不知道?有看過嗎?
[00:02:03.400 --> 00:02:05.400]  很大隻的,整座樓的鴨子
[00:02:05.400 --> 00:02:08.400]  接著旁邊那兩邊就是聖誕快樂
[00:02:08.400 --> 00:02:10.400]  沒什麼其他東西
[00:02:10.400 --> 00:02:12.400]  為什麼會是鴨子呢?
[00:02:12.400 --> 00:02:15.400]  大家知不知道聖誕節和鴨子有什麼關係呢?
[00:02:15.400 --> 00:02:18.400]  知道的話你告訴我,我不知道
[00:02:18.400 --> 00:02:21.400]  為什麼聖誕節會變成鴨子呢?
[00:02:21.400 --> 00:02:23.400]  到底是因為人覺得聖誕節
[00:02:23.400 --> 00:02:26.400]  總之找些東西,找些商機
[00:02:26.400 --> 00:02:29.400]  所以我看到那些商場附近有人賣那些鴨子
[00:02:29.400 --> 00:02:31.400]  可能鴨子代表一些開心的事
[00:02:31.400 --> 00:02:33.400]  可能聖誕節找些開心的事
[00:02:33.400 --> 00:02:36.400]  無論如何可能聖誕節現在在很多人的心目中
[00:02:36.400 --> 00:02:38.400]  已經是一個假期
[00:02:38.400 --> 00:02:40.400]  是一個放假
[00:02:40.400 --> 00:02:41.400]  消閒
[00:02:41.400 --> 00:02:42.400]  慶祝
[00:02:42.400 --> 00:02:44.400]  甚至狂歡的日子
[00:02:44.400 --> 00:02:47.400]  忘記了聖誕節的意義
[00:02:47.400 --> 00:02:52.400]  今天我給一個題目叫做在不安中的平安
[00:02:52.400 --> 00:02:54.400]  剛才開始的時候
[00:02:54.400 --> 00:02:57.400]  你見到點起了今天第四支的將臨期的蠟燭
[00:02:57.400 --> 00:02:59.400]  這支蠟燭代表平安
[00:02:59.400 --> 00:03:02.400]  弟兄姊妹你想不想有平安?
[00:03:02.400 --> 00:03:03.400]  當然想
[00:03:03.400 --> 00:03:05.400]  中國人最想的就是平安
[00:03:05.400 --> 00:03:08.400]  在家裡每年新年最多唸那張揮春
[00:03:08.400 --> 00:03:09.400]  或者由年頭唸到年尾
[00:03:09.400 --> 00:03:11.400]  現在可能還有家裡看到的
[00:03:11.400 --> 00:03:12.400]  是什麼?
[00:03:12.400 --> 00:03:13.400]  出入平安
[00:03:13.400 --> 00:03:15.400]  平安是很重要的
[00:03:15.400 --> 00:03:18.400]  如果我們每一天都可以經歷平安都很重要
[00:03:18.400 --> 00:03:21.400]  但是怎樣才可以有平安呢?
[00:03:21.400 --> 00:03:22.400]  今天我給的就是
[00:03:22.400 --> 00:03:23.400]  原來第一樣想的就是
[00:03:23.400 --> 00:03:28.400]  平安可能就是要先發現自己很多不安
[00:03:28.400 --> 00:03:29.400]  當你很多事情都沒事的時候
[00:03:29.400 --> 00:03:31.400]  你不會覺得平安重要
[00:03:31.400 --> 00:03:32.400]  當你有些不安的時候
[00:03:32.400 --> 00:03:33.400]  平安就很重要了
[00:03:33.400 --> 00:03:34.400]  是不是?
[00:03:34.400 --> 00:03:35.400]  當中有學生可能說
[00:03:35.400 --> 00:03:36.400]  我考試
[00:03:36.400 --> 00:03:37.400]  當我臨考試的時候
[00:03:37.400 --> 00:03:39.400]  整手都是汗
[00:03:39.400 --> 00:03:41.400]  又很辛苦睡不著
[00:03:41.400 --> 00:03:43.400]  你就很需要上來的平安
[00:03:43.400 --> 00:03:45.400]  當你要等候很多不安的時候
[00:03:45.400 --> 00:03:47.400]  你就需要很多的平安
[00:03:47.400 --> 00:03:50.400]  弟兄姊妹你有沒有不安?
[00:03:50.400 --> 00:03:51.400]  或者這幾天
[00:03:51.400 --> 00:03:53.400]  在這段日子當中你有沒有不安?
