
[00:00:00.000 --> 00:00:02.000]  各位電視姐妹大家好
[00:00:02.000 --> 00:00:07.000]  明天是母親節
[00:00:07.000 --> 00:00:14.000]  所以很想和大家今天有機會一起思考一下
[00:00:14.000 --> 00:00:22.000]  這個源自西方,但是香港也十分受到重視的節日
[00:00:22.000 --> 00:00:27.000]  通常一般而言,我們都會在母親節的時候
[00:00:27.000 --> 00:00:30.000]  和媽媽一起去吃頓飯
[00:00:30.000 --> 00:00:37.000]  表現我們對母親那種孝順的感情
[00:00:37.000 --> 00:00:42.000]  當然今天我不是打算在這裡說
[00:00:42.000 --> 00:00:47.000]  我們要孝順父母,孝順母親這樣的說話
[00:00:47.000 --> 00:00:52.000]  因為我深信其實我們都不會不知道
[00:00:52.000 --> 00:00:58.000]  應該我們都知道我們要孝順我們的母親或者孝順我們的父母
[00:00:58.000 --> 00:01:02.000]  再加上我們是中國人的群體
[00:01:02.000 --> 00:01:05.000]  我記得我讀中學的時候
[00:01:05.000 --> 00:01:12.000]  有機會讀到一本叫論語的書
[00:01:12.000 --> 00:01:17.000]  那本書是孔子的一些說話的記錄
[00:01:17.000 --> 00:01:19.000]  他的學生記錄下來的
[00:01:19.000 --> 00:01:23.000]  我讀中學的時候剛好讀到兩句
[00:01:23.000 --> 00:01:25.000]  其實不止兩句,有好幾句
[00:01:25.000 --> 00:01:26.000]  是講孝的
[00:01:26.000 --> 00:01:29.000]  我小時候看的時候
[00:01:29.000 --> 00:01:33.000]  我已經覺得很觸動到我
[00:01:33.000 --> 00:01:36.000]  那兩句說話是怎樣說的呢
[00:01:36.000 --> 00:01:39.000]  第一句最觸動到我的說話
[00:01:39.000 --> 00:01:41.000]  其中一句是這樣記載的
[00:01:41.000 --> 00:01:44.000]  孔子說:今之孝者是為能養
[00:01:44.000 --> 00:01:49.000]  至於犬馬皆能有養,不敬何以別乎?
[00:01:49.000 --> 00:01:51.000]  他第一句說話是這樣說的
[00:01:51.000 --> 00:01:54.000]  他說現在的人說孝
[00:01:54.000 --> 00:01:59.000]  可以養到或者照顧到父母就叫做孝
[00:01:59.000 --> 00:02:01.000]  不過孔子就說
[00:02:01.000 --> 00:02:06.000]  不是的,其實那些狗、馬這些動物
[00:02:06.000 --> 00:02:10.000]  都會照顧他的家庭的
[00:02:10.000 --> 00:02:14.000]  這樣就叫做孝,是不是有點問題呢
[00:02:14.000 --> 00:02:17.000]  所以孔子就另一句說話
[00:02:17.000 --> 00:02:20.000]  他就再將孝再解釋一下
[00:02:20.000 --> 00:02:22.000]  有個人就問他
[00:02:22.000 --> 00:02:24.000]  孝是什麼呢
[00:02:24.000 --> 00:02:29.000]  孔子就說:父母為其疾之憂
[00:02:29.000 --> 00:02:31.000]  他說什麼呢
[00:02:31.000 --> 00:02:33.000]  我很喜歡這句說話
[00:02:33.000 --> 00:02:34.000]  他說孝是什麼呢
[00:02:34.000 --> 00:02:39.000]  他說父母從來就是擔心一件事
[00:02:39.000 --> 00:02:41.000]  為其疾之憂是什麼呢
[00:02:41.000 --> 00:02:45.000]  就是擔心子女的身體
[00:02:45.000 --> 00:02:47.000]  所以孔子就說
[00:02:47.000 --> 00:02:49.000]  什麼叫孝順呢
[00:02:49.000 --> 00:02:53.000]  做子女的好好保護自己的身體
[00:02:53.000 --> 00:02:56.000]  其實不令父母擔心
[00:02:56.000 --> 00:02:59.000]  這個就是孝順
[00:02:59.000 --> 00:03:01.000]  我不知為什麼中學的時候
[00:03:01.000 --> 00:03:03.000]  我看的時候很感動的這句說話
[00:03:03.000 --> 00:03:06.000]  我一直驗證了三十多四十年
[00:03:06.000 --> 00:03:10.000]  到昨天我媽媽找我的時候
[00:03:10.000 --> 00:03:12.000]  都在擔心我
[00:03:12.000 --> 00:03:14.000]  有沒有事,你身體OK吧
[00:03:14.000 --> 00:03:16.000]  不要捱壞
[00:03:16.000 --> 00:03:20.000]  到現在她都在擔心我這件事
[00:03:20.000 --> 00:03:24.000]  所以今天我們都明白孝是什麼
[00:03:24.000 --> 00:03:27.000]  或者我們都知道要孝順父母
[00:03:27.000 --> 00:03:31.000]  所以今天我想和大家分享得深入一點
[00:03:31.000 --> 00:03:33.000]  或者做多一點的延伸
