
[00:00:00.000 --> 00:00:07.000]  今天的講題是「祈求就給你滿」
[00:00:07.000 --> 00:00:09.000]  在日常生活中
[00:00:09.000 --> 00:00:11.000]  我們想想有多少例子
[00:00:11.000 --> 00:00:17.000]  你的禱告是「蒙英雲」和「不蒙英雲」
[00:00:17.000 --> 00:00:19.000]  不知道大家有沒有試過這樣的經驗
[00:00:19.000 --> 00:00:21.000]  上班那些
[00:00:21.000 --> 00:00:25.000]  每天出門的時候都希望坐車順利
[00:00:25.000 --> 00:00:27.000]  但願上到地鐵站
[00:00:27.000 --> 00:00:30.000]  地鐵站一分鐘就到了
[00:00:30.000 --> 00:00:31.000]  或者等巴士
[00:00:31.000 --> 00:00:33.000]  很快巴士就到了
[00:00:33.000 --> 00:00:35.000]  有時你都很想入座位
[00:00:35.000 --> 00:00:37.000]  你可能祈禱天父今天很累
[00:00:37.000 --> 00:00:39.000]  很想有一個座位
[00:00:39.000 --> 00:00:41.000]  剛好有一個座位
[00:00:41.000 --> 00:00:42.000]  所以你很感恩
[00:00:42.000 --> 00:00:44.000]  但有些時候你祈禱都沒有
[00:00:44.000 --> 00:00:45.000]  算了
[00:00:45.000 --> 00:00:47.000]  有些時候你又沒有祈禱
[00:00:47.000 --> 00:00:49.000]  免得天天都這樣祈禱
[00:00:49.000 --> 00:00:51.000]  我們試過有個電影節目
[00:00:51.000 --> 00:00:53.000]  在大埔出九龍
[00:00:53.000 --> 00:00:54.000]  居然上巴士
[00:00:54.000 --> 00:00:56.000]  在大埔虛人下車
[00:00:56.000 --> 00:00:59.000]  原來那些巴士家屬不用錢
[00:00:59.000 --> 00:01:02.000]  這麼近都坐一個站就到了
[00:01:02.000 --> 00:01:04.000]  或者有些時候我們病
[00:01:04.000 --> 00:01:07.000]  我們都祈禱求神醫治
[00:01:07.000 --> 00:01:08.000]  很快
[00:01:08.000 --> 00:01:09.000]  祈禱了沒多久
[00:01:09.000 --> 00:01:11.000]  第二天就好了
[00:01:11.000 --> 00:01:12.000]  有時你病了很久
[00:01:12.000 --> 00:01:14.000]  你一直祈禱都沒有用
[00:01:14.000 --> 00:01:15.000]  看了醫生都沒有
[00:01:15.000 --> 00:01:16.000]  一個禮拜咳又沒有好
[00:01:16.000 --> 00:01:17.000]  兩個禮拜又沒有好
[00:01:17.000 --> 00:01:21.000]  有些又咳了一個多月都沒有好
[00:01:21.000 --> 00:01:26.000]  即是祈求是否吸引你們呢
[00:01:26.000 --> 00:01:30.000]  似乎我們的經驗可能是參半
[00:01:30.000 --> 00:01:33.000]  有人嘗試列我們一些情況
[00:01:33.000 --> 00:01:35.000]  特別是張祥智先生
[00:01:35.000 --> 00:01:38.000]  他在他的書中也有解釋過這段經文
[00:01:38.000 --> 00:01:41.000]  至少有四種情況出現在我們祈禱生活中
[00:01:41.000 --> 00:01:44.000]  當你祈求的時候真的得著
[00:01:44.000 --> 00:01:45.000]  第二
[00:01:45.000 --> 00:01:47.000]  你祈禱的時候真的得不到
[00:01:47.000 --> 00:01:48.000]  第三
