
[00:00:00.000 --> 00:00:02.800]  無獨有偶,今天唱的詩歌
[00:00:02.800 --> 00:00:05.300]  獻給我們年輕的力量
[00:00:05.300 --> 00:00:08.440]  特別提到我們要穿起全副軍裝
[00:00:08.440 --> 00:00:10.680]  來為主打納米爾的仗
[00:00:10.680 --> 00:00:14.440]  亦是效法耶穌基督
[00:00:14.440 --> 00:00:18.480]  所以這裏讓我們看見
[00:00:18.480 --> 00:00:20.880]  我們實在行走天路的時候
[00:00:20.880 --> 00:00:25.200]  我們同時間為主爭戰
[00:00:25.200 --> 00:00:27.800]  最近我們的主一學
[00:00:27.800 --> 00:00:31.400]  是《天路客之歌》來到差不多尾聲
[00:00:31.400 --> 00:00:33.920]  大家有上課的都留意到
[00:00:33.920 --> 00:00:38.440]  天路客開始真正奔走寧晴
[00:00:38.440 --> 00:00:43.800]  一個很重要的關頭就是他卸下重擔
[00:00:43.800 --> 00:00:46.200]  然後穿上軍裝
[00:00:46.200 --> 00:00:50.000]  在一路行天路的時候其實是一個爭戰
[00:00:50.000 --> 00:00:51.800]  一路行天路的時候
[00:00:51.800 --> 00:00:56.840]  是靠主來到一次再一次得勝
[00:00:56.840 --> 00:01:03.000]  我們感謝神,在人生當中好像一場仗
[00:01:03.000 --> 00:01:09.200]  有時候我們都會感受到那種壓力
[00:01:09.200 --> 00:01:11.600]  但同時間我們需要警醒
[00:01:11.600 --> 00:01:16.600]  因為背後的爭戰不是我們看見的事物
[00:01:16.600 --> 00:01:22.400]  很多時候是我們看不到這些靈界的一些影響
[00:01:22.400 --> 00:01:25.400]  在這個爭戰期間
[00:01:25.400 --> 00:01:27.600]  我們見到有跟惡魔爭戰
[00:01:27.600 --> 00:01:29.600]  跟魔鬼爭戰
[00:01:29.600 --> 00:01:31.600]  這是頭號敵人
[00:01:31.600 --> 00:01:38.280]  又看見基督徒跟世俗的引誘來爭戰
[00:01:38.280 --> 00:01:42.480]  去到一個地方周圍的人都是很世俗化的
[00:01:42.480 --> 00:01:45.680]  來享受現今的一些享樂
[00:01:45.680 --> 00:01:49.080]  他需要在那裏得勝
[00:01:49.080 --> 00:01:52.800]  又與那些逼迫他的人來爭戰
[00:01:52.800 --> 00:01:56.600]  這些敵黨基督徒逼迫的人
[00:01:56.600 --> 00:02:00.080]  同時間很多時候是跟自己的思想
[00:02:00.080 --> 00:02:02.680]  或者跟自己的罪性來爭戰
[00:02:02.680 --> 00:02:05.000]  因為那些軟弱灰心
[00:02:05.000 --> 00:02:09.480]  那些受試探而離開主的心情
[00:02:09.480 --> 00:02:12.680]  需要不斷靠主得勝
[00:02:12.680 --> 00:02:13.680]  我們覺得不出奇
[00:02:13.680 --> 00:02:17.880]  因為耶穌基督在這個世界的時候
[00:02:17.880 --> 00:02:20.680]  亦都成為一個戰士
[00:02:20.680 --> 00:02:23.480]  他不單止跟魔鬼爭戰跟世俗
[00:02:23.480 --> 00:02:25.680]  這些虛榮爭戰
[00:02:25.680 --> 00:02:29.080]  亦都跟自己肉身的需要
[00:02:29.080 --> 00:02:30.880]  魔鬼試探他的時候
[00:02:30.880 --> 00:02:34.480]  叫他將石頭變為病
[00:02:34.480 --> 00:02:37.280]  當然亦都有很多去抵擋他
[00:02:37.280 --> 00:02:39.680]  逼迫基督的人
[00:02:39.680 --> 00:02:41.480]  耶穌是我們的榜樣
[00:02:41.480 --> 00:02:43.280]  是我們的主
