
[00:00:00.000 --> 00:00:05.000]  今天會就著我們奉獻主日
[00:00:05.000 --> 00:00:08.000]  我們希望一起去思想彼此的勉勵
[00:00:08.000 --> 00:00:09.000]  彼此的提醒
[00:00:09.000 --> 00:00:13.000]  是關於金錢的奉獻
[00:00:13.000 --> 00:00:15.000]  所以你會發現
[00:00:15.000 --> 00:00:17.000]  我今天的題目就是
[00:00:17.000 --> 00:00:20.000]  樂意捐獻
[00:00:20.000 --> 00:00:23.000]  或者是奉獻
[00:00:23.000 --> 00:00:26.000]  來建立教會
[00:00:26.000 --> 00:00:31.000]  其實講到關於金錢奉獻的訊息
[00:00:31.000 --> 00:00:34.000]  我自己覺得我
[00:00:34.000 --> 00:00:37.000]  不是很喜歡講這方面的訊息
[00:00:37.000 --> 00:00:39.000]  為什麼呢
[00:00:39.000 --> 00:00:41.000]  因為我覺得我自己
[00:00:41.000 --> 00:00:44.000]  理財就一般般
[00:00:44.000 --> 00:00:47.000]  在這方面都不是很懂得精打細算
[00:00:47.000 --> 00:00:49.000]  想很多東西
[00:00:49.000 --> 00:00:51.000]  不單止這樣
[00:00:51.000 --> 00:00:54.000]  金錢對於我來說
[00:00:54.000 --> 00:00:58.000]  我都不是太著意在那裡
[00:00:58.000 --> 00:00:59.000]  因為我覺得
[00:00:59.000 --> 00:01:04.000]  人的生命不在乎家道豐富
[00:01:04.000 --> 00:01:06.000]  這是主耶穌的話
[00:01:06.000 --> 00:01:08.000]  人的生命的意義和價值
[00:01:08.000 --> 00:01:12.000]  完全不是建基於金錢上
[00:01:12.000 --> 00:01:14.000]  所以我自己在這方面
[00:01:14.000 --> 00:01:17.000]  都不會有太多的著意
[00:01:17.000 --> 00:01:20.000]  不過我又發現
[00:01:20.000 --> 00:01:26.000]  我又不能夠不講關於金錢奉獻的訊息
[00:01:26.000 --> 00:01:28.000]  為什麼呢
[00:01:28.000 --> 00:01:30.000]  其中一個很重要的原因就是
[00:01:30.000 --> 00:01:34.000]  因為聖經真的有這樣的教導
[00:01:34.000 --> 00:01:37.000]  我們作為傳道人
[00:01:37.000 --> 00:01:38.000]  傳神的道
[00:01:38.000 --> 00:01:40.000]  沒有可能道裡面有講的東西
[00:01:40.000 --> 00:01:43.000]  我們又隱藏不講
[00:01:43.000 --> 00:01:46.000]  所以我們都要去分享
[00:01:46.000 --> 00:01:50.000]  所以我就算個人不是很喜歡講這方面的題目
[00:01:50.000 --> 00:01:53.000]  我都覺得有需要的話
[00:01:53.000 --> 00:01:56.000]  就好像今天的奉獻禮拜
[00:01:56.000 --> 00:01:58.000]  我又去講一下
[00:01:58.000 --> 00:02:00.000]  除了這個真理層面
[00:02:00.000 --> 00:02:02.000]  需要這樣做的話
[00:02:02.000 --> 00:02:04.000]  另外都有一個很重要的層面
[00:02:04.000 --> 00:02:05.000]  作為牧師傳道人
[00:02:05.000 --> 00:02:08.000]  都需要講關於金錢奉獻的訊息
