
[00:00:00.000 --> 00:00:04.680]  今天講到的講題是
[00:00:04.680 --> 00:00:06.840]  他要作王直到永永遠遠
[00:00:06.840 --> 00:00:10.240]  經文是在啟示錄十一章十五節
[00:00:10.240 --> 00:00:11.200]  請這麼說
[00:00:11.200 --> 00:00:12.960]  第七位天使吹號
[00:00:12.960 --> 00:00:14.400]  天上就有大聲音說
[00:00:14.400 --> 00:00:16.880]  世上的國成了我主和主嫉妒的國
[00:00:16.880 --> 00:00:18.960]  他要作王直到永永遠遠
[00:00:18.960 --> 00:00:20.280]  其實這段經文
[00:00:20.280 --> 00:00:24.160]  對於我在聖經裡面這麼多句經文來說
[00:00:24.160 --> 00:00:26.160]  是其中一句都很喜歡的經文
[00:00:26.160 --> 00:00:27.560]  為什麼呢?
[00:00:27.560 --> 00:00:30.200]  就是因為其實有一天
[00:00:30.200 --> 00:00:31.560]  在聖經裡面說有一天
[00:00:31.560 --> 00:00:33.360]  耶穌再回來的時候
[00:00:33.360 --> 00:00:37.040]  其實他要真真正正在這個世界裡面掌權
[00:00:37.040 --> 00:00:40.160]  全世界的政府都要交出他的權力
[00:00:40.160 --> 00:00:43.000]  以及讓他耶穌統治
[00:00:43.000 --> 00:00:45.280]  其實在聖經裡面說的是
[00:00:45.280 --> 00:00:47.040]  耶穌統治的時候
[00:00:47.040 --> 00:00:49.080]  會發生什麼事情呢?
[00:00:49.080 --> 00:00:50.480]  在《倚創教書》裡面這麼說的
[00:00:50.480 --> 00:00:51.160]  就是說
[00:00:51.160 --> 00:00:54.280]  豺狼和綿羊羔同居
[00:00:54.280 --> 00:00:57.520]  豺狼和綿羊在一起
[00:00:57.520 --> 00:01:00.560]  豹子和山羊羔同餓
[00:01:00.560 --> 00:01:03.400]  就是一起躺在地上
[00:01:03.400 --> 00:01:07.160]  少壯獅子和牛獨和肥畜同群
[00:01:07.160 --> 00:01:09.480]  就是說現在你會看到獅子一出來
[00:01:09.480 --> 00:01:11.880]  其他動物就馬上跑掉了
[00:01:11.880 --> 00:01:13.160]  馬上怕什麼呢?
[00:01:13.160 --> 00:01:14.440]  會吃牠
[00:01:14.440 --> 00:01:16.480]  但是將來耶穌統治的時候
[00:01:16.480 --> 00:01:19.320]  少壯獅子和牛獨和肥畜
[00:01:19.320 --> 00:01:21.680]  可以在一起的
[00:01:21.680 --> 00:01:22.520]  另外呢
[00:01:22.520 --> 00:01:24.200]  小孩子
[00:01:24.200 --> 00:01:26.480]  要牽引他們
[00:01:26.480 --> 00:01:29.400]  小孩子牽引獅子
[00:01:29.400 --> 00:01:31.560]  這些我想在童話故事已經看到了
[00:01:31.560 --> 00:01:32.800]  但是將來有一天
[00:01:32.800 --> 00:01:34.560]  耶穌統治在這個世界
[00:01:34.560 --> 00:01:36.320]  真真正正會出現
[00:01:36.320 --> 00:01:37.920]  然後
[00:01:37.920 --> 00:01:39.360]  還要說
[00:01:39.360 --> 00:01:44.520]  那些牛和熊一起吃
[00:01:44.520 --> 00:01:47.640]  牛獨必和小熊同餓
[00:01:47.640 --> 00:01:51.160]  獅子將來會吃什麼呢?
[00:01:51.160 --> 00:01:53.480]  是必吃草和牛一樣
[00:01:53.480 --> 00:01:55.200]  真的是吃草的
[00:01:55.200 --> 00:01:56.720]  獅子吃草
[00:01:56.720 --> 00:01:57.720]  大家見過嗎?
[00:01:57.720 --> 00:02:01.280]  將來會有一天
[00:02:01.280 --> 00:02:03.040]  吃奶的孩子
[00:02:03.040 --> 00:02:04.080]  就是說
[00:02:04.080 --> 00:02:05.200]  還在吃片
[00:02:05.200 --> 00:02:06.520]  小孩子他做什麼呢?
[00:02:06.520 --> 00:02:09.880]  就必要在毒蛇的洞口
[00:02:09.880 --> 00:02:13.920]  斷奶的嬰兒必要按手在毒蛇的穴裡
[00:02:13.920 --> 00:02:16.800]  現在你看到媽媽的嬰兒
[00:02:16.800 --> 00:02:19.680]  手伸進去的電掣
[00:02:19.680 --> 00:02:21.040]  你也馬上學著
[00:02:21.040 --> 00:02:22.280]  但是聖經說
[00:02:22.280 --> 00:02:23.560]  將來的小孩子
[00:02:23.560 --> 00:02:27.440]  手伸進毒蛇的洞穴裡是沒事的
[00:02:27.440 --> 00:02:29.560]  然後
[00:02:29.560 --> 00:02:32.640]  在我的聖山上騙著
[00:02:32.640 --> 00:02:36.440]  這一切都不傷人
[00:02:36.440 --> 00:02:37.480]  就是完全和平
[00:02:37.480 --> 00:02:38.080]  不害物
[00:02:38.080 --> 00:02:38.680]  還有
[00:02:38.680 --> 00:02:41.400]  認識耶和華的知識叫充滿泉地
[00:02:41.400 --> 00:02:43.960]  草泉水充滿洋河一樣
[00:02:43.960 --> 00:02:45.480]  所以你會看到
[00:02:45.480 --> 00:02:47.600]  當耶穌掌權的時候
[00:02:47.600 --> 00:02:50.400]  這個國是一個和平的國
[00:02:50.400 --> 00:02:51.240]  這個國
[00:02:51.240 --> 00:02:53.280]  是完全在世上一切的問題
[00:02:53.280 --> 00:02:57.440]  將會在祂的統治下徹底解決
[00:02:57.440 --> 00:02:59.400]  而祂這個統治是什麼呢?
[00:02:59.400 --> 00:03:02.240]  不是四年的任期
[00:03:02.240 --> 00:03:04.120]  不是只可以逐一年
[00:03:04.120 --> 00:03:05.840]  逐一次就八年的任期
[00:03:05.840 --> 00:03:06.800]  不是十二年
[00:03:06.800 --> 00:03:09.760]  而是祂的任期有多久
[00:03:09.760 --> 00:03:10.400]  永恆
[00:03:10.400 --> 00:03:12.760]  永恆是什麼呢?
[00:03:12.760 --> 00:03:14.480]  無限期
[00:03:14.480 --> 00:03:16.840]  就是明天是後天是永遠是
[00:03:16.840 --> 00:03:18.280]  祂都是作王
[00:03:18.280 --> 00:03:20.000]  所以將來
[00:03:20.000 --> 00:03:24.040]  先這麼說,世上的國成了我主和主基督的國
[00:03:24.040 --> 00:03:25.360]  祂要作王
[00:03:25.360 --> 00:03:27.240]  直到永永遠遠
[00:03:27.240 --> 00:03:29.240]  這是什麼大好消息呢?
[00:03:29.240 --> 00:03:31.080]  因為你看回這個世界
[00:03:31.080 --> 00:03:32.440]  你看新聞影子
