
[00:00:00.000 --> 00:00:03.480]  我想問大家有沒有試過一種這樣的經驗
[00:00:03.480 --> 00:00:06.200]  你聽到一個消息
[00:00:06.200 --> 00:00:10.200]  這個消息聽到後令到你都很大壓力
[00:00:10.200 --> 00:00:12.200]  很大的擔憂
[00:00:12.200 --> 00:00:14.200]  有沒有試過
[00:00:14.200 --> 00:00:16.200]  試過甚麼消息
[00:00:16.200 --> 00:00:19.000]  我台下的是教育童工
[00:00:19.000 --> 00:00:20.800]  是甚麼消息
[00:00:20.800 --> 00:00:22.800]  下星期要講到
[00:00:22.800 --> 00:00:26.800]  我記得我十九歲的時候
[00:00:26.800 --> 00:00:28.800]  只是很短的時間
[00:00:28.800 --> 00:00:34.800]  一次我們的榮休主教牧師廖志勤牧師跟我講
[00:00:34.800 --> 00:00:41.800]  他說下個月請你在晚堂崇拜裏面做主席好不好
[00:00:41.800 --> 00:00:44.800]  他問好不好其實真的要好的
[00:00:44.800 --> 00:00:47.800]  我說好吧
[00:00:47.800 --> 00:00:51.800]  那時候我答完之後一直都很擔心
[00:00:51.800 --> 00:00:55.800]  第一我一套西裝都沒有
[00:00:55.800 --> 00:01:00.800]  你知道我們晚堂做主席一定要穿西裝
[00:01:00.800 --> 00:01:02.800]  打領帶
[00:01:02.800 --> 00:01:04.800]  這個都不是太難的
[00:01:04.800 --> 00:01:07.800]  後來都買了一套西裝
[00:01:07.800 --> 00:01:09.800]  可能我人生第一套西裝
[00:01:09.800 --> 00:01:12.800]  我還記得顏色是米白色的
[00:01:12.800 --> 00:01:14.800]  都幾醒目的
[00:01:14.800 --> 00:01:18.800]  但是做晚堂主席很多事情要去記掛
[00:01:18.800 --> 00:01:20.800]  即是流程
[00:01:20.800 --> 00:01:23.800]  要人起身要人坐下
[00:01:23.800 --> 00:01:25.800]  祈禱等等
[00:01:25.800 --> 00:01:26.800]  很擔心
[00:01:26.800 --> 00:01:29.800]  所以我記得那段時間真的很擔心
[00:01:29.800 --> 00:01:33.800]  特別是到星期六晚
[00:01:33.800 --> 00:01:35.800]  第二晚就要做了
[00:01:35.800 --> 00:01:36.800]  整晚都睡不著
[00:01:36.800 --> 00:01:41.800]  整晚都在做夢想起崇拜程序
[00:01:41.800 --> 00:01:44.800]  你們有沒有試過整晚做夢在崇拜
[00:01:44.800 --> 00:01:46.800]  當然相信沒有
[00:01:46.800 --> 00:01:49.800]  我們有時候會這樣
[00:01:49.800 --> 00:01:53.800]  我們準備做主席有時候太擔心
[00:01:53.800 --> 00:01:55.800]  整晚都睡不好
[00:01:55.800 --> 00:01:57.800]  做夢的情況
[00:01:57.800 --> 00:02:00.800]  這個當然是一些擔心
[00:02:00.800 --> 00:02:03.800]  我慢慢學習了一件事
[00:02:03.800 --> 00:02:04.800]  每逢有些擔心
[00:02:04.800 --> 00:02:06.800]  有些事情解決不了
[00:02:06.800 --> 00:02:08.800]  有些事情想不通
[00:02:08.800 --> 00:02:10.800]  我想睡覺之前
[00:02:10.800 --> 00:02:11.800]  我就會這樣想
[00:02:11.800 --> 00:02:12.800]  不再想了
[00:02:12.800 --> 00:02:15.800]  真的搞到整晚都做夢那件事情
[00:02:15.800 --> 00:02:16.800]  睡得不好
[00:02:16.800 --> 00:02:19.800]  我就會跟神說
[00:02:19.800 --> 00:02:21.800]  這件事我交給你了
[00:02:21.800 --> 00:02:24.800]  神請天使來接手
[00:02:24.800 --> 00:02:26.800]  你拿走它
[00:02:26.800 --> 00:02:28.800]  我就不再理這件事了
[00:02:28.800 --> 00:02:29.800]  交給你
[00:02:29.800 --> 00:02:35.800]  我可以睡覺了
[00:02:35.800 --> 00:02:36.800]  不理那麼多
[00:02:36.800 --> 00:02:37.800]  一覺睡天光
[00:02:37.800 --> 00:02:39.800]  將這件事交給神
[00:02:39.800 --> 00:02:43.800]  希望神直接天使去完成它
[00:02:43.800 --> 00:02:45.800]  搞定它
[00:02:45.800 --> 00:02:47.800]  明天早上我起床的時候
[00:02:47.800 --> 00:02:50.800]  就忘卻這些擔心
[00:02:50.800 --> 00:02:54.800]  雖然好像是一種
[00:02:54.800 --> 00:02:57.800]  好像不理那麼多
[00:02:57.800 --> 00:02:59.800]  其實也是一種
[00:02:59.800 --> 00:03:02.800]  將這些擔心交託給神
[00:03:02.800 --> 00:03:08.800]  今天剛才黃玲全和我讀了一段經文
[00:03:08.800 --> 00:03:10.800]  一段是關於
[00:03:10.800 --> 00:03:14.800]  主耶穌基督降生之前的經文
[00:03:14.800 --> 00:03:17.800]  《路加福音》一章二十六到三十八節
[00:03:17.800 --> 00:03:19.800]  天使就來到
