
[00:00:00.000 --> 00:00:02.820]  使徒信經 要講到是
[00:00:02.820 --> 00:00:06.900]  在遠古 遠古2000年前 有
[00:00:06.900 --> 00:00:10.740]  那時候人不太讀書 教會為了讓大家知道
[00:00:10.740 --> 00:00:14.580]  到底基督教是怎麼回事 就寫了一篇非常簡短的
[00:00:14.580 --> 00:00:16.900]  信經 叫做The Apostles Creed
[00:00:16.900 --> 00:00:18.940]  中文叫做使徒信經
[00:00:18.940 --> 00:00:22.020]  那麼我們在這個系列裡面 會為大家
[00:00:22.020 --> 00:00:23.800]  每個禮拜講解一段
[00:00:23.800 --> 00:00:26.100]  使徒信經裡面的重點
[00:00:26.360 --> 00:00:32.760]  那今天也很特別 因為上禮拜我們講完聖靈 記得嗎 就是我們三個禮拜就已經講完了三維體了
[00:00:32.760 --> 00:00:35.580]  聖父 聖子 聖靈 那今天我們會
[00:00:35.580 --> 00:00:37.100]  講到教會
[00:00:37.100 --> 00:00:37.880]  教會
[00:00:37.880 --> 00:00:42.740]  那今天就沒有那麼神學化 今天比較講一些比較實際的
[00:00:42.740 --> 00:00:46.580]  就是講到教會 我們會看一段的聖經
[00:00:46.580 --> 00:00:49.660]  那麼這段聖經會比較長 但是我會
[00:00:49.660 --> 00:00:52.460]  盡量只是寫中間的一小段
[00:00:52.460 --> 00:00:54.260]  然後前後我就
[00:00:54.260 --> 00:00:55.540]  幫大家用
[00:00:55.800 --> 00:00:56.820]  很快的速度
[00:00:56.820 --> 00:00:58.860]  會把它解釋完畢
[00:00:58.860 --> 00:01:02.200]  那今天我們會看的聖經 會看使徒形狀的第四章
[00:01:02.200 --> 00:01:03.740]  到第六章
[00:01:03.740 --> 00:01:10.380]  那這段聖經講什麼 其實它是講到當時教會 初期教會剛剛成立的時候
[00:01:10.380 --> 00:01:11.660]  的一段歷史
[00:01:11.660 --> 00:01:16.280]  那麼按照作者的記載呢 這段歷史它是分
[00:01:16.280 --> 00:01:17.820]  講到教會
[00:01:17.820 --> 00:01:20.880]  聖靈的帶領之下 到底教會怎麼形成
[00:01:20.880 --> 00:01:22.680]  當初的教會是怎麼樣子的
[00:01:22.680 --> 00:01:24.460]  然後最重要的是
[00:01:24.980 --> 00:01:29.340]  每一次只要聖靈做功 有些好事情發生 總會有些不好的事情發生
[00:01:29.340 --> 00:01:32.660]  那我們來看從什麼角度去幹這些不好的事情
[00:01:32.660 --> 00:01:36.760]  在這段聖經裡面 基本上作者是按照
[00:01:36.760 --> 00:01:38.800]  一個方式去記載 就是
[00:01:38.800 --> 00:01:40.860]  他記載了教會裡面的
[00:01:40.860 --> 00:01:44.700]  當初初期教會的所謂的內憂外患
[00:01:44.700 --> 00:01:47.000]  他是先記載外患
[00:01:47.000 --> 00:01:48.540]  再記載一個內憂
[00:01:48.540 --> 00:01:50.320]  然後再記載一個外患
[00:01:50.320 --> 00:01:51.860]  再記載一個內憂
[00:01:52.380 --> 00:01:54.940]  所以今天我們就按照這聖經的
[00:01:54.940 --> 00:01:56.740]  這個進程 我們來看
[00:01:56.740 --> 00:01:59.040]  我信信而公知教會
[00:01:59.040 --> 00:02:03.140]  我們先看外患好嗎 就是我先講一個教會
[00:02:03.140 --> 00:02:05.700]  如何處理外患的問題 接下來
[00:02:05.700 --> 00:02:08.000]  教會如何處理一些內憂的問題
[00:02:08.000 --> 00:02:09.780]  所以有外患有內憂
[00:02:09.780 --> 00:02:12.340]  我們先看看外患好嗎 外患
[00:02:12.340 --> 00:02:18.500]  十六經傳第四章一到四節 那邊講到當初的教會 其實也不是一帆風順
[00:02:18.500 --> 00:02:20.020]  也遇到很多的問題
[00:02:20.800 --> 00:02:22.840]  那邊說彼得和約翰
[00:02:22.840 --> 00:02:25.660]  還在向眾人講話的時候
[00:02:25.660 --> 00:02:27.200]  有些祭司
[00:02:27.200 --> 00:02:29.500]  聖殿的警衛官
[00:02:29.500 --> 00:02:34.360]  和薩都該人 就是其中一個宗教派系的
[00:02:34.360 --> 00:02:36.680]  高層 突然就來了
[00:02:36.680 --> 00:02:40.260]  而且薩都該人應該是當時宗教裡面的貴族
[00:02:40.260 --> 00:02:46.400]  所以因為這兩位使徒教導人有關復活的事 就是他們傳講耶穌基督他復活
[00:02:47.160 --> 00:02:51.780]  宣講耶穌從死裡復活 這些人就非常的惱怒
