
[00:00:00.000 --> 00:00:01.560]  我們今天所看的聖經
[00:00:01.560 --> 00:00:03.320]  講到耶穌講一個殺種的比喻
[00:00:03.320 --> 00:00:06.520]  教我們了解為何有些人
[00:00:06.520 --> 00:00:08.360]  他上了教會聽了很多道
[00:00:08.360 --> 00:00:10.200]  但他的靈命都不太成長
[00:00:10.200 --> 00:00:15.640]  為何有些人很快就看見他的靈命成熟呢?
[00:00:15.640 --> 00:00:16.600]  求主幫助我們
[00:00:16.600 --> 00:00:17.960]  我們才有祈禱
[00:00:17.960 --> 00:00:19.280]  主耶穌幫助我們
[00:00:19.280 --> 00:00:22.000]  在你自己的懷疑上
[00:00:22.000 --> 00:00:27.080]  靠著一個謙卑受教領受的心去聆聽
[00:00:27.080 --> 00:00:32.720]  以召我們的生命為主結出累累的果子
[00:00:32.720 --> 00:00:34.560]  奉耶穌基督的名求
[00:00:34.560 --> 00:00:36.360]  阿們
[00:00:36.360 --> 00:00:38.640]  這段講到耶穌一次的罪責
[00:00:38.640 --> 00:00:39.960]  很多人去聽去道
[00:00:39.960 --> 00:00:45.840]  耶穌開始用比喻向這班人去講道
[00:00:45.840 --> 00:00:47.560]  比喻是甚麼呢?
[00:00:47.560 --> 00:00:49.960]  我小時候以為比喻應該是一些
[00:00:49.960 --> 00:00:51.360]  好像預渡故事那樣
[00:00:51.360 --> 00:00:52.960]  將一些比較深奧的道理
[00:00:52.960 --> 00:00:55.520]  用一個故事形式向人去講明
[00:00:55.520 --> 00:00:58.280]  讓人能夠明白
[00:00:58.280 --> 00:01:00.720]  就好像你教一個小朋友
[00:01:00.720 --> 00:01:02.160]  不要驕傲
[00:01:02.160 --> 00:01:03.840]  小朋友你講驕傲
[00:01:03.840 --> 00:01:06.000]  幾歲未必知道甚麼是驕傲
[00:01:06.000 --> 00:01:08.720]  於是你講個甚麼預渡故事給他聽
[00:01:08.720 --> 00:01:10.760]  龜兔賽跑
[00:01:10.760 --> 00:01:13.040]  你看看兔子驕傲所以輸了
[00:01:13.040 --> 00:01:16.440]  這個烏龜雖然走得慢
[00:01:16.440 --> 00:01:17.240]  但謙卑卑
[00:01:17.240 --> 00:01:19.880]  終於贏了賽跑
[00:01:19.880 --> 00:01:21.560]  但越去讀聖經
[00:01:21.560 --> 00:01:23.040]  尤其是讀到這裏
[00:01:23.040 --> 00:01:25.640]  耶穌解釋到比喻時我發覺
[00:01:25.640 --> 00:01:29.640]  原來比喻不是那麼簡單
[00:01:29.640 --> 00:01:31.400]  比喻是講甚麼呢?
[00:01:31.400 --> 00:01:34.800]  甚至門徒自己都不知道耶穌講甚麼
[00:01:34.800 --> 00:01:36.840]  我們看第十節
[00:01:36.840 --> 00:01:40.240]  麻煩打出經文
[00:01:40.240 --> 00:01:44.080]  十節說到當人們散走了
[00:01:44.080 --> 00:01:46.200]  門徒和跟隨耶穌的人
[00:01:46.200 --> 00:01:48.080]  這裡說的不只是十二個門徒
[00:01:48.080 --> 00:01:49.280]  還有其他人都是
[00:01:49.280 --> 00:01:53.560]  是耶穌裏面的小圈子跟得比較貼近的一些人
