
[00:00:00.000 --> 00:00:04.280]  《讀經》是聆聽神的聲音
[00:00:04.280 --> 00:00:08.540]  我們每一個人都渴望能夠聽到有一個聲音
[00:00:08.540 --> 00:00:12.580]  就是有人對我們說三句說話
[00:00:12.580 --> 00:00:16.600]  特別是愛我們的人對我們說這三句說話
[00:00:16.600 --> 00:00:19.160]  究竟這三句說話是什麼呢?
[00:00:19.160 --> 00:00:21.120]  這三句說話第一句就是
[00:00:21.120 --> 00:00:22.980]  我愛你
[00:00:22.980 --> 00:00:28.400]  是一個無條件的接納的一句說話
[00:00:28.400 --> 00:00:30.080]  第二句的說話就是
[00:00:30.080 --> 00:00:33.460]  我以你為榮
[00:00:33.460 --> 00:00:36.420]  I am proud of you
[00:00:36.420 --> 00:00:41.000]  我以你為榮是那個人告訴我們
[00:00:41.000 --> 00:00:43.200]  不是說我們已經很成功
[00:00:43.200 --> 00:00:44.920]  我想他引我以為榮就是
[00:00:44.920 --> 00:00:47.600]  因為他發覺我們的生命是有進步
[00:00:47.600 --> 00:00:52.080]  無論我們在情緒上、在智慧上、在意志上
[00:00:52.080 --> 00:00:54.800]  各方面我們都是有進步的
[00:00:54.800 --> 00:00:56.220]  所以他告訴我們
[00:00:56.220 --> 00:00:59.100]  不單單是他愛我們,他告訴我們
[00:00:59.100 --> 00:01:01.340]  他以我們為榮
[00:01:01.340 --> 00:01:02.900]  第三句的說話
[00:01:02.900 --> 00:01:05.940]  我們每一個人都渴望能夠聽到
[00:01:05.940 --> 00:01:08.460]  特別是愛我們的人告訴我們
[00:01:08.460 --> 00:01:11.620]  就是你所做的事做得好
[00:01:11.620 --> 00:01:14.640]  你所做的事做得好
[00:01:14.640 --> 00:01:17.000]  You are good at what you do
[00:01:17.000 --> 00:01:19.080]  You are good at what you do
[00:01:19.080 --> 00:01:20.860]  他告訴我們
[00:01:20.860 --> 00:01:27.100]  你有的能力各方面,按著你自己的能力
[00:01:27.100 --> 00:01:30.700]  按著你的恩賜,按著你有的機會
[00:01:30.700 --> 00:01:33.620]  你在這些事上都做得好
[00:01:33.620 --> 00:01:38.020]  這三句的說話其實就是神對耶穌自己說的
[00:01:38.020 --> 00:01:43.140]  在耶穌洗禮的日子,從水裏面上來的時候
[00:01:43.140 --> 00:01:45.060]  神就透過聖靈
[00:01:45.060 --> 00:01:48.660]  有聲音在天上跟耶穌說
[00:01:48.660 --> 00:01:51.300]  也在耶穌登山變相的時候
[00:01:51.300 --> 00:01:54.500]  有聲音在天上跟主耶穌說
[00:01:54.500 --> 00:01:58.140]  而這三句說話今天也是主耶穌對我們說的
[00:01:58.140 --> 00:02:02.460]  在哪裏我們可以聽見主耶穌對我們說這三句說話呢?
[00:02:02.460 --> 00:02:04.980]  就是在讀聖經的話的時候
[00:02:04.980 --> 00:02:07.900]  你會發覺在聖經的話裏面
[00:02:07.900 --> 00:02:09.780]  在不同的話裏面
[00:02:09.780 --> 00:02:12.500]  神都對你說這三樣東西
[00:02:12.500 --> 00:02:13.660]  就是甚麼呢?
[00:02:13.660 --> 00:02:15.060]  我愛你
[00:02:15.060 --> 00:02:16.540]  我以你為榮
[00:02:16.540 --> 00:02:18.900]  以及你所做的做得好
[00:02:18.900 --> 00:02:20.340]  I love you
[00:02:20.340 --> 00:02:22.500]  I am proud of you
[00:02:22.500 --> 00:02:24.860]  You are good at what you do
[00:02:24.860 --> 00:02:29.060]  或許我們今天也應該嘗試去記得這三句說話
[00:02:29.060 --> 00:02:33.100]  讓我們透過先從神那裏明白了祂這樣對我們
[00:02:33.100 --> 00:02:35.660]  我們也能夠將我們
[00:02:35.660 --> 00:02:37.740]  對我們所愛的人
[00:02:37.740 --> 00:02:39.980]  對他們說這句說話
[00:02:39.980 --> 00:02:43.620]  或許你需要回去重新對你家裏面
