
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,平安!
[00:00:02.000 --> 00:00:08.440]  不知道你有沒有試過曾經被傷害
[00:00:08.440 --> 00:00:12.480]  又或者是落在一個好像被壓迫的處境裏面
[00:00:12.480 --> 00:00:14.600]  我不知道你回想起的時候
[00:00:14.600 --> 00:00:16.240]  你會不會曾幾何時
[00:00:16.240 --> 00:00:19.640]  你心裏面都浮起過一個異念
[00:00:19.640 --> 00:00:21.320]  或者是一個疑問
[00:00:21.320 --> 00:00:23.400]  甚至是向神的一個質問
[00:00:23.400 --> 00:00:25.320]  就是:神啊!神啊!
[00:00:25.320 --> 00:00:29.640]  爲什麼你不立刻去除去那些惡人
[00:00:29.640 --> 00:00:34.200]  爲什麼你不除去那些傷害我的人
[00:00:34.200 --> 00:00:35.360]  甚至是向神問
[00:00:35.360 --> 00:00:40.320]  神啊!爲什麼你的審判不立刻臨到他呢?
[00:00:40.320 --> 00:00:43.960]  遇到不如意的事情
[00:00:43.960 --> 00:00:46.040]  或者是被傷害的事情
[00:00:46.040 --> 00:00:47.320]  我想我們作爲一個人
[00:00:47.320 --> 00:00:49.280]  無論你是否一個基督徒
[00:00:49.280 --> 00:00:53.200]  我們都很容易就會掃珠創天
[00:00:53.200 --> 00:00:55.520]  九二年的時候
[00:00:55.520 --> 00:00:59.280]  有一個當時很出名的樂隊Beyond
[00:00:59.280 --> 00:01:01.400]  他們有一首歌是這樣寫的
[00:01:01.400 --> 00:01:04.240]  他說:無語問蒼天
[00:01:04.240 --> 00:01:06.520]  麻木面對蒼生
[00:01:06.520 --> 00:01:09.200]  只懂不說話
[00:01:09.200 --> 00:01:11.200]  然後他再說的是
[00:01:11.200 --> 00:01:15.920]  難道赤子之心要被人捉攏?
[00:01:15.920 --> 00:01:17.360]  可以怎樣呢?
[00:01:17.360 --> 00:01:18.760]  他接着說的是
[00:01:18.760 --> 00:01:21.880]  願命 願魂 願天
[00:01:21.880 --> 00:01:25.680]  夢想追討有沒錯
[00:01:25.680 --> 00:01:27.600]  他發出這個疑問
[00:01:27.600 --> 00:01:31.560]  是當年黃家驅提出的疑問
[00:01:31.560 --> 00:01:33.040]  基督徒又怎樣呢?
[00:01:33.040 --> 00:01:35.640]  信主的人又怎樣呢?
[00:01:35.640 --> 00:01:36.440]  有一個神學家
[00:01:36.440 --> 00:01:37.480]  可能大家都認識的
[00:01:37.480 --> 00:01:38.760]  Philip Yancey
[00:01:38.760 --> 00:01:39.960]  楊肥力
[00:01:39.960 --> 00:01:41.720]  他在一本著作裏面
[00:01:41.720 --> 00:01:43.400]  無語問上帝
[00:01:43.400 --> 00:01:45.400]  Disappointment with God
[00:01:45.400 --> 00:01:48.200]  他在書裏面提出幾個問題
[00:01:48.200 --> 00:01:49.160]  他問神
[00:01:49.160 --> 00:01:50.840]  上帝禰是否公平?
[00:01:50.840 --> 00:01:52.560]  上帝禰是否沉默?
[00:01:52.560 --> 00:01:54.680]  當我們在苦難之中的時候
[00:01:54.680 --> 00:01:57.560]  上帝禰是否隱藏?
[00:01:57.560 --> 00:01:58.920]  他再問的是
[00:01:58.920 --> 00:02:03.800]  究竟會不會是上帝錯了?
[00:02:03.800 --> 00:02:08.360]  還是人對上帝的認識錯了?
[00:02:08.360 --> 00:02:10.320]  會不會我們對神的認識
[00:02:10.320 --> 00:02:12.360]  都有所偏差呢?
[00:02:12.360 --> 00:02:16.600]  讓我們一起祈禱
[00:02:16.600 --> 00:02:19.280]  我們在天上的父神
[00:02:19.280 --> 00:02:21.960]  我們要謙卑來到禰的面前
[00:02:21.960 --> 00:02:23.960]  聽主禰的話
[00:02:23.960 --> 00:02:25.640]  求禰直接讓禰的話語
[00:02:25.640 --> 00:02:27.880]  進到我們的心裏面
[00:02:27.880 --> 00:02:30.320]  幫助我們去認識禰
[00:02:30.320 --> 00:02:32.080]  去明白禰
[00:02:32.080 --> 00:02:35.680]  去感受到禰對我們的那份愛
[00:02:35.680 --> 00:02:38.400]  天父我們有很多不明白的地方
[00:02:38.400 --> 00:02:41.960]  但求主禰親自在我們的心裏面
[00:02:41.960 --> 00:02:45.480]  用無聲的聲音來幫助我們去明白
[00:02:45.480 --> 00:02:47.080]  去領受
[00:02:47.080 --> 00:02:48.880]  主要求禰幫助我們
[00:02:48.880 --> 00:02:50.800]  我們的祈禱交託
[00:02:50.800 --> 00:02:53.880]  乃奉靠我主耶穌基督得勝的名字而求
[00:02:53.880 --> 00:02:56.760]  對不對?
[00:02:56.760 --> 00:02:57.880]  大家可能都留意到
[00:02:57.880 --> 00:03:01.520]  我們今季講到我們是用新漢語譯本的
[00:03:01.520 --> 00:03:02.840]  不過我也很想鼓勵大家
[00:03:02.840 --> 00:03:04.520]  因爲我們今天看的經文
[00:03:04.520 --> 00:03:07.680]  其實是會涵蓋整個十三章
[00:03:07.680 --> 00:03:10.880]  所以如果你手上是有聖經的
[00:03:10.880 --> 00:03:13.080]  或者你有電子聖經也好
[00:03:13.080 --> 00:03:16.280]  我也希望大家可以打開聖經一起去看
[00:03:16.280 --> 00:03:19.520]  頭影片可以儘量有一些經文
[00:03:19.520 --> 00:03:24.200]  但也能看到整張聖經是很不同的
[00:03:24.200 --> 00:03:28.400]  今天我們開始看第十三章的經文之先
[00:03:28.400 --> 00:03:32.320]  我想重申兩個很重要的釋經原則
[00:03:32.320 --> 00:03:34.440]  第一個是關於比喻
[00:03:34.440 --> 00:03:36.400]  耶穌的每一個比喻
[00:03:36.400 --> 00:03:41.520]  是要帶出一個很主要的教導重點
[00:03:41.520 --> 00:03:44.800]  在比喻裏面有很多其他的細節和枝節
[00:03:44.800 --> 00:03:48.400]  我們不適宜太多的引申或者是假設
[00:03:48.400 --> 00:03:52.600]  甚至乎大家去爭辯那裏是說什麼的
[00:03:52.600 --> 00:03:56.200]  我們記住那些細節或者枝節
[00:03:56.200 --> 00:04:01.680]  都是幫助我們去明白主要的教導原則
[00:04:01.680 --> 00:04:05.880]  第二個原則是關於福音書
[00:04:05.880 --> 00:04:08.560]  《馬太福音》、《馬可福音》、《路加福音》
[00:04:08.560 --> 00:04:14.320]  都有神席著每一位作者所要帶出很獨特的信息
[00:04:14.320 --> 00:04:17.040]  當我們今天去看《馬太福音》的時候
[00:04:17.040 --> 00:04:20.720]  如果我們要較爲準確地掌握它的意思
[00:04:20.720 --> 00:04:22.840]  就要留意在《馬太福音》裏面
