
[00:00:00.000 --> 00:00:06.000]  今天繼續我們看耶穌基督在登山寶訓裡面的教導
[00:00:06.000 --> 00:00:11.000]  因為我們教會今天的主題是「身走身皮內」
[00:00:11.000 --> 00:00:14.000]  以致耶穌在當時來說
[00:00:14.000 --> 00:00:21.000]  是要將法律賽人、民事、他們的教導有曲解的
[00:00:21.000 --> 00:00:24.000]  或者他們在傳統上有些僵化了
[00:00:24.000 --> 00:00:30.000]  他們希望能夠將神的心意再一次能夠鮮明
[00:00:30.000 --> 00:00:39.000]  能夠在經文裡面或者在登山寶訓教導信徒或者百姓的時候
[00:00:39.000 --> 00:00:44.000]  繼續希望他們能夠真真正正明白神的心意
[00:00:44.000 --> 00:00:51.000]  我一直都在說法律賽人和民事往往是將十誡是一個字面的解釋
[00:00:51.000 --> 00:00:56.000]  有時候會降低了標準,就好像我上次說的不可殺人
[00:00:56.000 --> 00:01:00.000]  不可殺人就是殺人見血,拿槍拿刀這樣叫殺人
[00:01:00.000 --> 00:01:04.000]  但是神的心意不是單單是表面上
[00:01:04.000 --> 00:01:09.000]  更加就是說你心裡面恨了的人都好像殺了人一樣
[00:01:09.000 --> 00:01:13.000]  我們希望我們要愛惜人的生命
[00:01:13.000 --> 00:01:16.000]  愛惜自己、愛惜別人
[00:01:16.000 --> 00:01:21.000]  這些的法律賽人、民事就這樣曲解了十誡
[00:01:21.000 --> 00:01:26.000]  十誡可以說是律法的大綱、總綱
[00:01:26.000 --> 00:01:34.000]  因此他們引申過來的教導往往會有很多規條、繁文縟節
[00:01:34.000 --> 00:01:38.000]  那些變成無關重要的東西
[00:01:38.000 --> 00:01:43.000]  反而成為了他們看為很重點的一些事情
[00:01:43.000 --> 00:01:45.000]  充滿了很多的佛則在裡面
[00:01:45.000 --> 00:01:49.000]  但是其實神的心意在十誡裡面
[00:01:49.000 --> 00:01:53.000]  不是他們的那種說法
[00:01:53.000 --> 00:02:00.000]  好像很多的警誡或者惡法的感覺
[00:02:00.000 --> 00:02:05.000]  而是充滿了愛、充滿了公義
[00:02:05.000 --> 00:02:11.000]  因為這個十誡正正是要去保護我們的生活
[00:02:11.000 --> 00:02:13.000]  保護我們的生命
[00:02:13.000 --> 00:02:18.000]  保護我們的地上生活
[00:02:18.000 --> 00:02:21.000]  能夠有美好的關係
[00:02:21.000 --> 00:02:24.000]  跟神的關係、跟人的關係
[00:02:24.000 --> 00:02:28.000]  以能夠散發屬靈生命的光輝
[00:02:28.000 --> 00:02:32.000]  今天我們看耶穌去講解不可姦淫
[00:02:32.000 --> 00:02:34.000]  就是一些引申的道理
[00:02:34.000 --> 00:02:36.000]  於是我們今天用一個講題
[00:02:36.000 --> 00:02:38.000]  心的手術
[00:02:38.000 --> 00:02:40.000]  包括三方面
[00:02:40.000 --> 00:02:42.000]  第一就是保護婚姻
[00:02:42.000 --> 00:02:45.000]  第二就是保守我心
[00:02:45.000 --> 00:02:48.000]  第三就是外科手術
[00:02:48.000 --> 00:02:50.000]  保護婚姻
[00:02:50.000 --> 00:02:51.000]  開始就說
[00:02:51.000 --> 00:02:54.000]  你們聽過有話說不可姦淫
[00:02:54.000 --> 00:02:58.000]  耶穌所說暗示了他們所聽的
[00:02:58.000 --> 00:03:00.000]  不單單是律法裡面那四個字
[00:03:00.000 --> 00:03:02.000]  當然是中文來講
[00:03:02.000 --> 00:03:06.000]  但是他們是會聽到很多法律賽人
[00:03:06.000 --> 00:03:08.000]  或者一些傳統下來
[00:03:08.000 --> 00:03:12.000]  對不可姦淫裡面那些演繹
[00:03:12.000 --> 00:03:13.000]  當中在裡面
[00:03:13.000 --> 00:03:15.000]  對花彩人和民事來說
[00:03:15.000 --> 00:03:17.000]  他們簡單來說就是
[00:03:17.000 --> 00:03:21.000]  他們沒有一些姦淫的行為在當中
[00:03:21.000 --> 00:03:26.000]  所以如果你沒有犯一些姦淫的行為
[00:03:26.000 --> 00:03:30.000]  就可以說沒有干犯這個條例
[00:03:30.000 --> 00:03:34.000]  他們將律法文字減到很簡單
[00:03:34.000 --> 00:03:36.000]  是某一些事件
[00:03:36.000 --> 00:03:38.000]  於是正如耶穌所說
[00:03:38.000 --> 00:03:40.000]  就好像廢掉了律法一樣
[00:03:40.000 --> 00:03:42.000]  不是在成就中
[00:03:42.000 --> 00:03:46.000]  一旦發現了姦淫的行為
[00:03:46.000 --> 00:03:49.000]  而他們有很重的一個罪
[00:03:49.000 --> 00:03:55.000]  你記得他們用石頭要打死這些姦淫者
[00:03:55.000 --> 00:03:57.000]  你記得在楊福音裡面
[00:03:57.000 --> 00:04:00.000]  一個女人行淫的時候
[00:04:00.000 --> 00:04:02.000]  被人抓了出來
[00:04:02.000 --> 00:04:03.000]  然後怎麼樣
[00:04:03.000 --> 00:04:05.000]  好像拿出來公審
[00:04:05.000 --> 00:04:07.000]  有人說拿石頭扔去
[00:04:07.000 --> 00:04:08.000]  扔死她
[00:04:08.000 --> 00:04:10.000]  耶穌在當中就說
[00:04:10.000 --> 00:04:11.000]  誰沒有罪
[00:04:11.000 --> 00:04:13.000]  你就第一個拿石頭扔去
[00:04:13.000 --> 00:04:16.000]  最終每個人都沒有這樣做
[00:04:16.000 --> 00:04:18.000]  因為大家都知道
[00:04:18.000 --> 00:04:20.000]  我們都是一個罪人
[00:04:20.000 --> 00:04:25.000]  所以當時是說
[00:04:25.000 --> 00:04:29.000]  其實耶穌基督會看到
[00:04:29.000 --> 00:04:34.000]  他們對這個不可姦淫這個誡命
[00:04:34.000 --> 00:04:36.000]  有些曲解在當中
[00:04:36.000 --> 00:04:38.000]  只是要去保護大家
