
[00:00:00.000 --> 00:00:04.240]  在教會八十週年的堂慶當中
[00:00:04.240 --> 00:00:08.680]  我們著實更新我們的禱告生命
[00:00:08.680 --> 00:00:12.080]  要更新我們的禱告生命
[00:00:12.080 --> 00:00:16.960]  我們要有好的、對的禱告神學
[00:00:16.960 --> 00:00:18.960]  對我來說
[00:00:18.960 --> 00:00:23.360]  神學是可以為禱告去加油
[00:00:23.360 --> 00:00:25.360]  對保羅來說
[00:00:25.360 --> 00:00:29.440]  神學必然會為禱告加油
[00:00:29.440 --> 00:00:33.360]  禱告是一種灼了火的神學
[00:00:33.360 --> 00:00:36.360]  禱告是好的神學
[00:00:36.360 --> 00:00:39.360]  好的信仰必然的個子
[00:00:39.360 --> 00:00:44.120]  所以當我們很對著神
[00:00:44.120 --> 00:00:46.120]  想著神
[00:00:46.120 --> 00:00:48.120]  我們自然會敬畏祂
[00:00:48.120 --> 00:00:50.120]  敬拜祂、依靠祂
[00:00:50.120 --> 00:00:52.120]  向神去呼喊
[00:00:52.120 --> 00:00:57.600]  這陣子我們的心情不好過
[00:00:57.600 --> 00:01:02.200]  剛才說過社會是在躁動的當中
[00:01:02.200 --> 00:01:04.200]  面對這樣的情況
[00:01:04.200 --> 00:01:08.640]  教會在過往都是面對著很多的困難
[00:01:08.640 --> 00:01:11.640]  它最大的威脅是什麼呢?
[00:01:11.640 --> 00:01:18.560]  是否最近我們所討論的是否教會需要投身在政治的過程?
[00:01:18.560 --> 00:01:23.960]  其實有沒有想過在另一邊廂的人在想宗教的多元?
[00:01:23.960 --> 00:01:25.960]  普教主義?
[00:01:25.960 --> 00:01:31.120]  有沒有想過性別多元的問題?
[00:01:31.120 --> 00:01:34.960]  其實教會是要面對這些問題
[00:01:34.960 --> 00:01:39.840]  教會今天面對最大的威脅是什麼呢?
[00:01:39.840 --> 00:01:43.920]  我們見到這個社會現在是躁動
[00:01:43.920 --> 00:01:48.360]  其實現在大家的心靈都是很混亂
[00:01:48.360 --> 00:01:54.560]  所以教會很多時候都希望能夠參與這個社會的文化
[00:01:54.560 --> 00:01:57.880]  希望能夠掌握潮流風格
[00:01:57.880 --> 00:02:02.640]  去逢迎、去雕琢我們的信息、我們的外貌
[00:02:02.640 --> 00:02:07.360]  希望能夠有更加多的新的成員
[00:02:07.360 --> 00:02:09.360]  但是很奇怪的
[00:02:09.360 --> 00:02:12.160]  當教會這樣做的時候
[00:02:12.160 --> 00:02:14.640]  教會就是很混亂的了
[00:02:14.640 --> 00:02:17.360]  這個不是在香港看到的
[00:02:17.360 --> 00:02:19.360]  你看看美國
[00:02:19.360 --> 00:02:23.360]  當教會這樣做的時候
[00:02:23.360 --> 00:02:27.920]  教會繼續衰退、繼續混亂
[00:02:27.920 --> 00:02:30.920]  不要看美國,看加拿大
[00:02:30.920 --> 00:02:37.280]  當教會希望逢迎、雕琢他們的信息
[00:02:37.280 --> 00:02:39.880]  能夠合適這個世代
[00:02:39.880 --> 00:02:44.280]  你看看歐洲的教會又如何
[00:02:44.280 --> 00:02:46.280]  在混亂的當中
[00:02:46.280 --> 00:02:48.760]  一個最大的威脅就是
[00:02:48.760 --> 00:02:53.280]  耶穌基督在教會當中被遺忘
[00:02:53.280 --> 00:02:58.680]  我們對神的知識是很貧乏的
[00:02:58.680 --> 00:03:05.080]  我們對神的經歷是很貧乏的
[00:03:05.080 --> 00:03:08.480]  我們跟神沒有一個深入的關係
[00:03:08.480 --> 00:03:11.480]  我們有的只是一些假設
[00:03:11.480 --> 00:03:13.080]  一些信仰的假設
[00:03:13.080 --> 00:03:14.880]  神應該是存在的
[00:03:14.880 --> 00:03:19.680]  神應該是真的
[00:03:19.680 --> 00:03:23.480]  教會就像爬山者一樣
[00:03:23.480 --> 00:03:25.880]  已經爬到相當的高度
[00:03:25.880 --> 00:03:29.680]  沒錯,過往的裝備是很好
[00:03:29.680 --> 00:03:32.480]  爬山的技巧都是很精良
[00:03:32.480 --> 00:03:35.080]  好像一點都沒有缺乏
[00:03:35.080 --> 00:03:37.680]  但是爬到差不多高度的時候
[00:03:37.680 --> 00:03:39.280]  就發覺糟糕了
[00:03:39.280 --> 00:03:42.880]  因為爬到高度的時候
[00:03:42.880 --> 00:03:46.480]  發覺缺乏了一些基本的東西
[00:03:46.480 --> 00:03:50.080]  就發覺空氣不足
[00:03:50.080 --> 00:03:52.080]  在這樣的情況
[00:03:52.080 --> 00:03:56.680]  爬山的人有生命的危險
[00:03:56.680 --> 00:04:00.880]  教會就好像爬山的運動員
[00:04:00.880 --> 00:04:04.080]  空氣就是我們跟神的關係
[00:04:04.080 --> 00:04:06.080]  我們跟神的相交
[00:04:06.080 --> 00:04:10.680]  我們跟神的三一神的關係
[00:04:10.680 --> 00:04:15.480]  教會呼吸的空氣是不足
[00:04:15.480 --> 00:04:19.280]  教會需要呼吸更多的空氣
[00:04:19.280 --> 00:04:21.280]  要更認識神
[00:04:21.280 --> 00:04:23.280]  要對神有知識
[00:04:23.280 --> 00:04:28.880]  更重要的是對神有真正的關係
[00:04:28.880 --> 00:04:30.680]  要認識神
[00:04:30.680 --> 00:04:33.080]  要跟神相交是怎樣的呢?
[00:04:33.080 --> 00:04:35.880]  教會就需要呼吸
[00:04:35.880 --> 00:04:38.680]  需要祈禱
[00:04:38.680 --> 00:04:44.280]  在今晚我們同樣一起去討告的重要性
[00:04:44.280 --> 00:04:46.280]  討告的神學
[00:04:46.280 --> 00:04:48.480]  就讓我們開始的時候
[00:04:48.480 --> 00:04:52.480]  我們用保羅的榜樣去討告
[00:04:52.480 --> 00:04:54.280]  成為我們的討告
[00:04:54.280 --> 00:04:58.480]  我們同心討告
[00:04:58.480 --> 00:05:03.680]  我既然聽見教會對主耶穌有信心
[00:05:03.680 --> 00:05:07.080]  對眾聖徒有愛心
[00:05:07.080 --> 00:05:10.280]  就不住地為你們去感謝神
[00:05:10.280 --> 00:05:13.480]  討告的時候常常提到你們
[00:05:13.480 --> 00:05:16.280]  求我們的主耶穌基督的神
[00:05:16.280 --> 00:05:17.880]  榮耀的父
[00:05:17.880 --> 00:05:24.880]  將那個賜人智慧和啟示的聖靈賜給你們
[00:05:24.880 --> 00:05:28.480]  使你們真正認識祂
[00:05:28.480 --> 00:05:31.680]  照亮你們心中的眼睛
[00:05:31.680 --> 00:05:33.680]  使你們知道
[00:05:33.680 --> 00:05:38.080]  祂呼喚你們要得的指望是什麼
[00:05:38.080 --> 00:05:39.880]  祂在聖徒當中
[00:05:39.880 --> 00:05:43.880]  所得的榮耀的基業是何等的豐盛
[00:05:43.880 --> 00:05:45.680]  並且又要知道
[00:05:45.680 --> 00:05:49.680]  祂向我們這些信的人所顯的能力
[00:05:49.680 --> 00:05:51.880]  是何等的浩大
[00:05:51.880 --> 00:05:55.680]  這個是照祂的大能大力運行的
[00:05:55.680 --> 00:05:59.880]  這個大能曾運行在基督的身上
[00:05:59.880 --> 00:06:02.680]  使祂從死人中復活
[00:06:02.680 --> 00:06:06.680]  又使祂在天上坐在自己的右邊
[00:06:06.680 --> 00:06:11.680]  超越一切執政的、掌權的、有權能的
[00:06:11.680 --> 00:06:14.680]  統治的和一切有名號的
[00:06:14.680 --> 00:06:16.680]  不單止是今世
[00:06:16.680 --> 00:06:19.680]  連來世都要超越
[00:06:19.680 --> 00:06:24.680]  臣使萬有服在耶穌的腳下
[00:06:24.680 --> 00:06:28.680]  又使耶穌為了教會的緣故
[00:06:28.680 --> 00:06:31.680]  為了承鎮家的緣故
[00:06:31.680 --> 00:06:34.680]  作萬有之首
[00:06:34.680 --> 00:06:37.680]  教會承鎮家
[00:06:37.680 --> 00:06:40.680]  是祂的身體
[00:06:40.680 --> 00:06:47.680]  是充滿萬有者所充滿的
[00:06:47.680 --> 00:06:50.680]  這個是保羅的禱告
[00:06:50.680 --> 00:06:53.680]  我們跟隨保羅的禱告
[00:06:53.680 --> 00:06:59.680]  奉主耶穌基督的聖名懇求難門
[00:06:59.680 --> 00:07:04.680]  我們生活在一個相當灰心的時刻
[00:07:04.680 --> 00:07:06.680]  你說是不是
[00:07:06.680 --> 00:07:10.680]  我們經常都要面對挑戰
[00:07:10.680 --> 00:07:14.680]  對我來說最近有很多的親友
[00:07:14.680 --> 00:07:16.680]  同宮離世
[00:07:16.680 --> 00:07:19.680]  我的心在裡面流淚
[00:07:19.680 --> 00:07:22.680]  又再又流淚
[00:07:22.680 --> 00:07:24.680]  生活是很困難
[00:07:24.680 --> 00:07:28.680]  不知道你們有沒有這些慣常的經歷
[00:07:28.680 --> 00:07:32.680]  加上香港在最近一個多月當中
[00:07:32.680 --> 00:07:35.680]  我們的心在哀悼
[00:07:35.680 --> 00:07:37.680]  在疼痛
[00:07:37.680 --> 00:07:40.680]  除了這些新近的事情之外
[00:07:40.680 --> 00:07:42.680]  一直以來其實大家知不知道
[00:07:42.680 --> 00:07:45.680]  其實好像不是很覺
[00:07:45.680 --> 00:07:50.680]  其實在香港福音是被公開的邊緣化
[00:07:50.680 --> 00:07:52.680]  雖然現在說我們這些人
[00:07:52.680 --> 00:07:54.680]  很喜歡我們基督教
[00:07:54.680 --> 00:07:58.680]  這個我們日後再要看一看
[00:07:58.680 --> 00:08:01.680]  我們作為基督徒的倫理
[00:08:01.680 --> 00:08:05.680]  我們的信仰是被文化去拒絕的
[00:08:05.680 --> 00:08:07.680]  不單如此
[00:08:07.680 --> 00:08:10.680]  我們對我們聖經裡面的律法
[00:08:10.680 --> 00:08:11.680]  神的律法
[00:08:11.680 --> 00:08:15.680]  是要受高等法院去裁決的
[00:08:15.680 --> 00:08:18.680]  看什麼時候來到香港
[00:08:18.680 --> 00:08:21.680]  耶穌基督的教會
[00:08:21.680 --> 00:08:27.680]  是被迫要去改變他們的價值
[00:08:27.680 --> 00:08:28.680]  要遷就文化
[00:08:28.680 --> 00:08:30.680]  要遷就政治
[00:08:30.680 --> 00:08:32.680]  有關的壓力是相當大的
[00:08:32.680 --> 00:08:35.680]  並且是不斷的加增
[00:08:35.680 --> 00:08:38.680]  所以我們有足夠的原因
[00:08:38.680 --> 00:08:41.680]  我們希望不會出現
[00:08:41.680 --> 00:08:43.680]  有足夠的原因
