
[00:00:00.000 --> 00:00:02.000]  這時候大家一起祈禱
[00:00:02.000 --> 00:00:04.000]  我們仰望主
[00:00:04.000 --> 00:00:10.000]  天父我們感謝你
[00:00:10.000 --> 00:00:12.000]  因為你愛我們
[00:00:12.000 --> 00:00:16.000]  你讓你的愛子耶穌基督為我們犧牲
[00:00:16.000 --> 00:00:20.000]  主啊你是那位坐在天上寶座的上帝
[00:00:20.000 --> 00:00:24.000]  你的信實是直到窮滄
[00:00:24.000 --> 00:00:27.000]  你的慈愛永不改變
[00:00:27.000 --> 00:00:30.000]  主啊臨到我們身上的
[00:00:30.000 --> 00:00:33.000]  不單止是你給我們永恆的救恩
[00:00:33.000 --> 00:00:35.000]  更加是每一天的保守
[00:00:35.000 --> 00:00:37.000]  每一天的看顧
[00:00:37.000 --> 00:00:41.000]  主啊你吩咐我們要堅守你的真道
[00:00:41.000 --> 00:00:44.000]  因為你的說話是靈是生命
[00:00:44.000 --> 00:00:47.000]  人得著你的道就得著生命
[00:00:47.000 --> 00:00:50.000]  主啊求你保守我們在今天
[00:00:50.000 --> 00:00:53.000]  當打開聖經思想你的話的時候
[00:00:53.000 --> 00:00:56.000]  再次領受聖靈的指教
[00:00:56.000 --> 00:00:58.000]  就是真理的聖靈
[00:00:58.000 --> 00:01:01.000]  要引導我們明白真理
[00:01:01.000 --> 00:01:03.000]  求主大靈讓我們靠著你
[00:01:03.000 --> 00:01:06.000]  能夠明道有行道
[00:01:06.000 --> 00:01:10.000]  我們同心祈禱奉耶穌聖名求
[00:01:10.000 --> 00:01:11.000]  阿們
[00:01:26.000 --> 00:01:28.000]  我們活出使命的人生
[00:01:28.000 --> 00:01:30.000]  其中一個重要的要素
[00:01:30.000 --> 00:01:33.000]  就是明道行道
[00:01:33.000 --> 00:01:36.000]  作為基督徒我們需要努力的
[00:01:36.000 --> 00:01:39.000]  來明白自己信什麼
[00:01:39.000 --> 00:01:41.000]  我們不是糊塗的相信
[00:01:41.000 --> 00:01:45.000]  而是清楚知道自己信的是什麼
[00:01:45.000 --> 00:01:47.000]  我們所領受的真道
[00:01:47.000 --> 00:01:50.000]  是包含哪一方面的道理
[00:01:50.000 --> 00:01:52.000]  因為今天有太多太多的
[00:01:52.000 --> 00:01:54.000]  似是而非的道理
[00:01:54.000 --> 00:01:56.000]  太多的歪理
[00:01:56.000 --> 00:01:59.000]  如果你不明白自己所信的
[00:01:59.000 --> 00:02:03.000]  很容易被別人所說的話去動搖你
[00:02:03.000 --> 00:02:05.000]  因為今天很多傳媒
[00:02:05.000 --> 00:02:07.000]  很多坊間裡面有太多
