
[00:00:00.000 --> 00:00:01.800]  聽到這見證的時候
[00:00:01.800 --> 00:00:03.000]  好像剛才所說
[00:00:03.000 --> 00:00:04.600]  想起自己
[00:00:04.600 --> 00:00:07.600]  因為有成就了今天自己的時候
[00:00:07.600 --> 00:00:10.400]  是因為同樣都是昔日
[00:00:10.400 --> 00:00:11.800]  都有不少的人
[00:00:11.800 --> 00:00:14.200]  在我的生命裏面
[00:00:14.200 --> 00:00:17.200]  成為我的師父
[00:00:17.200 --> 00:00:21.000]  成為建立我生命的一些重要的人
[00:00:21.000 --> 00:00:21.600]  是不是?
[00:00:21.600 --> 00:00:23.800]  所以今天我們都會用一個詞語
[00:00:23.800 --> 00:00:26.400]  叫做「生命師父」來形容
[00:00:27.000 --> 00:00:30.200]  什麼叫做生命的師父呢?
[00:00:30.200 --> 00:00:33.400]  通常我們這樣想的時候
[00:00:33.400 --> 00:00:36.800]  定義就是當我們成長的過程裏
[00:00:36.800 --> 00:00:39.000]  一定都會有機會接觸到
[00:00:39.000 --> 00:00:42.800]  一些影響我們塑造我們自己的人
[00:00:42.800 --> 00:00:45.400]  就成就了今天的自己
[00:00:45.400 --> 00:00:46.800]  當然啦
[00:00:46.800 --> 00:00:48.400]  第一個可能師父
[00:00:48.400 --> 00:00:50.400]  一個孩子出生的第一個師父
[00:00:50.400 --> 00:00:52.600]  相信是父母
[00:00:52.600 --> 00:00:55.200]  不過父母的影響可以是正面
[00:00:55.200 --> 00:00:56.800]  同樣都可以是負面
[00:00:56.800 --> 00:01:00.000]  我們今天不說家庭
[00:01:00.000 --> 00:01:01.800]  所以我們就會留意
[00:01:01.800 --> 00:01:03.800]  除了家庭這些之外
[00:01:03.800 --> 00:01:05.000]  在意外的時候
[00:01:05.000 --> 00:01:06.200]  在我們生命裏面
[00:01:06.200 --> 00:01:09.200]  都可能有些所謂的過客
[00:01:09.200 --> 00:01:10.000]  過客的意思就是
[00:01:10.000 --> 00:01:14.400]  他可能在生命裏面出現過一段時間
[00:01:14.400 --> 00:01:17.000]  但是他可能可以留下一個
[00:01:17.000 --> 00:01:18.800]  很深遠的影響
[00:01:18.800 --> 00:01:21.200]  因為他們的思想
[00:01:21.200 --> 00:01:22.000]  信仰
[00:01:22.000 --> 00:01:23.800]  行事為人
[00:01:23.800 --> 00:01:25.400]  都可以給到你
[00:01:25.400 --> 00:01:28.000]  甚至乎特別是一些關鍵
[00:01:28.000 --> 00:01:29.600]  一些重要的時刻
[00:01:29.600 --> 00:01:31.400]  給到自己一些啟發
[00:01:31.400 --> 00:01:32.600]  引導
[00:01:32.600 --> 00:01:34.400]  這些人我們很多時候
[00:01:34.400 --> 00:01:36.000]  就會用今天的詞語
[00:01:36.000 --> 00:01:37.200]  就是生命師父
[00:01:37.200 --> 00:01:39.000]  來告訴他們
[00:01:39.000 --> 00:01:40.200]  其實嚴格來說
[00:01:40.200 --> 00:01:41.800]  生命師父
[00:01:41.800 --> 00:01:43.200]  他的工作
[00:01:43.200 --> 00:01:45.400]  或者可以說不太艱鉅
[00:01:45.400 --> 00:01:46.600]  為什麼這樣說呢
[00:01:46.600 --> 00:01:48.200]  因為有時候
[00:01:48.200 --> 00:01:50.000]  可能當事人
[00:01:50.000 --> 00:01:53.000]  都不一定知道自己的一舉一動
[00:01:53.000 --> 00:01:56.000]  竟然也在一個不知不覺的裏面
[00:01:56.000 --> 00:01:59.000]  成為了別人學習的榜樣
[00:01:59.000 --> 00:02:01.000]  其實某程度上
[00:02:01.000 --> 00:02:05.400]  沒有所謂一些好像很實質的責任要負
[00:02:05.400 --> 00:02:06.800]  但是
[00:02:06.800 --> 00:02:08.400]  剛才有時候都說
[00:02:08.400 --> 00:02:10.000]  其實我們一些計劃裏面
[00:02:10.000 --> 00:02:11.400]  或者剛才的義工分享裏面
[00:02:11.400 --> 00:02:12.400]  其實我們一樣有一些
[00:02:12.400 --> 00:02:15.200]  叫做有知有覺的裏面
[00:02:15.200 --> 00:02:17.600]  去成為別人的生命師父
[00:02:17.600 --> 00:02:19.200]  如果是這樣的時候
[00:02:19.200 --> 00:02:23.000]  我們當然特別需要去警醒留意
[00:02:23.000 --> 00:02:26.200]  因為這個確實是一個生命工程
[00:02:26.200 --> 00:02:27.800]  工程所建立的
[00:02:27.800 --> 00:02:30.000]  是別人的心靈
[00:02:30.000 --> 00:02:31.800]  是他的成長
[00:02:31.800 --> 00:02:34.000]  而工程能否成功
[00:02:34.000 --> 00:02:36.800]  有沒有價值和長遠的意義
[00:02:36.800 --> 00:02:39.400]  也是完全在乎在生命師父
[00:02:39.400 --> 00:02:42.800]  他的人生的取向
[00:02:42.800 --> 00:02:45.200]  今天都想藉著剛才讀出的
[00:02:45.200 --> 00:02:47.800]  無論第一段還是第二段的經文裏面
[00:02:47.800 --> 00:02:49.600]  都提醒著我們
[00:02:49.600 --> 00:02:52.200]  我們都要去一層去學習
[00:02:52.200 --> 00:02:55.800]  無論在教外、教內裏面
[00:02:55.800 --> 00:02:59.400]  應該有的人生的態度
[00:02:59.400 --> 00:03:02.200]  因為要作為一個生命師父
[00:03:02.200 --> 00:03:05.400]  無論你可能是不知不覺之中
[00:03:05.400 --> 00:03:08.000]  又或者你是有知有覺之中
[00:03:08.000 --> 00:03:10.400]  去成為這個師父的時候
[00:03:10.400 --> 00:03:12.600]  我們都要去學習和留意
[00:03:12.600 --> 00:03:16.400]  以致我們真的有了一個生命力
[00:03:16.400 --> 00:03:18.200]  而經文裏面也提到
[00:03:18.200 --> 00:03:21.200]  其實耶穌已經成為我們的榜樣
[00:03:21.200 --> 00:03:24.600]  所以不單止希望勉勵我們當中
[00:03:24.600 --> 00:03:29.000]  是有心或者已經在做別人的生命師父的人
[00:03:29.000 --> 00:03:33.800]  更加鼓勵在座當中的弟兄姊妹
[00:03:33.800 --> 00:03:36.200]  你可能其實不自覺的裏面
[00:03:36.200 --> 00:03:38.400]  已經在做別人的師父
[00:03:38.400 --> 00:03:39.800]  所以我也鼓勵大家
[00:03:39.800 --> 00:03:40.800]  甚至乎既然是這樣
[00:03:40.800 --> 00:03:44.000]  不如繼續願意將生命擺上
[00:03:44.000 --> 00:03:45.800]  以生命影響生命
