
[00:00:00.000 --> 00:00:04.540]  今天想和你們分享一個題目叫做另類治療法
[00:00:04.540 --> 00:00:08.660]  今天想跟大家分享一個題目叫做另類療法
[00:00:08.660 --> 00:00:11.920]  傳統的治療法就是西醫大家都知道
[00:00:11.920 --> 00:00:14.720]  傳統的治療方法就是西醫大家也知道的
[00:00:14.720 --> 00:00:16.460]  都是打針食藥做手術
[00:00:16.460 --> 00:00:18.460]  也是打針吃藥做手術
[00:00:18.460 --> 00:00:20.540]  但是有一些叫另類的治療法
[00:00:20.540 --> 00:00:22.540]  但是有一種叫另類治療法
[00:00:22.540 --> 00:00:25.660]  包括了中醫針灸推拿按摩
[00:00:25.660 --> 00:00:29.580]  包括了中醫針灸推拿按摩
[00:00:29.580 --> 00:00:34.840]  營養食品精油水療
[00:00:34.840 --> 00:00:40.720]  氣功心靈冥想催眠
[00:00:40.720 --> 00:00:44.320]  但是當我翻查資料的時候
[00:00:44.320 --> 00:00:47.980]  宗教禱告是另類治療法來的
[00:00:47.980 --> 00:00:49.660]  是另類治療法來的
[00:00:49.660 --> 00:00:51.380]  是這麼特別的
[00:00:51.380 --> 00:00:54.660]  好了 想大家看一看這則新聞
[00:00:54.660 --> 00:00:57.140]  好了 想大家看一看這則新聞
[00:00:57.140 --> 00:01:00.180]  這位Franco小女孩
[00:01:00.180 --> 00:01:02.140]  這位Franco小女孩
[00:01:02.140 --> 00:01:03.820]  她13歲
[00:01:03.820 --> 00:01:04.980]  她13歲
[00:01:04.980 --> 00:01:07.580]  但是她過去10年來只吃一種東西
[00:01:07.580 --> 00:01:10.780]  但是她過去10年來她只吃一種食品
[00:01:10.780 --> 00:01:11.780]  就是牛角包
[00:01:11.780 --> 00:01:14.420]  就是可頌
[00:01:14.420 --> 00:01:17.540]  牛角包 可頌
[00:01:17.540 --> 00:01:19.500]  我第一次聽
[00:01:19.500 --> 00:01:22.900]  好 牛角包好不好吃
[00:01:22.900 --> 00:01:24.900]  可頌好吃嗎
[00:01:26.900 --> 00:01:27.900]  好吃
[00:01:27.900 --> 00:01:29.900]  好吃吧
[00:01:29.900 --> 00:01:32.900]  牛角包你不可以三餐都吃的
[00:01:32.900 --> 00:01:35.900]  你不能一天三餐都吃牛角包可頌的
[00:01:35.900 --> 00:01:37.900]  你間中吃你就覺得好吃
[00:01:37.900 --> 00:01:39.900]  偶爾吃吃你就覺得很好吃
[00:01:39.900 --> 00:01:42.900]  但是牛角包你餐餐都吃你就覺得不好吃
[00:01:42.900 --> 00:01:44.900]  但是假如你每一餐都吃的話
[00:01:44.900 --> 00:01:45.900]  也是覺得不太好吃
[00:01:45.900 --> 00:01:48.900]  但是這個Franco她一天三餐都吃牛角包
[00:01:48.900 --> 00:01:49.900]  而且吃了10年
[00:01:49.900 --> 00:01:53.900]  可是這位Franco她一天三餐都吃牛角包可頌
[00:01:53.900 --> 00:01:57.900]  為什麼呢 因為她3歲的時候就噎到
[00:01:57.900 --> 00:02:00.900]  因為她3歲的時候有噎到
[00:02:00.900 --> 00:02:02.900]  她對很多食物都很害怕
[00:02:02.900 --> 00:02:04.900]  她對很多食物都感到很害怕
[00:02:04.900 --> 00:02:06.900]  她只覺得牛角包是最安全的
[00:02:06.900 --> 00:02:09.900]  她只覺得可頌包很安全
[00:02:09.900 --> 00:02:11.900]  所以呢她早餐牛角包
[00:02:11.900 --> 00:02:13.900]  所以她早餐吃牛角包
[00:02:13.900 --> 00:02:16.900]  在學校吃的午餐都是自己帶去的牛角包
[00:02:16.900 --> 00:02:20.900]  然後在學校吃午餐也是自己帶可頌去
[00:02:20.900 --> 00:02:22.900]  晚餐當然都是牛角包
[00:02:22.900 --> 00:02:24.900]  晚餐也是一樣
[00:02:24.900 --> 00:02:28.900]  她的父母很傷腦筋
[00:02:28.900 --> 00:02:31.900]  想很多方法帶她去看很多醫生
[00:02:31.900 --> 00:02:34.900]  想很多方法帶她到處去看醫生
[00:02:34.900 --> 00:02:36.900]  也是找不到方法
[00:02:36.900 --> 00:02:41.900]  最多只是她願意吃沒有任何調味的義大利麵
