
[00:00:00.000 --> 00:00:03.000]  我們一直在讀舊約的聖經
[00:00:03.000 --> 00:00:06.800]  但是舊約聖經已經來到一個地方
[00:00:06.800 --> 00:00:09.000]  就是歷代志
[00:00:09.000 --> 00:00:12.200]  歷代志其實是舊約裏面最後一本書
[00:00:12.200 --> 00:00:17.000]  如果你是看西伯來文的聖經的話
[00:00:17.000 --> 00:00:20.000]  所以我們已經基本上從歷史的角度來說
[00:00:20.000 --> 00:00:22.800]  已經到了舊約的結束
[00:00:22.800 --> 00:00:25.400]  怎麼樣去明白舊約?真的不容易
[00:00:25.400 --> 00:00:27.800]  我一直強調我們要明白舊約的時候
[00:00:27.800 --> 00:00:31.800]  我們要找到在舊約裏面所仰望的基督
[00:00:31.800 --> 00:00:34.000]  舊約不是一本完整的書
[00:00:34.000 --> 00:00:36.200]  舊約是一個不完整的書
[00:00:36.200 --> 00:00:40.200]  整本舊約都是期待着耶穌基督的來臨
[00:00:40.200 --> 00:00:43.800]  所以基督的至寶盡藏在舊約裏面
[00:00:43.800 --> 00:00:47.800]  那今天如果你有跟我們一起看這個聖經的話
[00:00:47.800 --> 00:00:53.000]  今天你應該是在讀歷代志下第九章第十章
[00:00:53.000 --> 00:00:55.800]  明天十一十二然後十三十四
[00:00:55.800 --> 00:01:03.200]  今天我想跟大家分享的那一段經文是在歷代志下第十二章
[00:01:03.200 --> 00:01:07.800]  那開始的時候我也想跟大家複習一下整個大圖畫
[00:01:07.800 --> 00:01:10.000]  歷代志是一本很奇妙的書
[00:01:10.000 --> 00:01:12.400]  因爲你就這樣看的時候
[00:01:12.400 --> 00:01:15.400]  你會覺得很奇怪爲什麼要寫歷代志
[00:01:15.400 --> 00:01:18.800]  因爲不是已經寫過了嗎?
[00:01:18.800 --> 00:01:23.600]  撒末爾紀跟列王紀已經把所有的君王的歷史寫完了
[00:01:23.600 --> 00:01:25.800]  爲什麼要重寫呢?
[00:01:25.800 --> 00:01:30.600]  只要你去看到在希伯來文的聖經裏面
[00:01:30.600 --> 00:01:34.000]  歷代志是代表了最後一本書
[00:01:34.000 --> 00:01:37.400]  它是爲整個舊約做一個總結
[00:01:37.400 --> 00:01:40.600]  它是故意的在重寫這個歷史
[00:01:40.600 --> 00:01:44.600]  它要告訴我們儘管以色列人在黑暗的當中
[00:01:44.600 --> 00:01:48.000]  儘管他們在等待君王的來臨
[00:01:48.000 --> 00:01:50.200]  等待這個天國的來臨
[00:01:50.200 --> 00:01:53.200]  儘管他們迴歸了
[00:01:53.200 --> 00:01:56.000]  但是還在屬靈黑暗的當中
