
[00:00:00.000 --> 00:00:06.000]  高等尊貝,讓我們在聆聽主導以先,讓我一同同心低頭禱告,讓我愛主我一生。
[00:00:06.000 --> 00:00:16.000]  慈悲的天父,多謝你,讓我們能夠再次回來在主你的說話的面前學習,讓我認識你更多。
[00:00:16.000 --> 00:00:24.000]  雖然可能每一次我認識主你只是一丁點,但至少我們又和你靠近多一點。
[00:00:25.000 --> 00:00:36.000]  求主你的與我同在,讓我有一份願意貼近主你心堂的生命,讓我有一份期盼能夠與主你同處的生命。
[00:00:36.000 --> 00:00:53.000]  而今天我們活在地上,其實正正是為了如此的生命生活而預備,但同時也要將我們的生命在這個地上,求主你真的好好發揮使用,讓更多人認識你。
[00:00:54.000 --> 00:01:05.000]  求你的帶領幫助我們每一個,讓聖靈的誘導,所賦予的智慧,能夠讓我們在今天這段聽到的時間,講到的時間,同盟恩福。
[00:01:06.000 --> 00:01:31.000]  我報復奉耶穌基督保衛聖名至以求,下門。其實基督徒我們在這個世界活著,很多時不經不覺就會有很多舊的思想,不是從聖經而來的,舊的思想仍然在阻礙我們行上帝旨意的元好動機。
[00:01:32.000 --> 00:01:41.000]  不過這些舊的思想又很吸引,又聽起來好像沒什麼問題。
[00:01:42.000 --> 00:02:07.000]  譬如,如果我們問十個基督徒,問這十個基督徒,基督徒做好人好不好?或者我問你,做基督徒做一個好人好不好?通常十個有九個立即反射式地回應,當然是好,基督徒要做好人。
[00:02:08.000 --> 00:02:37.000]  不過如果你繼續去問他們,如果基督徒做了一個好人又會怎樣?他們的回答就會是,對,基督徒做了一個好人又會怎樣?原來做了基督徒,我們會去做一些善事,我們會去幫助人,甚至其他人會看到我們做了這些善事,做了一些好事,
[00:02:38.000 --> 00:02:57.000]  他們身上能夠做到一些益處,於是他們就會覺得基督徒是好人。基督徒是好人,他們對基督徒有好印象。當他們對基督徒有好印象的時候,我其實就開始在傳福音。
[00:02:58.000 --> 00:03:20.000]  傳什麼福音?他們當然對教會有好感,對教會有好感,他們就會自自然然回到教會,回到教會做什麼?就是敬拜主,回來聚會。在這樣的情況下,他們就會信了主。這是一個很好的報道機會。
[00:03:21.000 --> 00:03:40.000]  我想你問十個基督徒,我不敢說太多,九個吧,留一成。九個都會這樣回答你,基督徒一定要做好人。但是基督徒是否等同一個好人呢?
[00:03:41.000 --> 00:03:51.000]  你有沒有見過一些好人,在這個世界被稱為好人,他們不是基督徒呢?
[00:03:52.000 --> 00:04:16.000]  我和我的兒子坐在一起,兩父子在聊天,我的兒子突然問我:爸爸,我想問你一個問題,很多時候我認識很多回教徒,印度教徒,猶太教徒,他們都很好人。
[00:04:17.000 --> 00:04:26.000]  我們基督徒也是好人,那有什麼分別呢?那他們上不上到天堂?去不去到上帝的裡面?
[00:04:27.000 --> 00:04:48.000]  我就這樣回答我的兒子,在聖經的啟示裡面,只有一種人可以回到上帝的裡面,就是那個人認罪悔改,透過耶穌基督的救贖,他才可以回到上帝永恆的裡面。
[00:04:49.000 --> 00:05:01.000]  好人是不足夠讓你成為一個屬神的子民,這樣就很狹窄了,那個定義。
[00:05:02.000 --> 00:05:23.000]  得不得救回到上帝的家裡面,不是你和我去決定,而是那個家的主人去決定。我兒子開始明白多一點,究竟你怎樣帶領自己的家人去認識主呢?
[00:05:24.000 --> 00:05:37.000]  不是因為叫他可以參加教會聚會,不是只是叫他回來可以去參加受浸,然後乖乖的坐在那裡參加不同的團契,他就等同於是一個好的基督徒。
[00:05:37.000 --> 00:05:47.000]  一個真正的基督徒,是要符合上帝的標準而去定定的。
[00:05:48.000 --> 00:06:03.000]  而這個也是今天我想和大家一起思想。很多時候基督徒我們以為,基督徒就是好人,做了好人就等於是好基督徒,這樣的思想其實是我們傳統的一種舊有的思維。
[00:06:04.000 --> 00:06:33.000]  我們以為這樣就是等同於帶領別人相信主。其實魔鬼就是最喜歡利用這種舊的思維,因為當你用這種思維的時候,那些人以為自己都相信主,以為每個星期回教會的裡面,參加不同的聚會,甚至參加侍奉,甚至有些去神學院讀神學,做傳道人。
[00:06:34.000 --> 00:06:52.000]  都以為自己已經信了主,但實質上魔鬼最喜歡你就是這樣想,以為做了好人,以為在教會做好事,於是乎你就等同於是奉主,已經得救。
[00:06:53.000 --> 00:07:10.000]  如果你不是因為認信主耶穌認罪悔改的話,你在教會所做的一切,你在做所有的好事,其實都是蕩然無存的事情。上帝不會用這些去衡量你是得救。
[00:07:11.000 --> 00:07:27.000]  今天我們看這段聖經,就是要重新看看耶穌如何展述給我們知道,什麼人或者怎樣才可以真正成為主耶穌基督真正的家人。
[00:07:28.000 --> 00:07:41.000]  今天我想和大家一起看這段聖經,其實這段聖經是連接著上文的,不過讓我們先讀一下這段聖經,看看它的內文說什麼,然後我再逐步展述給大家聽。
[00:07:42.000 --> 00:08:07.000]  這段聖經讓我們一起打開馬太福音,第十二章,我們來到十二章最後的一部分,第四十六節至第五十節,我們會一起讀這段聖經,不是很長的,我們讀一次好嗎?讀了一次之後我又讀一次英語給大家聽,因為在英語聖經上的翻譯又很不同,又有些地方給我們多些啟發。
[00:08:08.000 --> 00:08:15.000]  我們一起讀,好嗎?我先拿一個大字板,因為我的眼睛看不到。好,我們一起找到之後,我們一起讀。
