
[00:00:00.000 --> 00:00:04.820]  我們繼續去迎接張林奇,Evan的時辰
[00:00:04.820 --> 00:00:08.240]  聖誕節快到了,我們思想一下聖誕節
[00:00:08.240 --> 00:00:10.240]  聖誕節我們可以有很多問題問的
[00:00:10.240 --> 00:00:12.240]  譬如聖誕節,這些東西
[00:00:12.240 --> 00:00:18.540]  有些不同的象徵,不同的記號,不同的蠟燭等等
[00:00:18.540 --> 00:00:21.540]  在哪裡來的呢?譬如有一些問題是
[00:00:21.540 --> 00:00:23.540]  聖誕老人這些東西在哪裡來的?
[00:00:23.540 --> 00:00:25.540]  不知道吧
[00:00:25.540 --> 00:00:30.440]  聖誕老人呢,是主後大概二百多年,大概三百年左右的時候
[00:00:30.440 --> 00:00:32.440]  有個人叫做聖尼古勒斯
[00:00:32.440 --> 00:00:36.240]  他是一個主教,是基督徒的主教
[00:00:36.240 --> 00:00:40.240]  聽說他在傳記裡面說
[00:00:40.240 --> 00:00:44.240]  他是一個很樂意去行善的一個人
[00:00:44.240 --> 00:00:47.240]  他對其他有需要的人是很盡心去幫助的
[00:00:47.240 --> 00:00:51.240]  正因為這樣的緣故,所以這個所謂聖誕老人
[00:00:51.240 --> 00:00:57.240]  就是從這個聖尼古勒斯慢慢慢慢演變出來
[00:00:57.240 --> 00:00:59.240]  不好意思,我的燈有點壞
[00:00:59.240 --> 00:01:03.240]  等下下午我們就會丟掉他的燈
[00:01:03.240 --> 00:01:07.240]  另外一個問題我要問
[00:01:07.240 --> 00:01:09.240]  除了聖誕節之外
[00:01:09.240 --> 00:01:13.240]  就是聖誕節日子是怎樣來的呢?
[00:01:13.240 --> 00:01:19.240]  十月二十五日是聖誕節,聖誕節
[00:01:19.240 --> 00:01:23.240]  Well, 真是挺 Distracting
[00:01:23.240 --> 00:01:25.240]  不過不要緊,聖誕嘛
[00:01:25.240 --> 00:01:27.240]  有一點點斬燈是可以的
[00:01:27.240 --> 00:01:29.240]  OK, Thank you
[00:01:29.240 --> 00:01:31.240]  Anyways
[00:01:31.240 --> 00:01:33.240]  聖誕這個日子是從哪裡來的呢?
[00:01:33.240 --> 00:01:35.240]  有一個說法
[00:01:35.240 --> 00:01:39.240]  就是說在早期教會的時候
