
[00:00:00.000 --> 00:00:04.020]  今天我們就要宣告你是殲滅社區浸信會的神
[00:00:04.020 --> 00:00:06.320]  你是殲滅社區浸信會的主
[00:00:06.320 --> 00:00:08.600]  他帶領我們整個教會
[00:00:08.600 --> 00:00:11.700]  去邁向前面的路程的時候
[00:00:11.700 --> 00:00:14.020]  你要開一條又新又活的路
[00:00:14.020 --> 00:00:16.140]  讓我們完全信靠你
[00:00:16.140 --> 00:00:17.660]  你是我們唯一的依靠
[00:00:17.660 --> 00:00:20.680]  我們宣告你是我們生命唯一的主
[00:00:20.680 --> 00:00:23.320]  我們禱告是奉主耶穌基督的名
[00:00:23.320 --> 00:00:24.040]  Amen
[00:00:24.040 --> 00:00:25.520]  請你跟家人弟子們說一聲
[00:00:25.520 --> 00:00:27.520]  你要信靠這位耶和華
[00:00:29.220 --> 00:00:32.340]  我們上次已經提到信靠的定義
[00:00:32.340 --> 00:00:33.480]  在《耳塞俠書》裡面
[00:00:33.480 --> 00:00:36.660]  我們已經說了我們不能夠逐章逐節地去講解《耳塞俠書》
[00:00:36.660 --> 00:00:39.420]  我們是將重點去講出來
[00:00:39.420 --> 00:00:42.480]  當《耳塞俠》提到一個信靠的定義之後
[00:00:42.480 --> 00:00:47.400]  很活生生地在28章到33章
[00:00:47.400 --> 00:00:49.320]  就提到一個人物叫做希西加
[00:00:49.320 --> 00:00:53.420]  希西加王的生命是將這個信心
[00:00:53.420 --> 00:00:57.240]  是信靠具體地呈現出來
[00:00:57.240 --> 00:01:00.720]  猶太人是講述事件很喜歡用圖像
[00:01:00.720 --> 00:01:02.600]  所以會見到很多的異象
[00:01:02.600 --> 00:01:06.960]  但是其實異象是不及於生命更加具體
[00:01:06.960 --> 00:01:09.820]  是表達出信仰的實在
[00:01:09.820 --> 00:01:11.440]  以及上帝的實在
[00:01:11.440 --> 00:01:14.960]  我們見到在36章到39章《耳塞俠書》
[00:01:14.960 --> 00:01:16.620]  是提到希西加的事蹟
[00:01:16.620 --> 00:01:19.900]  對比第七章是另一個皇帝叫做阿哈斯
[00:01:19.900 --> 00:01:22.020]  我們見到一個不信靠上帝
