
[00:00:00.000 --> 00:00:02.280]  我們回到聖經的整個歷史裏面
[00:00:02.280 --> 00:00:04.220]  如果今天我想補充的
[00:00:04.220 --> 00:00:07.140]  如果弟兄姊妹你聽我講道理完全不明白我講什麼的話
[00:00:07.140 --> 00:00:10.380]  即是說你聖經要回去要重頭看過了
[00:00:10.380 --> 00:00:15.000]  因爲我們牽涉的經文是非常之多
[00:00:15.000 --> 00:00:16.780]  我不會說太多的
[00:00:16.780 --> 00:00:20.020]  我只能夠講一個很簡單的故事
[00:00:20.020 --> 00:00:22.740]  就是聖經裏面有一個很簡單的故事
[00:00:22.740 --> 00:00:25.060]  就是聖經裏面有一個很簡單的故事
[00:00:25.060 --> 00:00:27.780]  就是聖經裏面有一個很簡單的故事
[00:00:27.780 --> 00:00:31.140]  我只能夠講一個很簡單的故事
[00:00:31.140 --> 00:00:34.260]  就是聖經裏面有一個很簡單的故事
[00:00:34.260 --> 00:00:36.980]  就是聖經裏面有一個很簡單的故事
[00:00:36.980 --> 00:00:39.300]  就是聖經裏面有一個很簡單的故事
[00:00:39.300 --> 00:00:41.300]  就是聖經裏面有一個很簡單的故事
[00:00:41.300 --> 00:00:43.300]  就是聖經裏面有一個很簡單的故事
[00:00:43.300 --> 00:00:45.300]  就是聖經裏面有一個很簡單的故事
[00:00:45.300 --> 00:00:47.300]  就是聖經裏面有一個很簡單的故事
[00:00:47.300 --> 00:00:49.300]  就是聖經裏面有一個很簡單的故事
[00:00:49.300 --> 00:00:51.300]  就是聖經裏面有一個很簡單的故事
[00:00:51.300 --> 00:00:53.300]  就是聖經裏面有一個很簡單的故事
[00:00:53.300 --> 00:00:55.300]  就是聖經裏面有一個很簡單的故事
[00:00:55.300 --> 00:00:57.300]  就是聖經裏面有一個很簡單的故事
[00:00:57.780 --> 00:00:59.780]  就是聖經裏面有一個很簡單的故事
[00:00:59.780 --> 00:01:01.780]  就是聖經裏面有一個很簡單的故事
[00:01:01.780 --> 00:01:03.780]  就是聖經裏面有一個很簡單的故事
[00:01:03.780 --> 00:01:05.780]  就是聖經裏面有一個很簡單的故事
[00:01:05.780 --> 00:01:07.780]  就是聖經裏面有一個很簡單的故事
[00:01:07.780 --> 00:01:09.780]  就是聖經裏面有一個很簡單的故事
[00:01:09.780 --> 00:01:11.780]  就是聖經裏面有一個很簡單的故事
[00:01:11.780 --> 00:01:13.780]  就是聖經裏面有一個很簡單的故事
[00:01:13.780 --> 00:01:15.780]  就是聖經裏面有一個很簡單的故事
[00:01:15.780 --> 00:01:17.780]  就是聖經裏面有一個很簡單的故事
