
[00:00:00.000 --> 00:00:02.000]  各位大嬸姐妹平安
[00:00:02.000 --> 00:00:08.620]  這個世界真是很複雜
[00:00:08.620 --> 00:00:11.780]  以為是疫情剛剛減退
[00:00:11.780 --> 00:00:14.680]  本地個案就沒有了
[00:00:14.680 --> 00:00:19.480]  然後我們的主藥學、填緝又可以回來了
[00:00:19.480 --> 00:00:21.080]  有實體的了
[00:00:21.080 --> 00:00:25.780]  那些健康的威脅又減低了
[00:00:25.780 --> 00:00:27.220]  那就更加好
[00:00:27.220 --> 00:00:30.220]  就有一萬元了,你收到沒有
[00:00:30.220 --> 00:00:32.220]  或者遲些收
[00:00:32.220 --> 00:00:35.040]  心情就自然鬆了一點
[00:00:35.040 --> 00:00:37.040]  有一些歇息的空間
[00:00:37.040 --> 00:00:38.480]  不過轉眼之間
[00:00:38.480 --> 00:00:40.680]  突然間,就是前幾天
[00:00:40.680 --> 00:00:43.040]  就是這個疫情急轉直下
[00:00:43.040 --> 00:00:44.480]  進入第三波
[00:00:44.480 --> 00:00:48.280]  然後學校就速速說要停課了
[00:00:48.280 --> 00:00:50.520]  我相信很多家庭、很多家長
[00:00:50.520 --> 00:00:53.540]  真的又轉頭又殺個措手不及
[00:00:53.540 --> 00:00:59.700]  然後就是很多的抗疫的措施又收緊了
[00:00:59.700 --> 00:01:02.600]  或者甚至乎接下來
[00:01:02.600 --> 00:01:06.300]  本來就是如果疫情轉好一點
[00:01:06.300 --> 00:01:09.400]  在就業那方面都可能穩定一點
[00:01:09.400 --> 00:01:11.680]  但現在轉頭又是這樣
[00:01:11.680 --> 00:01:15.680]  不知道會不會在這個職場的問題上
[00:01:15.680 --> 00:01:20.960]  失業的邊緣上是更大的問題呢
[00:01:20.960 --> 00:01:24.560]  當然再加上港區國安法一出
[00:01:24.560 --> 00:01:27.560]  社會環境好像靜一靜一樣
[00:01:27.560 --> 00:01:30.360]  不過我們都或者我們都可以經驗
[00:01:30.360 --> 00:01:31.760]  或者是觀察
[00:01:31.760 --> 00:01:34.560]  人心會不會靜下來呢
[00:01:34.560 --> 00:01:36.960]  或者是教會弟兄姊妹的心
[00:01:36.960 --> 00:01:39.360]  會不會都靜下來呢
[00:01:39.360 --> 00:01:40.960]  當然我們還有面對著
[00:01:40.960 --> 00:01:42.560]  平時都已經面對著的
[00:01:42.560 --> 00:01:44.560]  我們有親人朋友
[00:01:44.560 --> 00:01:48.160]  有時都會立刻談到移不移民
[00:01:48.160 --> 00:01:50.160]  或者無論為整個家庭
[00:01:50.160 --> 00:01:52.160]  又或者為子女
[00:01:52.160 --> 00:01:54.360]  再加上現在平日我們
[00:01:54.360 --> 00:01:57.160]  都面對著的一些難處
[00:01:57.160 --> 00:02:00.160]  有時有些弟兄姊妹是要特別
[00:02:00.160 --> 00:02:03.960]  長期照顧一些長期病患的家人
[00:02:03.960 --> 00:02:07.360]  其實都很艱難的中間
[00:02:07.360 --> 00:02:09.560]  或者有些弟兄姊妹是教養一些
[00:02:09.560 --> 00:02:12.560]  很難教的小朋友
[00:02:12.560 --> 00:02:15.560]  又或者是他們在學習上有障礙
[00:02:15.560 --> 00:02:19.760]  或者成長上有障礙的兒童或者青少年
[00:02:19.760 --> 00:02:21.560]  又或者我們弟兄姊妹
[00:02:21.560 --> 00:02:24.560]  要和一些比較難相處的家人
[00:02:24.560 --> 00:02:26.560]  一起住一起相處
[00:02:26.560 --> 00:02:29.160]  或者和一些很難相處的同事
[00:02:29.160 --> 00:02:31.160]  要做同事
[00:02:31.160 --> 00:02:32.760]  所以有時我們相信
[00:02:32.760 --> 00:02:33.760]  有時我們都會問
[00:02:33.760 --> 00:02:34.960]  不禁都會問
[00:02:34.960 --> 00:02:36.360]  我們可不可以
[00:02:36.360 --> 00:02:38.960]  快些從這些複雜的處境裏面
[00:02:38.960 --> 00:02:40.960]  變得簡單些
[00:02:40.960 --> 00:02:42.960]  我們從幽暗裏面
[00:02:42.960 --> 00:02:44.960]  可不可以快些變得光明
[00:02:44.960 --> 00:02:47.760]  我們的心靈可不可以靜一靜給我們
[00:02:47.760 --> 00:02:50.760]  讓我們休息一下
[00:02:50.760 --> 00:02:53.560]  這個反應我相信都是很正常
[00:02:53.560 --> 00:02:55.760]  或者是很普遍
[00:02:55.760 --> 00:02:57.760]  不過事實上
[00:02:57.760 --> 00:03:00.160]  有時一些困境一些處境
[00:03:00.160 --> 00:03:03.560]  未必能夠在短時期裏面變得簡單
[00:03:03.560 --> 00:03:08.360]  幽暗也未必會無端端變得光明
[00:03:08.360 --> 00:03:10.360]  不過我們再一次再看
[00:03:10.360 --> 00:03:11.360]  這個是事實
[00:03:11.360 --> 00:03:13.360]  但是屬靈的事實呢
[00:03:13.360 --> 00:03:15.760]  屬靈的事實又如何
[00:03:15.760 --> 00:03:18.760]  似乎屬靈的事實仍然心靈
[00:03:18.760 --> 00:03:21.960]  就算在這些處境或者幽暗裏面
[00:03:21.960 --> 00:03:24.360]  心靈都可以平復
[00:03:24.360 --> 00:03:25.760]  順傳下來
[00:03:25.760 --> 00:03:27.960]  最低限度到一個地步
[00:03:27.960 --> 00:03:30.760]  是可以讓我們有足夠的能耐
[00:03:30.760 --> 00:03:34.160]  能夠活在一些複雜的境況
[00:03:34.160 --> 00:03:37.160]  然後等待著光明
[00:03:37.160 --> 00:03:40.760]  其實誰可以呢
[00:03:40.760 --> 00:03:42.960]  我相信其中一個
[00:03:42.960 --> 00:03:45.160]  就是我們試圖保羅
[00:03:45.160 --> 00:03:46.360]  他可以
[00:03:46.360 --> 00:03:48.560]  試圖保羅的心靈
[00:03:48.560 --> 00:03:50.160]  其實很美的
[00:03:50.160 --> 00:03:53.160]  我不知道你會不會都用這個角度來看我們
[00:03:53.160 --> 00:03:55.960]  特別是新約聖經很多書信的作者
[00:03:55.960 --> 00:03:57.360]  試圖保羅
[00:03:57.360 --> 00:03:59.360]  當然我們一想試圖保羅
[00:03:59.360 --> 00:04:01.960]  可能都是想他能言善辯
[00:04:01.960 --> 00:04:03.960]  又邏輯思考
[00:04:03.960 --> 00:04:07.760]  又可以很理性地陳述一些神學
[00:04:07.760 --> 00:04:09.760]  不過他心靈
[00:04:09.760 --> 00:04:11.360]  其實可以很美的
[00:04:11.360 --> 00:04:13.560]  如果從這個角度看
[00:04:13.560 --> 00:04:15.560]  當然他
[00:04:15.560 --> 00:04:18.360]  他都一樣會經歷很複雜
