
[00:00:00.000 --> 00:00:02.000]  各位頂尖媒員,晚安
[00:00:02.000 --> 00:00:04.000]  很高興再次見到大家
[00:00:04.000 --> 00:00:07.000]  特別是在這個很寒冷的晚上
[00:00:07.000 --> 00:00:10.000]  不知道幾度了,知道嗎?
[00:00:10.000 --> 00:00:12.000]  十一、二、三
[00:00:12.000 --> 00:00:16.000]  剛才你們誰都去了侍奉人員同樂日
[00:00:16.000 --> 00:00:19.000]  去過烏溪沙,舉手看看
[00:00:19.000 --> 00:00:21.000]  累不累?
[00:00:21.000 --> 00:00:23.000]  很累
[00:00:23.000 --> 00:00:25.000]  OK,是年輕人有活力的
[00:00:25.000 --> 00:00:28.000]  冷不冷?大風呢?
[00:00:28.000 --> 00:00:30.000]  好
[00:00:30.000 --> 00:00:32.000]  難得
[00:00:32.000 --> 00:00:34.000]  能夠堅持
[00:00:34.000 --> 00:00:36.000]  正正就是一個信耶穌的人
[00:00:36.000 --> 00:00:38.000]  一個很重要的生命素質
[00:00:38.000 --> 00:00:40.000]  特別是要堅持回教會
[00:00:40.000 --> 00:00:42.000]  也不容易
[00:00:42.000 --> 00:00:44.000]  希望我們能夠帶著堅毅的心
[00:00:44.000 --> 00:00:46.000]  來面對著我們生活當中
[00:00:46.000 --> 00:00:48.000]  各樣的挑戰、困難
[00:00:48.000 --> 00:00:50.000]  持守信仰來前行
[00:00:50.000 --> 00:00:52.000]  今晚也想和大家分享
[00:00:52.000 --> 00:00:55.000]  這個很重要、很寶貴的題目
[00:00:55.000 --> 00:00:59.000]  同樣要和我們的心去呼應的題目
[00:00:59.000 --> 00:01:02.000]  是關於該人的故事
[00:01:02.000 --> 00:01:05.000]  我相信該人的故事對我來說
[00:01:05.000 --> 00:01:07.000]  都是耳熟能詳的
[00:01:07.000 --> 00:01:09.000]  不過不知道大家在查《創世紀聖經》
[00:01:09.000 --> 00:01:11.000]  或者讀《創世紀聖經》的時候
[00:01:11.000 --> 00:01:13.000]  總是有些事情發現到
[00:01:13.000 --> 00:01:15.000]  有令你感動的情節
[00:01:15.000 --> 00:01:18.000]  今天我也想和大家透過分享
[00:01:18.000 --> 00:01:21.000]  這段聖經裡面的過程的一個體會
[00:01:21.000 --> 00:01:24.000]  也嘗試去探索一下
