
[00:00:00.000 --> 00:00:02.000]  各位鼎姊妹早安
[00:00:02.000 --> 00:00:04.500]  感恩節快樂
[00:00:04.500 --> 00:00:07.120]  不知道你這一刻感不感恩
[00:00:07.120 --> 00:00:11.620]  我記得在以前上過一個情緒的管理課程
[00:00:11.620 --> 00:00:14.360]  那個教授就要求我們每一個學員
[00:00:14.360 --> 00:00:18.680]  兩分鐘之內寫下你所認識的情緒
[00:00:18.680 --> 00:00:20.140]  即是越多越好
[00:00:20.140 --> 00:00:25.280]  兩分鐘過後 其實超過三分二的同學
[00:00:25.280 --> 00:00:29.440]  都會形容最普遍 我讀給大家聽
[00:00:29.440 --> 00:00:36.280]  討厭 委屈 受傷 很沮喪
[00:00:36.280 --> 00:00:38.160]  這個教授開玩笑地說
[00:00:38.160 --> 00:00:42.160]  這一班的自殺指數都很高
[00:00:42.160 --> 00:00:44.840]  曾經也有一個調查
[00:00:44.840 --> 00:00:46.360]  這個調查是這樣說的
[00:00:46.360 --> 00:00:49.840]  他說如果你打開家裡雪櫃有東西吃
[00:00:49.840 --> 00:00:52.200]  打開衣櫃有衣服穿
[00:00:52.200 --> 00:00:55.040]  又有爹 傘頭 有地方住
[00:00:55.040 --> 00:00:59.000]  其實你就比世界上75%的人
[00:00:59.000 --> 00:01:01.800]  已經是很富有和幸福了
[00:01:01.800 --> 00:01:04.960]  如果你銀行有儲蓄
[00:01:04.960 --> 00:01:08.040]  銀包現在拿出來 也有錢掉出來的話
[00:01:08.040 --> 00:01:12.000]  其實你已經列入了世界裡面
[00:01:12.000 --> 00:01:15.000]  8%最富有的人
[00:01:15.000 --> 00:01:18.120]  也繼續說 如果你今天起床
[00:01:18.120 --> 00:01:20.680]  感覺到精精神神 很健康
[00:01:20.680 --> 00:01:23.080]  四肢活動 又回到這裡
[00:01:23.080 --> 00:01:24.360]  沒有病沒有痛
[00:01:24.360 --> 00:01:28.880]  其實你已經比每天數以百萬的人
[00:01:28.880 --> 00:01:33.120]  面臨死亡又患病的人幸福了
[00:01:33.120 --> 00:01:36.520]  最後 我們生活在加拿大
[00:01:36.520 --> 00:01:40.280]  沒有戰爭 你沒有被囚禁 也沒有被虐待
[00:01:40.280 --> 00:01:46.600]  其實你已經比世上數千萬的人很幸福
[00:01:46.600 --> 00:01:48.080]  所以當今天
