
[00:00:00.000 --> 00:00:03.360]  多謝施班帶領我們用一首美麗的詩歌
[00:00:03.360 --> 00:00:06.160]  代表我們將一個馨香的祭
[00:00:06.160 --> 00:00:08.160]  獻給我們的上帝
[00:00:08.160 --> 00:00:12.280]  今天我們繼續看《啟示錄》
[00:00:12.280 --> 00:00:15.640]  我一看這段聖經
[00:00:15.640 --> 00:00:17.040]  我就想起耶穌
[00:00:17.040 --> 00:00:18.160]  那當然啦
[00:00:18.160 --> 00:00:19.640]  在說耶穌嘛
[00:00:19.640 --> 00:00:22.760]  不過我不是想起耶穌再來
[00:00:22.760 --> 00:00:26.160]  我想起耶穌剛剛到城域生
[00:00:26.160 --> 00:00:29.400]  來到地上的那段時間
[00:00:29.400 --> 00:00:33.400]  耶穌剛剛到城域生來到地上
[00:00:33.400 --> 00:00:36.320]  祂開始傳道
[00:00:36.320 --> 00:00:39.120]  祂一出來
[00:00:39.120 --> 00:00:43.600]  當祂教導有關神的國度要臨到的時候
[00:00:43.600 --> 00:00:46.400]  祂說了兩句話
[00:00:46.400 --> 00:00:51.000]  「天國近了,你們應當悔改」
[00:00:51.000 --> 00:00:53.600]  就是說天國來了
[00:00:53.600 --> 00:00:55.600]  我們怎樣進入去呢?
[00:00:55.600 --> 00:00:57.600]  我們需要悔改
[00:00:57.600 --> 00:01:02.600]  不過如果我們看幾卷的福音書
[00:01:02.600 --> 00:01:06.600]  我們就見到當時不少人心裏不是想這件事
[00:01:06.600 --> 00:01:08.600]  他們當時心裏就想
[00:01:08.600 --> 00:01:11.600]  好了,耶穌那麼出名那麼聰明
[00:01:11.600 --> 00:01:15.600]  祂是不是就是來帶領我們以色列人重新建立
[00:01:15.600 --> 00:01:18.600]  一個很輝煌的王國
[00:01:18.600 --> 00:01:21.600]  祂是不是就是在當下
[00:01:21.600 --> 00:01:26.600]  帶領以色列人重新脫離羅馬的統治
[00:01:26.600 --> 00:01:30.600]  重新建立一個屬於他們自己的國家
[00:01:30.600 --> 00:01:33.600]  於是我們開始見到
[00:01:33.600 --> 00:01:37.600]  他們有人很想耶穌做王
[00:01:37.600 --> 00:01:41.600]  所以聖經是這樣記載
[00:01:41.600 --> 00:01:44.600]  「眾人看見耶穌所行的神蹟就說
[00:01:44.600 --> 00:01:48.600]  這真是那要來世間的先知」
[00:01:48.600 --> 00:01:55.600]  然後聖經說耶穌既知道眾人要來強逼他作王
[00:01:55.600 --> 00:01:59.600]  就獨自又退到山上去了
[00:01:59.600 --> 00:02:02.600]  從耶穌的行動我們知道
[00:02:02.600 --> 00:02:06.600]  耶穌當時來不是要做這個世界上的王
[00:02:06.600 --> 00:02:09.600]  不是要來這個世界做地上以色列的王
[00:02:09.600 --> 00:02:17.600]  後來經過一連串耶穌傳道的工作
[00:02:17.600 --> 00:02:18.600]  三年多之後
[00:02:18.600 --> 00:02:22.600]  耶穌知道祂為世人犧牲的日子近了
[00:02:22.600 --> 00:02:25.600]  祂就決定上去耶路撒冷
[00:02:25.600 --> 00:02:30.600]  當祂進入耶路撒冷的時候
[00:02:30.600 --> 00:02:31.600]  聖經告訴我們
[00:02:31.600 --> 00:02:34.600]  耶路撒冷的居民很高興
[00:02:34.600 --> 00:02:38.600]  聖經說眾人多半把衣服鋪在路上
[00:02:38.600 --> 00:02:42.600]  還有人撼下樹枝來鋪在路上
[00:02:42.600 --> 00:02:44.600]  很歡迎耶穌
[00:02:44.600 --> 00:02:45.600]  很渴望祂的來到
[00:02:45.600 --> 00:02:46.600]  所以來了
[00:02:46.600 --> 00:02:47.600]  很開心
[00:02:47.600 --> 00:02:50.600]  然後他們就說
