
[00:00:00.000 --> 00:00:02.480]  今日就講一個聖潔的群體
[00:00:02.480 --> 00:00:04.480]  我們需要有甚麼特質
[00:00:04.480 --> 00:00:05.280]  有兩個特質
[00:00:05.280 --> 00:00:06.800]  就是我們需要擁有
[00:00:06.800 --> 00:00:09.600]  或者我們需要彰顯這兩種的愛
[00:00:09.600 --> 00:00:11.280]  打橫和打動的愛
[00:00:11.280 --> 00:00:13.520]  請大家打開聖經
[00:00:13.520 --> 00:00:16.720]  彼得前書第1章22至2章3節
[00:00:16.720 --> 00:00:19.120]  今日要講的這段經文
[00:00:19.120 --> 00:00:21.440]  雖然它橫跨了1,2章中間
[00:00:21.440 --> 00:00:24.000]  但其實它應該是一個段落
[00:00:24.000 --> 00:00:27.440]  1章22至2章第3節
[00:00:27.440 --> 00:00:30.080]  不是太長,我們好不好呢
[00:00:30.080 --> 00:00:33.840]  我想請姐妹讀1章22至25節
[00:00:33.840 --> 00:00:36.400]  弟兄讀2章1至3節,兩個段落
[00:00:36.400 --> 00:00:38.960]  好,請姐妹先
[00:00:38.960 --> 00:00:41.280]  你們既因信從真理
[00:00:41.280 --> 00:00:43.280]  結證了自己的心
[00:00:43.280 --> 00:00:45.600]  以致愛弟兄沒有虛假
[00:00:45.600 --> 00:00:49.520]  就當從心裡彼此切實相愛
[00:00:49.520 --> 00:00:51.360]  你們夢了重生
[00:00:51.360 --> 00:00:53.680]  不是由於能壞的種子
[00:00:53.680 --> 00:00:56.640]  乃是由於不能壞的種子
[00:00:56.640 --> 00:01:00.000]  致藉著神活潑上傳的道
[00:01:00.000 --> 00:01:03.680]  因為凡有血氣的盡都如草
[00:01:03.680 --> 00:01:06.880]  他的美榮都像草上的花
[00:01:06.880 --> 00:01:10.080]  草必枯乾,花必凋謝
[00:01:10.080 --> 00:01:12.640]  唯有主的道是永存的
[00:01:12.640 --> 00:01:16.160]  所傳給你們的福音就是這道
[00:01:16.160 --> 00:01:20.560]  所以你們記除去一切的惡毒
[00:01:20.560 --> 00:01:25.840]  詭詐並假善嫉妒和一切偽造的話
[00:01:25.840 --> 00:01:29.040]  就要愛慕那純正的靈奶
[00:01:29.040 --> 00:01:32.400]  像財生的嬰孩愛慕奶一樣
[00:01:32.400 --> 00:01:36.160]  叫你們因此漸長,以致得救
[00:01:36.160 --> 00:01:40.560]  你們若嘗過主恩的滋味,就必如此
[00:01:40.560 --> 00:01:44.000]  兩個段落,請大家留意兩個字
[00:01:44.000 --> 00:01:46.160]  1章22節,第一句
[00:01:46.160 --> 00:01:50.000]  那裡說你們既因信從真理
[00:01:50.000 --> 00:01:51.920]  大家留意那個既
[00:01:51.920 --> 00:01:55.200]  既然你們因為信從了真理之後
[00:01:55.200 --> 00:01:56.960]  心被潔淨了
[00:01:56.960 --> 00:01:59.600]  心被耶穌的補血潔淨了
[00:01:59.600 --> 00:02:03.280]  說的是既然已經發生了的事情
[00:02:03.280 --> 00:02:08.000]  大家跳去看第二章第一節
[00:02:08.000 --> 00:02:08.960]  那裡說什麼呢
[00:02:08.960 --> 00:02:13.200]  所以你們記除去一切的惡毒詭詐
[00:02:13.200 --> 00:02:14.800]  又是個既字
[00:02:14.800 --> 00:02:16.960]  即是在聖潔群體
[00:02:16.960 --> 00:02:20.640]  我們的聖靈生命的旅程裡
[00:02:20.640 --> 00:02:24.480]  你會發覺我們有些事情是發生了
[00:02:24.480 --> 00:02:26.480]  有些事情是我們要努力的地方
[00:02:26.480 --> 00:02:30.320]  1章22節說你們既因信從真理
[00:02:30.320 --> 00:02:32.320]  接著有一句說話說
[00:02:32.320 --> 00:02:35.120]  就當從心裡彼此切實相愛
[00:02:35.120 --> 00:02:37.360]  那個就字即是說有些事情發生了
[00:02:37.360 --> 00:02:38.480]  或者正在發生
[00:02:38.480 --> 00:02:40.000]  不過有些事情是我們要努力的
