
[00:00:00.000 --> 00:00:02.820]  (主席)我們再次低頭祈禱弟兄姊妹
[00:00:02.820 --> 00:00:04.960]  天父我們感謝祢
[00:00:04.960 --> 00:00:07.120]  讓我們還活的時候
[00:00:07.120 --> 00:00:10.300]  有生命氣息來到您的面前
[00:00:10.300 --> 00:00:12.860]  不單止重讚感恩
[00:00:12.860 --> 00:00:15.100]  更加讓我們能夠在您面前
[00:00:15.100 --> 00:00:17.760]  學習您自己的話語
[00:00:17.760 --> 00:00:20.700]  主要求祢使我們心裡的意念
[00:00:20.700 --> 00:00:23.800]  口裡的說話都能夠蒙越納
[00:00:23.800 --> 00:00:25.160]  順聽我們的禱告
[00:00:25.160 --> 00:00:27.000]  奉耶穌名字祈求
[00:00:27.000 --> 00:00:29.340]  (主席)阿們
[00:00:29.340 --> 00:00:32.600]  剛才一班小朋友唱詩的時候
[00:00:32.600 --> 00:00:33.740]  在那裡想
[00:00:33.740 --> 00:00:37.940]  我們剛才唱二百零六首《因他活著》
[00:00:37.940 --> 00:00:40.100]  那個詩歌第二節就說
[00:00:40.100 --> 00:00:42.900]  他說 身身英鞋 抱在懷中
[00:00:42.900 --> 00:00:45.860]  何等安詳使人歡喜
[00:00:45.860 --> 00:00:47.900]  這首詩歌作者寫的時候
[00:00:47.900 --> 00:00:49.300]  是遇到一個很大的
[00:00:49.300 --> 00:00:51.100]  當時經濟蕭條
[00:00:51.100 --> 00:00:52.660]  他抱著他的嬰兒的時候
[00:00:52.660 --> 00:00:54.760]  就想一下他明天怎麼過
[00:00:54.760 --> 00:00:56.460]  但他想自己明天怎麼過的時候
[00:00:56.460 --> 00:00:58.960]  想一下這個嬰兒怎麼過
[00:00:58.960 --> 00:01:01.100]  我看到這班小朋友在唱歌的時候
[00:01:01.100 --> 00:01:02.360]  我想問一個問題
[00:01:02.360 --> 00:01:03.360]  弟兄姊妹
[00:01:03.360 --> 00:01:05.560]  你覺得你的日子難過呢?
[00:01:05.560 --> 00:01:12.300]  還是將來他們的日子難過?
[00:01:12.300 --> 00:01:13.200]  你這麼大個人
[00:01:13.200 --> 00:01:14.800]  你有辦法解決
[00:01:14.800 --> 00:01:17.300]  他們沒有辦法解決
[00:01:17.300 --> 00:01:19.740]  到底哪個日子比較難過?
[00:01:19.740 --> 00:01:21.700]  如果他們要用信心的時候
[00:01:21.700 --> 00:01:26.560]  那你的信心在哪裡?
[00:01:26.560 --> 00:01:30.400]  所以我覺得《因他活著》這首詩歌很有意思
[00:01:30.400 --> 00:01:33.600]  今天早上我們祈禱會的時候
[00:01:33.600 --> 00:01:35.900]  唱二百零四首
[00:01:35.900 --> 00:01:38.760]  是《因主活在我心》
[00:01:38.760 --> 00:01:41.640]  《主活在我心》我唱這首詩歌的時候
[00:01:41.640 --> 00:01:46.500]  我真是一個很不懂形象化的人
[00:01:46.500 --> 00:01:49.800]  我怎樣主可以活在我心呢?
[00:01:49.800 --> 00:01:52.500]  我嘗試用各種方法去聯想
[00:01:52.500 --> 00:01:55.100]  想不到主怎麼活在我心
[00:01:55.100 --> 00:01:58.100]  唯一我是一個比較務實的人
[00:01:58.100 --> 00:02:01.100]  務實的人,我相信要有根有據的
[00:02:01.100 --> 00:02:04.600]  主耶穌說:我講的話就是靈,就是生命
[00:02:04.600 --> 00:02:08.400]  如果耶穌基督所講的說話
[00:02:08.400 --> 00:02:09.800]  是這裡的說話
[00:02:09.800 --> 00:02:13.200]  這些說話如果在我心裡面的話
[00:02:13.200 --> 00:02:15.400]  在我這裡的話
[00:02:15.400 --> 00:02:16.900]  我還沒有失憶
[00:02:16.900 --> 00:02:18.700]  我還沒有癡呆
[00:02:18.700 --> 00:02:22.400]  我還可以想到上帝的說話的時候
[00:02:22.400 --> 00:02:24.500]  這句話在這裡,在這裡
[00:02:24.500 --> 00:02:27.900]  我可以肯定主活在我心
[00:02:27.900 --> 00:02:29.600]  如果這些說話不在我這裡
[00:02:29.600 --> 00:02:30.900]  不在我這裡的時候
[00:02:30.900 --> 00:02:33.200]  我跟別人說主活在我心
