
[00:00:00.000 --> 00:00:03.400]  OK,我現在帶你去第二個故事
[00:00:03.400 --> 00:00:06.000]  第二個故事你可以直接應用在你身上
[00:00:06.000 --> 00:00:09.120]  雖然我不想你做寡婦
[00:00:09.120 --> 00:00:12.120]  你明白我的意思吧
[00:00:12.120 --> 00:00:14.720]  但是這裡,如果你讀《老家福音》
[00:00:14.720 --> 00:00:18.920]  你知道《老家福音》是一本很喜歡講祈禱的書
[00:00:18.920 --> 00:00:23.000]  它也是很喜歡講女士祈禱的一本書
[00:00:23.000 --> 00:00:25.320]  所以最後兩個故事其實有關係
[00:00:25.320 --> 00:00:27.720]  因為兩個故事都是女人祈禱的
[00:00:27.720 --> 00:00:31.120]  好,第一個故事就是《阿拿先知》
[00:00:31.120 --> 00:00:36.720]  又有一位女先知名叫阿拿斯阿切
[00:00:36.720 --> 00:00:40.120]  之派法內歷的女兒
[00:00:40.120 --> 00:00:43.520]  年紀已經老邁從童女出嫁
[00:00:43.520 --> 00:00:45.520]  同丈夫住了七年
[00:00:45.520 --> 00:00:49.320]  就寡居了,現在已經八十四歲
[00:00:49.320 --> 00:00:53.320]  我不知道這裡有沒有人八十四歲或者以上的
[00:00:53.320 --> 00:00:56.120]  OK,你想想這個人
[00:00:56.120 --> 00:01:00.520]  她守寡,我不知道她什麼時候結婚
[00:01:00.520 --> 00:01:02.720]  七年之後她就守寡了
[00:01:02.720 --> 00:01:04.520]  已經守了很多年寡了
[00:01:04.520 --> 00:01:08.320]  你計算一下那時候的人很早就結婚了
[00:01:08.320 --> 00:01:10.720]  可能守了六十年了
[00:01:10.720 --> 00:01:11.920]  六十幾年了
[00:01:11.920 --> 00:01:15.320]  她不離開聖殿
[00:01:15.320 --> 00:01:16.920]  她在聖殿裡面做什麼呢?
[00:01:16.920 --> 00:01:18.720]  禁食祈禱
[00:01:18.720 --> 00:01:20.320]  禁食祈求
[00:01:20.320 --> 00:01:24.520]  就夜侍奉上帝
[00:01:24.520 --> 00:01:26.320]  就夜侍奉上帝
[00:01:26.320 --> 00:01:27.520]  我想跟你說
[00:01:27.520 --> 00:01:29.520]  因為你的題目是
[00:01:29.520 --> 00:01:34.120]  侍奉的、服侍主的信心
[00:01:34.120 --> 00:01:36.120]  你怎麼去服侍主呢?
[00:01:36.120 --> 00:01:38.520]  是不是真的要做事呢?
[00:01:38.520 --> 00:01:40.120]  如果你去做事
[00:01:40.120 --> 00:01:41.720]  當然我是同意
[00:01:41.720 --> 00:01:46.920]  或者我是鼓勵大家去參與教會一些活動或者侍奉
[00:01:46.920 --> 00:01:52.120]  但是那些侍奉是有時間、空間限制的
[00:01:52.120 --> 00:01:55.520]  你不可以憑你自己喜歡就來教會說
[00:01:55.520 --> 00:01:58.320]  我現在要侍奉要彈琴
[00:01:58.320 --> 00:01:59.920]  十二點鐘沒有人在
[00:01:59.920 --> 00:02:02.120]  怎麼彈琴都沒用的
[00:02:02.120 --> 00:02:05.520]  你一定要某一個時間、某一個空間來教會
[00:02:05.520 --> 00:02:07.520]  你彈琴才有用的
[00:02:07.520 --> 00:02:11.720]  但是有一樣東西是沒有時間、空間限制的
[00:02:11.720 --> 00:02:13.120]  是什麼時候都可以做的
[00:02:13.120 --> 00:02:17.120]  可以就夜侍奉上帝是什麼呢?
[00:02:17.120 --> 00:02:19.120]  祈禱
[00:02:19.120 --> 00:02:20.720]  祈禱
[00:02:20.720 --> 00:02:21.920]  你晚上睡不著覺
[00:02:21.920 --> 00:02:23.720]  你可以侍奉上帝的
[00:02:23.720 --> 00:02:24.920]  怎麼樣呢?
[00:02:24.920 --> 00:02:26.720]  祈禱
[00:02:26.720 --> 00:02:30.320]  你在做運動你也可以侍奉上帝
[00:02:30.320 --> 00:02:31.120]  你可以祈禱
[00:02:31.120 --> 00:02:32.520]  你在搭巴士
[00:02:32.520 --> 00:02:33.720]  你在搭地鐵
[00:02:33.720 --> 00:02:37.920]  你也可以做同一件事
[00:02:37.920 --> 00:02:39.520]  這是最好的侍奉
[00:02:39.520 --> 00:02:41.720]  甚至我可以這樣跟你說
[00:02:41.720 --> 00:02:44.320]  是我們教會最需要的侍奉
