
[00:00:00.000 --> 00:00:05.000]  今日我睇盧家福音,四左十六至廿二節
[00:00:05.000 --> 00:00:08.000]  大家除非你剛剛從外星回來
[00:00:08.000 --> 00:00:12.000]  今日你都知道英國最近慶祝了甚麼
[00:00:12.000 --> 00:00:16.000]  英女皇登基七十週年
[00:00:16.000 --> 00:00:19.000]  經常都聽到英文字叫Jubilee
[00:00:19.000 --> 00:00:21.000]  意思是甚麼呢?一會兒會講
[00:00:21.000 --> 00:00:23.000]  但大家都很多慶祝
[00:00:23.000 --> 00:00:26.000]  因為英女皇登基了七十年
[00:00:26.000 --> 00:00:28.000]  七十年不是一個短的時間
[00:00:28.000 --> 00:00:32.000]  七十年可以說是一個很長的時間
[00:00:32.000 --> 00:00:37.000]  聽說她是有史以來
[00:00:37.000 --> 00:00:41.000]  是第二個君皇是最長壽
[00:00:41.000 --> 00:00:45.000]  不是最長壽,是登基在位最長的
[00:00:45.000 --> 00:00:47.000]  是超過七十年當然
[00:00:47.000 --> 00:00:50.000]  另外一個就是很久以前的
[00:00:50.000 --> 00:00:55.000]  十八世紀的法國皇帝路易十四
[00:00:55.000 --> 00:00:58.000]  你說多久,法國都沒有皇帝很多年
[00:00:58.000 --> 00:01:01.000]  她做了好像七十四年
[00:01:01.000 --> 00:01:04.000]  所以這是一個很大的慶祝
[00:01:04.000 --> 00:01:07.000]  無論你是否擁護女皇都好
[00:01:07.000 --> 00:01:09.000]  我們都很開心,有幾天的假期
[00:01:09.000 --> 00:01:13.000]  大家知不知道是我們一生人一次
[00:01:13.000 --> 00:01:16.000]  可以慶祝七十週年女皇登基
[00:01:16.000 --> 00:01:19.000]  因為下次如果有個皇帝做了七十年
[00:01:19.000 --> 00:01:21.000]  相信我們都不在這裏
[00:01:21.000 --> 00:01:23.000]  所以這都是一生人一次
[00:01:23.000 --> 00:01:25.000]  很多時候我們怪很多事一生人一次
[00:01:25.000 --> 00:01:27.000]  未必一定是,都要有機會
[00:01:27.000 --> 00:01:29.000]  但這個肯定你不會再有機會見證到
[00:01:29.000 --> 00:01:32.000]  另外一個英國皇帝登基了七十年
[00:01:32.000 --> 00:01:37.000]  一說七十年,我想起我初初來英國
