
[00:00:00.000 --> 00:00:05.000]  與一些不同教會的「大英姊妹」領袖聊天
[00:00:05.000 --> 00:00:09.000]  發覺現時我們在北美很多教會
[00:00:09.000 --> 00:00:10.000]  特別是華人教會
[00:00:10.000 --> 00:00:12.000]  我接觸到的是華人教會
[00:00:12.000 --> 00:00:16.000]  都遇到很多女女外外的挑戰
[00:00:16.000 --> 00:00:17.000]  我做牧師這麼久
[00:00:17.000 --> 00:00:20.000]  我第一次聽到教會會「lay off」牧師
[00:00:20.000 --> 00:00:23.000]  這件事其實正在發生
[00:00:23.000 --> 00:00:24.000]  除此之外
[00:00:24.000 --> 00:00:26.000]  有些教會也跟我分享到
[00:00:26.000 --> 00:00:30.000]  當然現在教會老化的情況很嚴重
[00:00:30.000 --> 00:00:32.000]  教會去退休會
[00:00:32.000 --> 00:00:34.000]  老人家不想去退休會
[00:00:34.000 --> 00:00:37.000]  但是不去好像不太好
[00:00:37.000 --> 00:00:39.000]  讓年輕人去上山
[00:00:39.000 --> 00:00:41.000]  老人家就留在自己的教會
[00:00:41.000 --> 00:00:43.000]  搞退休會
[00:00:43.000 --> 00:00:45.000]  所以其實我要說的是
[00:00:45.000 --> 00:00:49.000]  在我最近接觸到的一些教會領袖當中
[00:00:49.000 --> 00:00:53.000]  發覺教會現在正在面對很多女女外的問題
[00:00:53.000 --> 00:00:55.000]  外面有經濟的壓力
[00:00:55.000 --> 00:00:56.000]  社會的動盪
[00:00:56.000 --> 00:00:58.000]  帶來很多的不安
[00:00:58.000 --> 00:01:02.000]  但是教會裡面也有很多事情需要處理
[00:01:02.000 --> 00:01:05.000]  就算是代代之間的問題
[00:01:05.000 --> 00:01:07.000]  應該怎樣去處理
[00:01:07.000 --> 00:01:09.000]  還有言語之間的差別
[00:01:09.000 --> 00:01:10.000]  我們很感恩
[00:01:10.000 --> 00:01:11.000]  我們的年輕人聽英文的
[00:01:11.000 --> 00:01:12.000]  都會留在這裡
[00:01:12.000 --> 00:01:14.000]  有一個「Praise worship」
[00:01:14.000 --> 00:01:16.000]  但是很多教會裡面不單單要分開
[00:01:16.000 --> 00:01:18.000]  而且分得很開
[00:01:18.000 --> 00:01:21.000]  所以導致很多教會的領袖
[00:01:21.000 --> 00:01:26.000]  不知道怎樣去處理這些問題
[00:01:26.000 --> 00:01:30.000]  所以其實今天跟大家分享的題目就是說
[00:01:30.000 --> 00:01:32.000]  怎樣能夠團結合作
[00:01:32.000 --> 00:01:36.000]  完成上帝交付給我們的使命呢
[00:01:36.000 --> 00:01:39.000]  當然如果我們看《舌頭行轉》
[00:01:39.000 --> 00:01:45.000]  我們知道其實教會初期的時間裡面
[00:01:45.000 --> 00:01:48.000]  都已經是面對女外的挑戰了
[00:01:48.000 --> 00:01:50.000]  外面有猶太人就說
[00:01:50.000 --> 00:01:52.000]  這群基督徒其實是異端
[00:01:52.000 --> 00:01:54.000]  是一個新興的教派
[00:01:54.000 --> 00:01:56.000]  所以給了他們很多壓力
[00:01:56.000 --> 00:01:57.000]  給了他們很多壓迫
[00:01:57.000 --> 00:02:00.000]  還有政府的一些限制
[00:02:00.000 --> 00:02:02.000]  但是教會裡面
[00:02:02.000 --> 00:02:03.000]  大家想準一下
[00:02:03.000 --> 00:02:05.000]  特別是耶路撒冷的早期教會
[00:02:05.000 --> 00:02:07.000]  開始沒多久
[00:02:07.000 --> 00:02:09.000]  由十二的使徒開始
[00:02:09.000 --> 00:02:11.000]  後來又有一百多人
[00:02:11.000 --> 00:02:13.000]  在樓房上祈禱
[00:02:13.000 --> 00:02:14.000]  但是給了一次傳道
[00:02:14.000 --> 00:02:15.000]  多少人上完課
[00:02:15.000 --> 00:02:16.000]  三千
[00:02:16.000 --> 00:02:17.000]  一次是五千
[00:02:17.000 --> 00:02:19.000]  教會變成過萬人
[00:02:19.000 --> 00:02:21.000]  忽然之間這麼多人的時候
[00:02:21.000 --> 00:02:24.000]  其實使徒除了傳福音之外
[00:02:24.000 --> 00:02:28.000]  還要處理很多教會裡面的問題
[00:02:28.000 --> 00:02:30.000]  今天跟大家一起看
[00:02:30.000 --> 00:02:31.000]  從教會
[00:02:31.000 --> 00:02:32.000]  早期教會
[00:02:32.000 --> 00:02:34.000]  處理教會內部的問題的時候
[00:02:34.000 --> 00:02:37.000]  我們看看可不可以從中學到的功課是
[00:02:37.000 --> 00:02:39.000]  怎樣能夠團結合作
[00:02:39.000 --> 00:02:41.000]  去完成神明我們的使命
[00:02:41.000 --> 00:02:43.000]  當然整本《舌頭行轉》
[00:02:43.000 --> 00:02:45.000]  有些人叫做《聖靈行轉》
[00:02:45.000 --> 00:02:46.000]  意思是什麼呢
[00:02:46.000 --> 00:02:48.000]  就是說透過聖靈
[00:02:48.000 --> 00:02:51.000]  就是帶動宗教會去完成神的使命
[00:02:51.000 --> 00:02:52.000]  但是大興之末之間
[00:02:52.000 --> 00:02:53.000]  在教會裡面
[00:02:53.000 --> 00:02:55.000]  我們應該怎樣團結合作
[00:02:55.000 --> 00:02:58.000]  以致我們能夠有份去參與
