
[00:00:00.000 --> 00:00:03.100]  請問姐妹平安
[00:00:03.100 --> 00:00:08.420]  謝謝主讓我有機會第一次來這個新的堂會
[00:00:08.420 --> 00:00:11.420]  剛才聽牧師介紹
[00:00:11.420 --> 00:00:15.520]  這個教會剛剛開拓半年多的時間
[00:00:15.520 --> 00:00:17.320]  我覺得很不容易
[00:00:17.320 --> 00:00:21.640]  但是也看見非常新的一個設備
[00:00:21.640 --> 00:00:23.940]  非常好的一個環境
[00:00:23.940 --> 00:00:27.300]  我想這些也是神的恩典
[00:00:27.300 --> 00:00:29.340]  今天早晨我們看的這段經文
[00:00:29.340 --> 00:00:32.140]  我相信對基督徒信主的人來說
[00:00:32.140 --> 00:00:34.140]  我們非常的熟悉
[00:00:34.140 --> 00:00:36.320]  因為這是在四本福音書裡面
[00:00:36.320 --> 00:00:39.380]  同時都記載的一個神蹟
[00:00:39.380 --> 00:00:45.240]  就是耶穌行的這個五餅二魚的神蹟
[00:00:45.240 --> 00:00:48.360]  但是在還沒有分享這個神蹟以前
[00:00:48.360 --> 00:00:52.280]  我想先跟各位姐妹來思想一個問題
[00:00:52.280 --> 00:00:56.920]  各位你有沒有想過神蹟的目的是什麼
[00:00:56.920 --> 00:00:59.800]  很多時候我們對神蹟的理解就是說
[00:00:59.800 --> 00:01:01.540]  哇 上帝在我的生命中
[00:01:01.540 --> 00:01:03.860]  或者在我認識的家人中間
[00:01:03.860 --> 00:01:06.280]  行了一個神蹟
[00:01:06.280 --> 00:01:08.860]  可能是病得醫治
[00:01:08.860 --> 00:01:13.420]  可能是我們一些非常艱難的環境中間
[00:01:13.420 --> 00:01:16.440]  我們經歷上帝給我們開路
[00:01:16.440 --> 00:01:18.740]  甚至我們可能向主禱告說
[00:01:18.740 --> 00:01:21.340]  主啊 下個禮拜這裡所有的座位都坐滿
[00:01:21.340 --> 00:01:22.800]  還有人站著
[00:01:22.800 --> 00:01:24.200]  這是不是一個神蹟呢
[00:01:24.200 --> 00:01:26.380]  可能也是
[00:01:26.380 --> 00:01:32.280]  好像我們每個人對神蹟都有一個期待
[00:01:32.280 --> 00:01:34.560]  但是神蹟這個字很特別
[00:01:34.560 --> 00:01:36.820]  在聖經裡面這個字
[00:01:36.820 --> 00:01:39.980]  不是像我們的什麼miracle這個字
[00:01:39.980 --> 00:01:42.940]  英文不是用這個miracle這個字
[00:01:42.940 --> 00:01:47.380]  也不是像我們所說的好像一個魔術一樣
[00:01:47.380 --> 00:01:49.380]  神蹟這個字在約翰福音裡面
[00:01:49.380 --> 00:01:52.300]  特別提到耶穌行的許多的神蹟
[00:01:52.300 --> 00:01:56.420]  所以那裡用的一個字是一個記號
[00:01:56.420 --> 00:01:57.860]  換句話說 親兄姐妹
[00:01:57.860 --> 00:01:59.780]  神蹟是什麼
[00:01:59.780 --> 00:02:02.100]  神蹟不一定是那個現象
[00:02:02.100 --> 00:02:05.660]  不一定是我們看到一種好像超自然的現象
[00:02:05.660 --> 00:02:08.020]  當然超自然的現象一定是神蹟
[00:02:08.020 --> 00:02:09.580]  但是不要忘記喔
[00:02:09.580 --> 00:02:12.620]  撒旦魔鬼也會行神蹟 對不對
[00:02:12.620 --> 00:02:15.260]  但是這個神蹟的那個sign
[00:02:15.260 --> 00:02:18.580]  在英文裡面叫sign這個字是一個記號
[00:02:18.580 --> 00:02:21.060]  所以基督徒有的時候我們在信仰裡面
[00:02:21.060 --> 00:02:23.260]  我們要有一個平衡
[00:02:23.260 --> 00:02:24.860]  一方面有的基督徒說
[00:02:24.860 --> 00:02:28.540]  今天沒有神蹟了 今天已經二十一世紀了
[00:02:28.540 --> 00:02:30.820]  我們都是非常理性的
[00:02:30.820 --> 00:02:35.340]  我們講神蹟都是迷信
[00:02:35.340 --> 00:02:38.820]  但是神蹟如果是上帝的作為
[00:02:38.820 --> 00:02:40.940]  是上帝的一個記號的話
[00:02:40.940 --> 00:02:44.740]  所以你有想過神行神蹟怎麼樣
[00:02:44.740 --> 00:02:47.260]  是很自然不過的事情 對不對
[00:02:47.260 --> 00:02:48.740]  可能我們有經驗
[00:02:48.740 --> 00:02:50.300]  可能我們沒有經驗
[00:02:50.300 --> 00:02:52.140]  只是如此而已
[00:02:52.140 --> 00:02:55.100]  那今天我們來看這一段經文的時候
[00:02:55.100 --> 00:03:00.260]  我要先跟各位分享的不是這個神蹟的本身
[00:03:00.260 --> 00:03:03.420]  而是它的一個上文下理
[00:03:03.420 --> 00:03:05.740]  耶穌為什麼要行這個神蹟
