
[00:00:00.000 --> 00:00:04.880]  在開始之前,不知道大家剛才有沒有拜一個早年啊,同隔壁
[00:00:04.880 --> 00:00:06.560]  有啊,是吧?OK
[00:00:06.560 --> 00:00:10.960]  那我就很想,我們再拜多一次
[00:00:10.960 --> 00:00:14.560]  這次你只說一句話而已,一句話而已,OK?
[00:00:14.560 --> 00:00:17.760]  開始,請你同隔壁那個說一句祝福他的說話
[00:00:25.600 --> 00:00:30.480]  我想問一下,我們當中有沒有人祝隔壁那個四代同堂啊?
[00:00:30.480 --> 00:00:34.960]  我們似乎現在不是很流行說這句話,OK?
[00:00:34.960 --> 00:00:38.240]  今天,貝哥的金句是很應節的
[00:00:38.240 --> 00:00:40.160]  為什麼這麼說呢?這個金句呢
[00:00:40.160 --> 00:00:44.480]  首先很容易記那個經節,是出自提摩泰後書二章二節
[00:00:44.480 --> 00:00:48.000]  提摩泰後書就是2nd Timothy,OK?
[00:00:48.000 --> 00:00:50.640]  所以就是222,是不是很容易記啊?那個經節
[00:00:50.640 --> 00:00:53.920]  第二,為什麼說很應節?這節經文很厲害
[00:00:53.920 --> 00:00:58.400]  因為他一節經裡面就說了四代人,很應節的
[00:00:58.400 --> 00:01:02.560]  所以你過年的時候就不用跟他說四代同堂
[00:01:02.560 --> 00:01:05.600]  你過年的時候見到弟兄姊妹就背這節經文給他聽
[00:01:05.600 --> 00:01:08.000]  這樣你就在祝福他四代同堂
[00:01:08.000 --> 00:01:10.880]  你說天木,我也不是很想生啊,OK?
[00:01:10.880 --> 00:01:13.440]  我們可以是屬靈上的世代同堂
[00:01:13.440 --> 00:01:16.960]  提摩泰後書就是保羅寫給提摩泰的
[00:01:16.960 --> 00:01:20.320]  他說了有四代的人,其實出現了五種人
[00:01:20.320 --> 00:01:22.640]  OK,一節經文有四代五種人
[00:01:22.640 --> 00:01:25.680]  那我就想你找一下,待會我讀這節經文的時候
[00:01:25.680 --> 00:01:31.600]  你就找一下,究竟這四代人是哪四代人呢?
[00:01:31.600 --> 00:01:35.680]  第一個"你",知道這個"你"是指誰嗎?
[00:01:35.680 --> 00:01:38.800]  保羅寫給提摩泰,那麼這個"你"是指誰呢?
[00:01:38.800 --> 00:01:40.480]  提摩泰吧,是不是?
[00:01:40.480 --> 00:01:44.800]  你在許多見證人面前,聽見我所教訓的
[00:01:44.800 --> 00:01:49.920]  也要交託那忠心能教導別人的人
[00:01:49.920 --> 00:01:52.480]  你找到那四代人了嗎?
[00:01:52.480 --> 00:01:55.520]  找到了嗎?還有第五種人
[00:01:55.520 --> 00:01:57.440]  第一代是誰呢?
[00:01:57.440 --> 00:02:00.480]  保羅,第一句裡面的"我",OK?
[00:02:00.480 --> 00:02:02.080]  第二代是誰呢?
[00:02:02.080 --> 00:02:03.360]  提摩泰,對了
[00:02:03.360 --> 00:02:04.560]  保羅同堂是甚麼意思呢?
[00:02:04.560 --> 00:02:07.440]  那麼多見證人,第五種人就是那些見證人
[00:02:07.440 --> 00:02:10.720]  在那麼多見證人面前,聽了我所教訓的
[00:02:10.720 --> 00:02:12.960]  那你要怎樣呢?你要把那些東西交託
[00:02:12.960 --> 00:02:16.640]  交託給第三代人,第三代是甚麼人呢?
[00:02:16.640 --> 00:02:20.000]  那忠心能教導別人的人
[00:02:20.000 --> 00:02:22.560]  即是那個人要怎樣呢?要教導別人的
[00:02:22.560 --> 00:02:24.400]  他要忠心教導別人的
[00:02:24.400 --> 00:02:26.400]  那個被教導的就是第四代
[00:02:26.400 --> 00:02:27.760]  找到這四代人了嗎?
[00:02:27.760 --> 00:02:29.680]  所以《伊節經文》很厲害
[00:02:29.680 --> 00:02:31.280]  《伊節經文》裡面有四代人
[00:02:31.280 --> 00:02:34.400]  而且是一個很重要的提醒
[00:02:34.400 --> 00:02:36.480]  甚至是一個命令,也是一個祝福
[00:02:36.480 --> 00:02:42.160]  我們讀一次,就試試記下它,背了它,好嗎?
[00:02:42.160 --> 00:02:43.680]  第一個是甚麼字呢?
[00:02:43.680 --> 00:02:50.640]  你在許多見證人面前,聽見我所教訓的
[00:02:50.640 --> 00:02:56.480]  要交託那忠心能教導別人的人
[00:02:56.480 --> 00:03:00.560]  提摩泰後書而將而至
[00:03:00.560 --> 00:03:02.240]  同福的弟兄姊妹是很好的
[00:03:02.240 --> 00:03:04.240]  我見你們很用心去讀
[00:03:04.240 --> 00:03:06.880]  那麼我們讀一次就背了,好嗎?
[00:03:06.880 --> 00:03:08.960]  可以的,依次鼓勵你
[00:03:08.960 --> 00:03:11.600]  我們要操練一件事,就是操練信心
[00:03:11.600 --> 00:03:13.840]  就是憑信心,不憑眼見,好嗎?
[00:03:13.840 --> 00:03:15.600]  你不用看著來讀
[00:03:15.600 --> 00:03:17.520]  你不是很記得,你先看一看它
[00:03:17.520 --> 00:03:19.520]  預備,一二三
[00:03:19.520 --> 00:03:26.000]  你在許多見證人面前,聽了我所教訓的
[00:03:26.000 --> 00:03:31.600]  也要交託那忠心能教導別人的人
[00:03:31.600 --> 00:03:35.600]  提摩泰後書而將而至
[00:03:35.600 --> 00:03:37.600]  好,認真了,OK
[00:03:37.600 --> 00:03:42.480]  預備,一二三,我有得看的
[00:03:42.480 --> 00:03:44.000]  一二三
[00:03:44.000 --> 00:03:51.440]  你在許多見證人面前,聽了我所教訓的
[00:03:51.440 --> 00:03:57.360]  也要交託那忠心能教導別人的人
[00:03:57.360 --> 00:04:00.880]  提摩泰後書而將而至
[00:04:00.880 --> 00:04:03.600]  真的,每次我跟同福堂的弟兄姊妹背聖經
[00:04:03.600 --> 00:04:05.280]  我的心是很感動的
[00:04:05.280 --> 00:04:07.760]  真的很乖,很聽話,又背得很好
[00:04:07.760 --> 00:04:09.760]  不如給你旁邊的掌聲
[00:04:09.760 --> 00:04:11.760]  你說你背得很好,好嗎?
[00:04:11.760 --> 00:04:12.960]  (掌聲)
[00:04:12.960 --> 00:04:15.440]  再說一句,你說你以後都要繼續背下去
[00:04:15.440 --> 00:04:18.000]  (笑聲)
[00:04:18.000 --> 00:04:22.400]  一天,你聽我講道理也跑不掉背聖經
[00:04:22.400 --> 00:04:25.200]  從這代到那代,代代相傳
[00:04:25.200 --> 00:04:28.960]  我想起我在訪學時的領受和觀察
[00:04:28.960 --> 00:04:30.560]  我覺得並非偶然
[00:04:30.560 --> 00:04:32.960]  原因大概在那個時間
[00:04:32.960 --> 00:04:35.840]  香港有一個基督教機構,簡稱為教新
[00:04:35.840 --> 00:04:38.560]  它出了一個對香港教會的調查
[00:04:38.560 --> 00:04:40.480]  就是2009年到2014年的時候
[00:04:40.480 --> 00:04:43.360]  香港教會情況的一個報告
[00:04:43.360 --> 00:04:44.400]  它大概說什麼呢?
[00:04:44.400 --> 00:04:47.760]  整體上,香港教會翻崇拜的人多了一點
[00:04:47.760 --> 00:04:50.320]  OK,信耶穌的人也多了一點
[00:04:50.320 --> 00:04:52.400]  不過同時,它又說什麼呢?
[00:04:52.400 --> 00:04:54.880]  在教會裡面,有一代的人
[00:04:54.880 --> 00:04:57.840]  是降職了,而且跌得很厲害
[00:04:57.840 --> 00:05:00.880]  是說一半人,超過50%的人
[00:05:00.880 --> 00:05:03.200]  不再回教會
[00:05:03.200 --> 00:05:06.160]  你知不知道那一代和那一批是什麼人?
[00:05:06.160 --> 00:05:09.040]  就是那些年輕人
[00:05:09.040 --> 00:05:12.560]  正在讀大學或大學,出來工作
[00:05:12.560 --> 00:05:16.800]  這不僅是香港教會下一代的情況
[00:05:16.800 --> 00:05:19.840]  也是同福堂正在面對的挑戰
[00:05:19.840 --> 00:05:23.440]  同樣面對同樣的情況
[00:05:23.440 --> 00:05:27.280]  或者近來,大家也會聽到長老或何牧師說
[00:05:27.280 --> 00:05:31.040]  他說我們要承傳同福的DNA
[00:05:31.040 --> 00:05:32.400]  有沒有這樣聽過?
[00:05:32.400 --> 00:05:33.920]  有聽過的舉手來看
[00:05:33.920 --> 00:05:36.160]  在祈禱會或崇拜裡面
[00:05:36.160 --> 00:05:38.080]  何牧師有一次也說
[00:05:38.080 --> 00:05:40.640]  耶穌懂得承傳
[00:05:40.640 --> 00:05:43.200]  1月的第三個禮拜的那篇講述
[00:05:43.200 --> 00:05:44.800]  在這些情況下,我就會想
[00:05:44.800 --> 00:05:48.160]  究竟我們要承傳什麼給下一代呢?
[00:05:48.160 --> 00:05:50.000]  說同福的DNA的時候
[00:05:50.000 --> 00:05:53.760]  是不是說我們每年都在維園做年宵
[00:05:53.760 --> 00:05:55.520]  或者我們要有紙的崇拜
[00:05:55.520 --> 00:05:58.240]  我們要愛宴、嘉年華會
[00:05:58.240 --> 00:06:02.960]  這些就是我們的DNA呢?
[00:06:02.960 --> 00:06:05.760]  近一兩年,我不知道大家有沒有留意
[00:06:05.760 --> 00:06:07.440]  浙江省的教會
[00:06:07.440 --> 00:06:09.360]  知道發生什麼事嗎?
[00:06:09.360 --> 00:06:10.560]  拆十字架,是吧?
[00:06:10.560 --> 00:06:13.760]  我們很多人都有留意
[00:06:13.760 --> 00:06:15.680]  是說過千的教堂
