
[00:00:00.000 --> 00:00:02.800]  今天我會繼續討論
[00:00:02.800 --> 00:00:04.800]  與教會有關的題目
[00:00:04.800 --> 00:00:09.160]  上個主日我討論了
[00:00:09.160 --> 00:00:13.200]  教會合一與合作的關係
[00:00:13.200 --> 00:00:16.400]  合一的目的是
[00:00:16.400 --> 00:00:21.720]  叫世人從信徒身上看到神的愛
[00:00:21.720 --> 00:00:23.720]  以此去榮耀神
[00:00:23.720 --> 00:00:27.080]  世人如何可以看到神的愛呢?
[00:00:27.740 --> 00:00:30.760]  就是從信徒之間彼此相愛
[00:00:30.760 --> 00:00:35.020]  從而看到神的愛
[00:00:35.020 --> 00:00:42.060]  我在上一次的講道里
[00:00:42.060 --> 00:00:44.960]  我也強調我們要分辨清楚
[00:00:44.960 --> 00:00:47.680]  合一與合作的意義
[00:00:47.680 --> 00:00:51.360]  我們不要將這兩種概念混淆
[00:00:51.360 --> 00:00:55.280]  很多時候我們會
[00:00:55.280 --> 00:00:58.380]  因爲教會里面
[00:00:58.380 --> 00:01:01.700]  因爲意見未必是一致的時候
[00:01:01.700 --> 00:01:03.700]  我們不能夠合作
[00:01:03.700 --> 00:01:07.820]  這樣的時候我們不要立刻去
[00:01:07.820 --> 00:01:11.420]  扣帽子說別人不合一
[00:01:11.420 --> 00:01:13.420]  意見不一致
[00:01:13.420 --> 00:01:15.880]  不是直接影響合一
[00:01:15.880 --> 00:01:18.380]  是直接影響合作
[00:01:18.380 --> 00:01:23.420]  我也強調只要不是有對抗式
[00:01:23.420 --> 00:01:28.380]  或是忌恨的心來不合作
[00:01:28.380 --> 00:01:31.060]  不合作的意思是暫時不是一個團隊
[00:01:31.060 --> 00:01:33.060]  我們有自己的事情要做
[00:01:33.060 --> 00:01:37.460]  這樣的不能夠合作
[00:01:37.460 --> 00:01:43.660]  是不需要太過恐懼或者去指責
[00:01:43.660 --> 00:01:45.660]  需要忍耐討告
[00:01:45.660 --> 00:01:48.180]  在適當的時候我們可以再合作
[00:01:48.180 --> 00:01:53.180]  我這樣講的時候大家不要誤會
[00:01:53.180 --> 00:01:56.060]  不要以爲我說以後不用合作了
[00:01:56.060 --> 00:01:57.340]  合作不重要了
[00:01:57.340 --> 00:01:58.900]  不是的,不要誤會
[00:01:58.900 --> 00:02:01.740]  合作是非常重要的
[00:02:01.740 --> 00:02:10.220]  因爲在合作裏面我們才能夠體驗到合一
[00:02:10.220 --> 00:02:12.980]  合作裏面會體驗到合一
[00:02:12.980 --> 00:02:15.780]  也會體驗到彼此相愛
[00:02:15.780 --> 00:02:21.580]  合作裏面可以推動合一
[00:02:23.500 --> 00:02:25.500]  所以這是非常重要的
[00:02:25.500 --> 00:02:32.780]  因爲在合作裏面我們需要付出很多
[00:02:32.780 --> 00:02:35.940]  在合作裏面我們要彼此尊重
[00:02:35.940 --> 00:02:37.940]  要彼此寬容忍耐
[00:02:37.940 --> 00:02:40.620]  要彼此恩慈對待
[00:02:40.620 --> 00:02:44.140]  我們要彼此溫柔謙卑
[00:02:44.140 --> 00:02:48.780]  我們彼此要各人看別人比自己強
[00:02:49.780 --> 00:02:53.980]  所有這些彼此這樣做的時候
[00:02:53.980 --> 00:02:58.300]  這些行爲其實就是表達彼此相愛
[00:02:58.300 --> 00:03:03.180]  當我們彼此相愛的時候
[00:03:03.180 --> 00:03:06.620]  我們就在愛中彼此輔助成長
[00:03:06.620 --> 00:03:12.260]  在認識耶穌基督和在真道上成長
[00:03:12.260 --> 00:03:15.260]  在那裏是合一
[00:03:15.260 --> 00:03:17.260]  滿有基督的新娘
[00:03:17.260 --> 00:03:20.260]  一起成爲成熟的信徒
[00:03:20.260 --> 00:03:22.260]  這就是榮耀神
[00:03:22.260 --> 00:03:27.260]  這也是符合聖經所講真正合一的意義
[00:03:27.260 --> 00:03:31.260]  這是上個禮拜講的
[00:03:31.260 --> 00:03:35.260]  今天我就要講
[00:03:35.260 --> 00:03:37.260]  從合一
[00:03:37.260 --> 00:03:38.260]  不是
[00:03:38.260 --> 00:03:42.260]  是從合作裏面所引申出來的問題
[00:03:42.260 --> 00:03:44.260]  就是信徒在教會里面
[00:03:44.260 --> 00:03:49.260]  應該如何去回應合作
[00:03:49.260 --> 00:03:52.260]  教會里面有什麼
[00:03:52.260 --> 00:03:54.260]  我們在教會里面有什麼責任
[00:03:54.260 --> 00:04:00.260]  我講的是在侍奉裏面的責任
[00:04:00.260 --> 00:04:04.260]  在侍奉裏面我們會體驗到合作
[00:04:04.260 --> 00:04:08.260]  在合作裏面體驗到彼此相愛
[00:04:08.260 --> 00:04:10.260]  這個我剛纔也講了
[00:04:10.260 --> 00:04:13.260]  所以我們必須要侍奉
[00:04:15.260 --> 00:04:17.260]  一方面是主的吩咐
[00:04:17.260 --> 00:04:19.260]  是主的心意
[00:04:19.260 --> 00:04:21.260]  另外
[00:04:21.260 --> 00:04:26.260]  這也是我們信徒成長的一個極之重要的途徑
[00:04:26.260 --> 00:04:30.260]  除了我們有責任之外
