
[00:00:00.000 --> 00:00:05.880]  讀兩節聖經,我們在《死渡行傳》第十六章第九到第十節
[00:00:05.880 --> 00:00:08.480]  這裏說,在夜間有異象陷於保羅
[00:00:08.480 --> 00:00:10.840]  有一個馬其頓人站着求他說
[00:00:10.840 --> 00:00:14.280]  請你過到馬其頓來幫助我們
[00:00:14.280 --> 00:00:15.880]  保羅既看見這異象
[00:00:15.880 --> 00:00:18.480]  我們隨即想要往馬其頓去
[00:00:18.480 --> 00:00:22.200]  以爲神召我們傳福音給那裏的人聽
[00:00:22.200 --> 00:00:25.000]  我們就讀到這裏
[00:00:25.000 --> 00:00:30.600]  1996年10月,也就是25年前的今天
[00:00:30.600 --> 00:00:34.560]  是我們教會第一次舉辦宣教月
[00:00:34.560 --> 00:00:38.720]  換句話說,我們教會整個宣教職堂的事工
[00:00:38.720 --> 00:00:41.720]  已經有25年的歷史
[00:00:41.720 --> 00:00:45.200]  回想這25年來,我們真的要說
[00:00:45.200 --> 00:00:50.800]  神帶領我們真的走上一條向來沒走過的道路
[00:00:50.800 --> 00:00:53.840]  不但是我們教會所未曾走過的道路
[00:00:53.840 --> 00:00:59.120]  甚至也是一條華人教會向來沒走過的道路
[00:00:59.120 --> 00:01:05.520]  今天當你回頭來看我們這25年來所做宣教的工作
[00:01:05.520 --> 00:01:09.760]  可能你會覺得說好像只是這裏一點
[00:01:09.760 --> 00:01:14.040]  那裏一點,看不出什麼,所以來
[00:01:14.040 --> 00:01:15.960]  但是當我們把這些點
[00:01:15.960 --> 00:01:18.400]  一個一個點連接在一起
[00:01:18.400 --> 00:01:21.240]  畫成一條線的時候
[00:01:21.240 --> 00:01:24.560]  不但是沿着時間的線來看
[00:01:24.560 --> 00:01:27.800]  也是從地理位置的線來看
[00:01:27.800 --> 00:01:32.360]  我們就發現其實神的手在我們教會的宣教事工上
[00:01:32.360 --> 00:01:35.720]  早已經有一個命定的心意
[00:01:35.720 --> 00:01:38.960]  而且神的手早已經把我們佈局
[00:01:38.960 --> 00:01:43.360]  在未來宣教重要的關鍵點上
[00:01:43.360 --> 00:01:46.160]  這就好像當年的保羅一樣
[00:01:46.160 --> 00:01:50.080]  當年他想網要小雅西亞去傳福音
[00:01:50.080 --> 00:01:51.960]  神的靈不許
[00:01:51.960 --> 00:01:54.120]  後來他想網匹推尼傳福音
[00:01:54.120 --> 00:01:56.520]  神的靈又不許
[00:01:56.520 --> 00:01:59.000]  爲什麼不許呢?
[00:01:59.000 --> 00:02:03.280]  最主要原因就是因爲神在保羅的宣教事工上
[00:02:03.280 --> 00:02:06.200]  是有個命定的心意的
[00:02:06.200 --> 00:02:12.400]  而神的手也正在替保羅的宣教事工來佈局
[00:02:12.400 --> 00:02:14.880]  所以使律師團第16章第9節
[00:02:14.880 --> 00:02:19.520]  神才讓保羅看見一個馬其頓人的異象
[00:02:19.520 --> 00:02:21.440]  然後第10節你看見了
[00:02:21.440 --> 00:02:25.320]  保羅看見這個異象隨即就往馬其頓去
[00:02:25.320 --> 00:02:28.600]  他就開始把福音往西傳
[00:02:28.600 --> 00:02:31.160]  一直傳到歐洲去
[00:02:31.160 --> 00:02:36.000]  而這個異象也決定了未來兩千年
[00:02:36.000 --> 00:02:40.160]  整個福音不斷向西傳揚的路線
[00:02:40.160 --> 00:02:44.480]  所以我們看見在保羅一生的宣教事工的背後
[00:02:44.480 --> 00:02:51.840]  神纔是那位在幕後真正的策劃推動者
[00:02:51.840 --> 00:02:57.640]  神在保羅的生命當中是有命定跟佈局的
[00:02:57.640 --> 00:02:58.920]  同樣
[00:02:58.920 --> 00:03:02.480]  今天當我們回頭來看生命和的宣教事工
[00:03:02.480 --> 00:03:06.200]  我們也看見神在生命和的宣教事工上
[00:03:06.200 --> 00:03:09.800]  也是有命定跟佈局的
[00:03:09.800 --> 00:03:14.880]  所以今天早上我們從三方面來看神的命定跟佈局
[00:03:14.880 --> 00:03:17.600]  首先第一個神的命定
[00:03:17.600 --> 00:03:21.200]  跟你們說這是神的命定
[00:03:21.200 --> 00:03:25.440]  當我們回頭看這25年來教會宣教的歷史
[00:03:25.440 --> 00:03:27.040]  我們真的要說
[00:03:27.040 --> 00:03:30.520]  走進萬國萬民的宣教
[00:03:30.520 --> 00:03:34.320]  是神給生命和的命定
[00:03:34.320 --> 00:03:39.040]  所謂命定跟我們中國人所講的命運是不同
[00:03:39.040 --> 00:03:43.520]  命運是一個人不可知無法掌握的未來
[00:03:43.520 --> 00:03:45.480]  但命定不是
[00:03:45.480 --> 00:03:48.680]  命定是神很清楚的心意
[00:03:48.680 --> 00:03:52.440]  而這個心意也是需要人來回應的
[00:03:52.440 --> 00:03:54.640]  當我們明白神的命定
[00:03:54.640 --> 00:03:58.440]  順從神的呼召向前走的時候
[00:03:58.440 --> 00:04:04.440]  這個神命定的心意就要帶領我們進入到神應許的恩典當中
[00:04:04.440 --> 00:04:05.520]  Amen
[00:04:05.520 --> 00:04:07.080]  所以從三方面我們要來看
[00:04:07.080 --> 00:04:11.720]  爲什麼我說走向萬國萬民的宣教
[00:04:11.720 --> 00:04:15.160]  是神給生命和的命定
[00:04:15.160 --> 00:04:18.840]  第一個我們來看這是神命定的心意
[00:04:18.840 --> 00:04:20.280]  就在1994年
[00:04:20.280 --> 00:04:23.840]  當我跟師母正在爲生命和這個教會
[00:04:23.840 --> 00:04:28.160]  我們在神面前禱告尋求的時候
[00:04:28.160 --> 00:04:30.360]  我們兩個人一起到南加州
[00:04:30.360 --> 00:04:34.480]  去參加一個國度與帶導者的聚會
[00:04:34.480 --> 00:04:37.360]  在那次特會當中我第一次聽見
[00:04:37.360 --> 00:04:40.240]  蒂克伊斯曼牧師的講道
[00:04:40.240 --> 00:04:43.680]  他的信息真的開廣我的心胸
[00:04:43.680 --> 00:04:47.320]  讓我明白神的國度是遠遠大過於
[00:04:47.320 --> 00:04:50.120]  我們牧師所關心的一個堂會
[00:04:50.120 --> 00:04:54.560]  在那個時候我最關心的就是一個教會怎麼開始一個堂會
[00:04:54.560 --> 00:04:56.680]  神忽然間打開我的眼睛
[00:04:56.680 --> 00:05:03.760]  看見神的國度是比我想那個小小的教會更廣大的
[00:05:03.760 --> 00:05:07.240]  所以主耶穌纔在主導文裏面教導我們
[00:05:07.240 --> 00:05:10.080]  說我們要先求神的國降臨
[00:05:10.080 --> 00:05:13.200]  神的旨意成全
[00:05:13.200 --> 00:05:14.240]  在那個特會當中
[00:05:14.240 --> 00:05:18.720]  神也讓我第一次聽見蒂克伊斯曼牧師的信息
[00:05:18.720 --> 00:05:22.840]  他的信息讓我真的明白屬靈征戰的重要性
[00:05:22.840 --> 00:05:27.640]  禱告是能夠讓我們從神內達到全並
[00:05:27.640 --> 00:05:30.800]  打開傳福音的大門
[00:05:30.800 --> 00:05:34.160]  而在那次特會當中我也第一次聽到
