
[00:00:00.000 --> 00:00:06.000]  各位電視節目的朋友們,早安,很高興有這個機會能夠分享訊息
[00:00:06.000 --> 00:00:10.000]  按照慣例,按照這七年的設計
[00:00:10.000 --> 00:00:17.000]  第三週今年的講台是聖靈恩賜恩高還有恩寵
[00:00:17.000 --> 00:00:20.000]  十多年前我是金星會的傳道人
[00:00:20.000 --> 00:00:25.000]  我記得我那時候主任牧師最擺在口上一句話就是說
[00:00:25.000 --> 00:00:29.000]  神愛詩人,甚至將他的獨生子賜給他們
[00:00:29.000 --> 00:00:32.000]  做一切信他的,不致滅亡,反得永生
[00:00:32.000 --> 00:00:35.000]  約翰福音三章十六節,很棒,不是嗎?
[00:00:35.000 --> 00:00:39.000]  後來我成為靈良堂的牧師
[00:00:39.000 --> 00:00:43.000]  我們最喜歡的,常常朗朗上口的就是
[00:00:43.000 --> 00:00:46.000]  主的靈在我身上,祂用高高我
[00:00:46.000 --> 00:00:49.000]  叫我傳福音給貧窮人,才叫我報告
[00:00:49.000 --> 00:00:54.000]  瞎眼的看見被奴的得失方,報告神約納人的喜言
[00:00:54.000 --> 00:00:57.000]  也很棒,感謝神,讚美神
[00:00:57.000 --> 00:01:00.000]  我記得我過去這幾個月,第三個禮拜
[00:01:00.000 --> 00:01:03.000]  我都講聖靈恩賜恩高的信息
[00:01:03.000 --> 00:01:06.000]  特別講說我們是靈良堂
[00:01:06.000 --> 00:01:10.000]  我們沒有了良,良就是壞,就是靈堂了
[00:01:10.000 --> 00:01:14.000]  如果我們沒有了靈,所以我們是靈良堂
[00:01:14.000 --> 00:01:19.000]  感謝神,又有靈又有良,哈雷路亞,讚美神
[00:01:19.000 --> 00:01:27.000]  約納人的喜言,今年就是喜言,是雙重的喜言,是Double Blessing的喜言
[00:01:27.000 --> 00:01:31.000]  喜言就是說受主要破除,祝福要臨到
[00:01:31.000 --> 00:01:37.000]  債務要解除,病痛得以解脫,奴婦要得到釋放,等等
[00:01:37.000 --> 00:01:40.000]  感謝神,讚美神,哈雷路亞
[00:01:40.000 --> 00:01:46.000]  所以對世界來說,或許這是一個雙倍的苦難的世界
[00:01:46.000 --> 00:01:52.000]  但是對我們基督徒來說,我們會得到雙倍的祝福
[00:01:52.000 --> 00:01:57.000]  是的,我在這幾個月,這幾乎一年來
[00:01:57.000 --> 00:02:04.000]  我都一直在第三個禮拜釋放聖靈恩賜恩高的信息
[00:02:04.000 --> 00:02:11.000]  我第一次講的是說,彼得跟約翰在門口為一個伸來瘸腿的人禱告
[00:02:11.000 --> 00:02:17.000]  結果這個人快速就強健起來,就起來走路,又蹦又跳,為什麼?
[00:02:17.000 --> 00:02:21.000]  為什麼人拿彼得的手經都可以醫治?
[00:02:21.000 --> 00:02:26.000]  甚至於他們的影子都可以叫人病得醫治?
[00:02:26.000 --> 00:02:30.000]  因為實價流出醫治的恩高
[00:02:30.000 --> 00:02:36.000]  因為在他們身上帶有基督的死,帶有基督的復活
[00:02:36.000 --> 00:02:41.000]  其實是我們一直要向神來求求求,祢讓我能夠為人禱告,人就病得醫治
[00:02:41.000 --> 00:02:44.000]  死人就復活,怎麼求都沒有用
[00:02:44.000 --> 00:02:47.000]  你聖經再讀再多,都沒有用
[00:02:47.000 --> 00:02:51.000]  如果你沒有帶著實價的恩高
[00:02:51.000 --> 00:02:55.000]  因為只有從實價流出,那才有果效
[00:02:55.000 --> 00:02:58.000]  所以讓我們來到神的面前
