
[00:00:00.000 --> 00:00:02.640]  祈禱初階今天會講
[00:00:02.640 --> 00:00:04.280]  今天我特別會分享到
[00:00:04.280 --> 00:00:06.600]  祈禱其實有很多範疇的
[00:00:06.600 --> 00:00:10.120]  有這個所謂Concert of Prayers
[00:00:10.120 --> 00:00:12.000]  即聯一起的禱告
[00:00:12.000 --> 00:00:13.920]  有心靈的禱告
[00:00:13.920 --> 00:00:15.760]  有一個增戰的禱告
[00:00:15.760 --> 00:00:17.320]  有敬拜的禱告
[00:00:17.320 --> 00:00:20.080]  其實講到祈禱可以講
[00:00:20.080 --> 00:00:22.160]  在一個神學院裏面
[00:00:22.160 --> 00:00:23.200]  幾個學期
[00:00:23.200 --> 00:00:28.280]  或者甚至一個學位去讀關於祈禱的
[00:00:28.280 --> 00:00:31.160]  所以今天沒可能在25分鐘裏面
[00:00:31.160 --> 00:00:32.680]  講完關於祈禱的東西
[00:00:32.680 --> 00:00:34.920]  但是今天我希望跟大家講
[00:00:34.920 --> 00:00:36.000]  特別針對一樣東西
[00:00:36.000 --> 00:00:37.800]  就是一個祈禱的初階
[00:00:37.800 --> 00:00:43.760]  一個最基本上關於祈禱的
[00:00:43.760 --> 00:00:45.960]  互亂反正是耶穌基督
[00:00:45.960 --> 00:00:48.720]  我們看看耶穌在講的
[00:00:48.720 --> 00:00:52.360]  這一段的馬太福音的經文
[00:00:52.360 --> 00:00:54.600]  耶穌在登山寶法裏面
[00:00:54.600 --> 00:00:56.960]  這樣教導我們去禱告
[00:00:56.960 --> 00:00:59.640]  你們禱告的時候不可像那假冒為善的人
[00:00:59.640 --> 00:01:01.520]  愛站在會堂裏
[00:01:01.520 --> 00:01:03.440]  和十字路口禱告
[00:01:03.440 --> 00:01:04.840]  故意讓人看見
[00:01:04.840 --> 00:01:06.160]  我實在告訴你們
[00:01:06.160 --> 00:01:08.800]  他們已經得了他們的賞賜
[00:01:08.800 --> 00:01:11.840]  你禱告的時候要進入內室關上門
[00:01:11.840 --> 00:01:14.760]  向那隱蔽中的父祷告
[00:01:14.760 --> 00:01:20.560]  你父在隱蔽中察看必將賞賜來
[00:01:20.560 --> 00:01:22.560]  你們禱告不可像外邦人
[00:01:22.560 --> 00:01:25.040]  那樣重複一些空話
[00:01:25.040 --> 00:01:27.680]  他們以為話多了就必蒙誰聽
