
[00:00:00.000 --> 00:00:04.800]  六個月前我來這裡講過宇宙探索的上集
[00:00:04.800 --> 00:00:09.800]  講到用科學家愛因斯坦所給我們的工具
[00:00:09.800 --> 00:00:14.200]  1905年愛因斯坦寫的第一篇
[00:00:14.200 --> 00:00:16.700]  《合二的相對論》的時候
[00:00:16.700 --> 00:00:18.500]  他著重光速
[00:00:18.500 --> 00:00:20.600]  著重時間是第四個空間
[00:00:20.600 --> 00:00:25.000]  他著重能量和物質可以兌換
[00:00:25.000 --> 00:00:26.900]  為什麼他這麼有興趣光呢
[00:00:26.900 --> 00:00:29.700]  其實一個人小時候喜歡什麼
[00:00:29.700 --> 00:00:31.900]  所謂三歲定八十
[00:00:31.900 --> 00:00:35.100]  他晚上開始打開電筒
[00:00:35.100 --> 00:00:37.800]  有一天如果我能夠坐在電筒之光
[00:00:37.800 --> 00:00:38.800]  這樣去到那裡
[00:00:38.800 --> 00:00:40.600]  肯定很快
[00:00:40.600 --> 00:00:41.800]  他找到
[00:00:41.800 --> 00:00:45.000]  他知道證明了
[00:00:45.000 --> 00:00:48.600]  光的速度是每秒鐘十八萬六千里
[00:00:48.600 --> 00:00:52.300]  即是圍繞地球的尺度七個半圈
[00:00:52.300 --> 00:00:54.800]  每秒
[00:00:54.800 --> 00:00:57.600]  他寫相對論的時候是用德文寫的
[00:00:57.600 --> 00:00:59.800]  全部都是德文
[00:00:59.800 --> 00:01:02.000]  他在瑞士那裡寫
[00:01:02.000 --> 00:01:03.600]  在歐洲出版了之後
[00:01:03.600 --> 00:01:05.000]  很多科學家就問了
[00:01:05.000 --> 00:01:06.800]  Who is this?
[00:01:06.800 --> 00:01:07.900]  Who is he?
[00:01:07.900 --> 00:01:09.700]  What is this?
[00:01:09.700 --> 00:01:12.000]  沒有人明白他寫什麼
[00:01:12.000 --> 00:01:13.400]  但是有一個科學家
[00:01:13.400 --> 00:01:15.400]  是當時的尖端科學家
[00:01:15.400 --> 00:01:17.300]  叫做Max Planck
[00:01:17.300 --> 00:01:19.500]  就是Planck Constant的那個科學家
[00:01:19.500 --> 00:01:23.300]  當時最出名的Theoretical Physicist
[00:01:23.300 --> 00:01:26.100]  哇 這一篇好東西
