
[00:00:00.000 --> 00:00:05.680]  上星期三,我們深水埗區一班童工有祈禱會
[00:00:05.680 --> 00:00:08.040]  通常在祈禱之前
[00:00:08.040 --> 00:00:10.080]  我們都會問一下對方
[00:00:10.080 --> 00:00:12.560]  這個禮拜有什麼感恩的事
[00:00:12.560 --> 00:00:14.680]  有個童工就說
[00:00:14.680 --> 00:00:18.200]  感恩啊,病了三天
[00:00:18.200 --> 00:00:21.700]  不過也吃了四劑藥
[00:00:21.700 --> 00:00:26.140]  不過也好,星期二、三、四病了
[00:00:26.140 --> 00:00:31.320]  就沒有影響到星期四、五、六、日的工作和服侍
[00:00:31.320 --> 00:00:33.080]  所以感恩
[00:00:33.080 --> 00:00:35.040]  另外有個童工就說
[00:00:35.040 --> 00:00:38.560]  他都病了,看到他的樣子都知道他病了
[00:00:38.560 --> 00:00:40.220]  那就不說什麼病了
[00:00:40.220 --> 00:00:43.080]  心裡面身體都很不舒服
[00:00:43.080 --> 00:00:44.360]  不過也感恩
[00:00:44.360 --> 00:00:48.700]  比之前發病沒那麼嚴重
[00:00:48.700 --> 00:00:51.580]  接著有個童工又分享
[00:00:51.580 --> 00:00:55.020]  見了一個人很沉重
[00:00:55.020 --> 00:00:56.680]  壓力很沉重
[00:00:56.680 --> 00:00:58.280]  不過也很感恩
[00:00:58.280 --> 00:01:01.820]  覺得和他的關係親密了
[00:01:01.820 --> 00:01:04.240]  不然他也不會說那麼多話給你聽
[00:01:04.240 --> 00:01:06.900]  另外一個就說
[00:01:06.900 --> 00:01:11.440]  前幾天被一個人氣壞了
[00:01:11.440 --> 00:01:16.600]  不過心裡面好像有一種氣量正在承載
[00:01:16.600 --> 00:01:20.100]  想想怎樣去化解
[00:01:20.100 --> 00:01:21.400]  也挺好的
[00:01:21.400 --> 00:01:23.400]  有一個童工就說
[00:01:23.400 --> 00:01:26.840]  哇,在服侍上跌了很久了
[00:01:26.840 --> 00:01:28.840]  不過上個星期起了一起
[00:01:28.840 --> 00:01:31.180]  因為看到一個人起了一起
[00:01:31.180 --> 00:01:33.600]  他也起了一起
[00:01:33.600 --> 00:01:36.600]  我們就一輪的感恩
