
[00:00:00.000 --> 00:00:02.880]  各位來賓 主內地的兄姊妹 早安
[00:00:02.880 --> 00:00:06.080]  感謝主 今天我再有一個機會
[00:00:06.080 --> 00:00:09.840]  來到大家當中來分享神的訊息
[00:00:09.840 --> 00:00:17.000]  最近我看到一份調查 一份財經的報告
[00:00:17.000 --> 00:00:23.560]  在Fox Magazine裏面刊登了一篇文章
[00:00:23.560 --> 00:00:27.100]  就說美國未來的十年
[00:00:27.100 --> 00:00:31.620]  戰後嬰兒朝這個世代會相繼退休
[00:00:31.620 --> 00:00:36.900]  將會將這些財產慢慢轉移到下一代
[00:00:36.900 --> 00:00:39.740]  這幫千禧世代的子女
[00:00:39.740 --> 00:00:43.420]  這個金額是非常龐大
[00:00:43.420 --> 00:00:47.900]  是68萬億美金的遺產
[00:00:47.900 --> 00:00:53.340]  就會從上一代傳到下一代
[00:00:53.340 --> 00:00:57.320]  其實我們在教會當中都看到有很多的
[00:00:57.320 --> 00:01:00.200]  幾代同堂的情況出現
[00:01:00.200 --> 00:01:01.880]  上個禮拜 上個主日之後
[00:01:01.880 --> 00:01:05.220]  我們在網上上主日刊
[00:01:05.220 --> 00:01:11.340]  看到的畫面 有年輕的一輩 有年長一點的一輩
[00:01:11.340 --> 00:01:15.860]  簡直是一個很開心的事情
[00:01:15.860 --> 00:01:19.420]  因為這個圖畫
[00:01:19.420 --> 00:01:25.760]  正是反映了我們真是教會從1949年
[00:01:25.760 --> 00:01:29.380]  開始校園查經班到現在
[00:01:29.380 --> 00:01:33.620]  我們當中的移民 華僑 留學生
[00:01:33.620 --> 00:01:36.400]  都經歷了各種的挑戰
[00:01:36.400 --> 00:01:42.000]  都領受了各種神的恩典在當中
[00:01:42.000 --> 00:01:46.220]  過去我們用了12個禮拜的時間
[00:01:46.220 --> 00:01:49.500]  記住12個禮拜的主日 去查考
[00:01:49.500 --> 00:01:53.520]  但爾利書當中神給我們的訊息
[00:01:53.520 --> 00:01:57.820]  但爾利在年輕的時候就被尼泊爾加利沙皇
[00:01:57.820 --> 00:02:01.160]  從耶路撒冷到巴比遜城裏面
[00:02:01.160 --> 00:02:04.020]  一住就住到71年
[00:02:04.020 --> 00:02:06.140]  這71年裏面
[00:02:06.140 --> 00:02:10.600]  他都見證了各樣的神的恩典
[00:02:10.600 --> 00:02:14.560]  我們在經文裏面看到他的見證
[00:02:14.560 --> 00:02:17.360]  又看到神給他的遺像
[00:02:17.360 --> 00:02:21.200]  今天我們就從第12章第5節
[00:02:21.200 --> 00:02:23.640]  看到最後的幾節 去到第13節
[00:02:23.640 --> 00:02:25.240]  這幾節的經文當中
[00:02:25.240 --> 00:02:27.580]  我們看一下一個功課
[00:02:27.580 --> 00:02:30.100]  我們人生走到盡頭的時候
[00:02:30.100 --> 00:02:34.020]  究竟是會怎樣?
[00:02:34.020 --> 00:02:37.340]  基督徒在地上的時間
[00:02:37.340 --> 00:02:41.380]  去到盡的時候 去到快要完結的時候
[00:02:41.380 --> 00:02:45.360]  我們究竟有什麼盼望在當中?
[00:02:45.360 --> 00:02:47.980]  我們一起低頭祈禱
[00:02:47.980 --> 00:02:49.900]  愛爾主耶穌基督 多謝祢
[00:02:49.900 --> 00:02:54.800]  多謝祢賜下聖經這個寶貴的話語給我們
[00:02:54.800 --> 00:02:56.340]  求聖靈幫助我們
[00:02:56.340 --> 00:03:01.160]  使我們能夠清楚明白祢的訊息
[00:03:01.160 --> 00:03:03.960]  又求神你捆綁撒旦的座位
[00:03:03.960 --> 00:03:09.040]  不要被網上技術的攔阻
[00:03:09.040 --> 00:03:14.800]  而令到我們聽不到神的話語
[00:03:14.800 --> 00:03:18.360]  反而求聖靈幫助我們
[00:03:18.360 --> 00:03:23.320]  使我們聽得清楚祢給我們的訊息
[00:03:23.320 --> 00:03:24.680]  我們感恩的禱告
[00:03:24.680 --> 00:03:30.200]  是奉主耶穌得逞的明智祈求 阿門
[00:03:30.200 --> 00:03:32.560]  好 我們一起看今天的主題
[00:03:32.560 --> 00:03:34.040]  今天的主題是
[00:03:34.040 --> 00:03:37.600]  我們人生的盡頭究竟是會怎樣?
[00:03:37.600 --> 00:03:42.960]  我們從《但義理書》12章那裏看到
[00:03:42.960 --> 00:03:44.880]  第五節那裏這樣說
[00:03:44.880 --> 00:03:48.680]  我但義理觀看 見另有兩個人站著
[00:03:48.680 --> 00:03:53.540]  一個在河這邊 一個在河那邊
[00:03:53.540 --> 00:03:58.000]  當但義理來到12章的時候
[00:03:58.000 --> 00:04:01.680]  這個啟示是從第十章開始
[00:04:01.680 --> 00:04:07.160]  當時但義理已經是去到他的晚年
[00:04:07.160 --> 00:04:12.680]  這個啟示是記載在大約是主前536年的時候
[00:04:12.680 --> 00:04:16.720]  如果我們大家看回在《但義理書》第一章的時候
[00:04:16.720 --> 00:04:20.960]  當時但義理被擄 被利物浦加尼撒王被擄的時候
[00:04:20.960 --> 00:04:23.280]  是主前605年
[00:04:23.280 --> 00:04:27.160]  和來到最後這個啟示的期間
