
[00:00:00.000 --> 00:00:04.660]  一個人的身份是直接影響我們的生活的
[00:00:04.660 --> 00:00:06.640]  比如我說過做爸爸的
[00:00:06.640 --> 00:00:09.680]  應該要好好地愛惜自己的兒女
[00:00:09.680 --> 00:00:13.380]  甚至是要維持家的運作
[00:00:13.380 --> 00:00:15.040]  要出去賺錢
[00:00:15.040 --> 00:00:18.360]  讓家人可以很舒適地過生活
[00:00:18.360 --> 00:00:20.860]  而我們基督徒是有不同的身份
[00:00:20.860 --> 00:00:22.240]  我們過去看過
[00:00:22.240 --> 00:00:25.200]  活石被建造成為靈弓
[00:00:25.200 --> 00:00:27.360]  就是他們有合一的見證
[00:00:27.360 --> 00:00:29.860]  這個是很重要的
[00:00:29.860 --> 00:00:32.720]  因為不同的石頭放在一起
[00:00:32.720 --> 00:00:35.540]  由一個很好的設計師去設計
[00:00:35.540 --> 00:00:37.440]  就成為一個宮殿
[00:00:37.440 --> 00:00:41.660]  神將我們放在同一個地方裡面
[00:00:41.660 --> 00:00:44.920]  讓我們互相剁毛 互相學習
[00:00:44.920 --> 00:00:47.320]  然後讓我們的生命更加美麗
[00:00:47.320 --> 00:00:48.780]  要有合一的見證
[00:00:48.780 --> 00:00:51.840]  被揀選的族類
[00:00:51.840 --> 00:00:56.740]  就是我們要為神去作出見證
[00:00:56.740 --> 00:00:59.040]  要結果子 榮耀神
[00:00:59.040 --> 00:01:02.680]  特別強調一切都是什麼呢?
[00:01:02.680 --> 00:01:06.340]  頭五項都是一個群體
[00:01:06.340 --> 00:01:07.920]  不是單打獨鬥
[00:01:07.920 --> 00:01:10.240]  是聖潔的國度
[00:01:10.240 --> 00:01:11.980]  我們在一個國家裡面
[00:01:11.980 --> 00:01:15.180]  我們就要遵從它的法律
[00:01:15.180 --> 00:01:18.040]  我們要信服神的主權
[00:01:18.040 --> 00:01:20.600]  是屬神的指紋
[00:01:20.600 --> 00:01:22.220]  就是神所寶貴的
[00:01:22.220 --> 00:01:23.600]  很簡單的舉個例子
[00:01:23.600 --> 00:01:26.640]  縱使可能是中國人 亞洲人
[00:01:26.640 --> 00:01:30.220]  當他進入了一個國家 進入了籍
[00:01:30.220 --> 00:01:32.400]  他的皮膚沒有變
[00:01:32.400 --> 00:01:35.280]  但是他的國籍已經變了
[00:01:35.280 --> 00:01:36.780]  可能是美國
[00:01:36.780 --> 00:01:39.120]  如果要撤僑的時候
[00:01:39.120 --> 00:01:40.660]  就看你的護照
[00:01:40.660 --> 00:01:42.360]  原來你是美國公民
[00:01:42.360 --> 00:01:44.380]  那你就可以撤僑了
[00:01:44.380 --> 00:01:47.000]  美國的軍機就會帶你走了
[00:01:47.000 --> 00:01:48.960]  你被人抓了的話
[00:01:48.960 --> 00:01:50.200]  在別國裡面
[00:01:50.200 --> 00:01:51.800]  可能美國就會出面
[00:01:51.800 --> 00:01:56.800]  帶你去爭取權利 要把你教出來
[00:01:56.800 --> 00:01:58.800]  那就是受到保護的
[00:01:58.800 --> 00:02:01.800]  原來我們屬神的指紋就是神保護我們
[00:02:01.800 --> 00:02:03.400]  是神所寶貴的
[00:02:03.400 --> 00:02:04.840]  但是我們有什麼責任呢?
[00:02:04.840 --> 00:02:07.200]  不要只是去享受這個權利
[00:02:07.200 --> 00:02:09.700]  我們要去敬拜 我們要去奉獻
