
[00:00:00.000 --> 00:00:06.220]  感謝上帝讓小弟有機會來到大家的教會當中
[00:00:06.220 --> 00:00:09.640]  一齊去崇拜,一齊分享上帝的說話
[00:00:09.640 --> 00:00:16.880]  在第二次世界大戰開始的時候
[00:00:16.880 --> 00:00:20.400]  英國準備向德國宣戰
[00:00:20.400 --> 00:00:26.360]  當時首相邱吉爾就在電台作出這個廣播
[00:00:27.640 --> 00:00:34.240]  而在電台就用一首音樂去伴奏
[00:00:34.240 --> 00:00:36.840]  邱吉爾首相的宣佈
[00:00:36.840 --> 00:00:41.080]  那首詩歌叫做《千古保障歌》
[00:00:41.080 --> 00:00:43.480]  稍後我們會唱
[00:00:43.480 --> 00:00:46.120]  這首詩歌大約的內容是講到
[00:00:46.120 --> 00:00:48.800]  上帝是人千古保障
[00:00:48.800 --> 00:00:50.680]  是人將來希望
[00:00:50.680 --> 00:00:53.360]  是人居所抵禦風雨
[00:00:53.360 --> 00:00:56.400]  是人永久家鄉
[00:00:56.400 --> 00:00:58.840]  這首詩歌其實是幾百年前
[00:00:58.840 --> 00:01:03.440]  英國一位詩人叫做Isaac Watts所寫的
[00:01:03.440 --> 00:01:08.920]  他寫這首詩歌是根據詩篇90篇寫成的
[00:01:08.920 --> 00:01:16.720]  詩篇90篇是摩西對人生一種體會的描述
[00:01:16.720 --> 00:01:18.800]  在他年紀老邁的時候
[00:01:18.800 --> 00:01:22.520]  他寫出這篇詩篇
[00:01:22.520 --> 00:01:24.240]  我們知道摩西的生平
[00:01:24.240 --> 00:01:27.440]  就是頭40年在埃及皇宮生活
[00:01:27.440 --> 00:01:30.720]  中間的40年在曠野漂流
[00:01:30.720 --> 00:01:32.720]  結婚生子
[00:01:32.720 --> 00:01:36.200]  最後40年就是90歲開始
[00:01:36.200 --> 00:01:38.440]  80歲開始
[00:01:38.440 --> 00:01:40.080]  40、80歲
[00:01:40.080 --> 00:01:45.640]  然後就是索特夫召他帶領以色列人離開埃及
[00:01:45.640 --> 00:01:48.200]  這個紀錄
[00:01:48.200 --> 00:01:50.040]  這段的描述
[00:01:50.040 --> 00:01:54.960]  正是他對人生一種的體會
[00:01:54.960 --> 00:01:56.400]  對我們來說
[00:01:56.400 --> 00:01:58.360]  他對人生的體會
[00:01:58.360 --> 00:02:01.440]  都是我們一種的寫照
[00:02:01.440 --> 00:02:03.680]  我們不想去到安息禮拜的時候
[00:02:03.680 --> 00:02:06.880]  才看到明白人生的意思
[00:02:06.880 --> 00:02:10.160]  我們希望人生每一個階段
[00:02:10.160 --> 00:02:12.560]  我們都去掌握到摩西
[00:02:12.560 --> 00:02:14.360]  他怎樣去看人生
[00:02:14.360 --> 00:02:20.720]  怎樣讓我們有智慧的去生活呢?
[00:02:20.720 --> 00:02:22.800]  今天是7月1日
[00:02:22.800 --> 00:02:26.040]  香港回歸21週年
[00:02:26.040 --> 00:02:28.400]  過去的日子是風風雨雨
[00:02:28.400 --> 00:02:30.480]  令我們有點擔心
[00:02:30.480 --> 00:02:33.560]  要麼就很熱切的投入社運
[00:02:33.560 --> 00:02:36.800]  要麼就很反對這些社運
[00:02:36.800 --> 00:02:41.080]  另一方面我們就可能不再理會了
[00:02:41.080 --> 00:02:42.920]  但無論如何
[00:02:42.920 --> 00:02:48.960]  環境是成為我們生活不可分割的一部分
[00:02:48.960 --> 00:02:54.840]  我們怎樣去面對我們現實的環境的轉變呢?
[00:02:54.840 --> 00:02:59.440]  摩西的禱告是給我們一些方向、一些出路
[00:02:59.440 --> 00:03:04.600]  我們都曉得上帝仍然去看顧我們
[00:03:04.600 --> 00:03:07.960]  在我們人生每一個世代當中
[00:03:07.960 --> 00:03:10.000]  都去帶領我們
[00:03:10.000 --> 00:03:14.520]  我們有聖經我們分開詩篇九十篇
[00:03:14.520 --> 00:03:19.120]  或者我們看回PowerPoint
[00:03:19.120 --> 00:03:23.400]  詩篇九十篇可以分開五個段落
[00:03:23.400 --> 00:03:25.000]  第一第二節
[00:03:25.000 --> 00:03:27.120]  就是第一個段落
[00:03:27.120 --> 00:03:30.240]  是講到上帝的永恆
[00:03:30.240 --> 00:03:33.240]  所以經文就告訴我們
[00:03:33.240 --> 00:03:35.520]  從耿古到永遠
[00:03:35.520 --> 00:03:36.960]  你是上帝
[00:03:36.960 --> 00:03:41.280]  摩西認定上帝是一個永恆的上帝
[00:03:41.280 --> 00:03:46.440]  然後由第三節到第十節
[00:03:46.440 --> 00:03:49.720]  就是講到人生的實況
[00:03:49.720 --> 00:03:53.080]  人生的實況就包括兩件事情
[00:03:53.080 --> 00:03:55.800]  有短有苦
[00:03:55.800 --> 00:03:59.920]  所以第三節到第六節
[00:03:59.920 --> 00:04:02.800]  就是講到短
[00:04:02.800 --> 00:04:06.080]  聖六就是用幾個描寫
[00:04:06.080 --> 00:04:08.080]  千年如雨過的昨日
[00:04:08.080 --> 00:04:10.640]  又如夜更的一更
[00:04:10.640 --> 00:04:15.280]  又被洪水沖去
[00:04:15.280 --> 00:04:17.760]  睡了一覺很快又醒
[00:04:17.760 --> 00:04:20.880]  好像草朝頭早生長
[00:04:20.880 --> 00:04:23.440]  晚上就凋萎枯乾
[00:04:23.440 --> 00:04:28.240]  這幾個描寫都是描寫一個短暫
[00:04:28.240 --> 00:04:31.440]  雖然我們說有很多日子
[00:04:31.440 --> 00:04:36.840]  我大約二十歲才來蘇聯
