
[00:00:00.000 --> 00:00:02.000]  第一位女朋友,早晨
[00:00:02.000 --> 00:00:03.000]  早晨
[00:00:03.000 --> 00:00:07.140]  先試一下方向
[00:00:07.140 --> 00:00:10.400]  「成為別人的朋友」
[00:00:10.400 --> 00:00:13.500]  一個很簡單、很直接明白的題目
[00:00:13.500 --> 00:00:15.900]  有沒有人有困難成為別人的朋友?
[00:00:15.900 --> 00:00:19.000]  沒什麼困難吧?
[00:00:19.000 --> 00:00:21.000]  那可以回家了吧?
[00:00:21.000 --> 00:00:22.500]  如果這麼容易的話
[00:00:22.500 --> 00:00:24.500]  就不用以下大半小時的時間
[00:00:24.500 --> 00:00:26.000]  去分享這個題目
[00:00:26.000 --> 00:00:27.500]  或者說這個題目
[00:00:27.500 --> 00:00:32.000]  一開始就用一個問題問大家
[00:00:32.000 --> 00:00:36.500]  有沒有人吃過這些餅?
[00:00:36.500 --> 00:00:39.500]  嘩!我看到你手在後面舉得很高
[00:00:39.500 --> 00:00:43.000]  你知不知道這個餅是多少年前吃的?
[00:00:43.000 --> 00:00:47.500]  總之是很小的時候
[00:00:47.500 --> 00:00:50.500]  這個餅是50年前已經停止出產的了
[00:00:50.500 --> 00:00:55.500]  加頓餅這間公司是50年前才出產
[00:00:55.500 --> 00:00:57.500]  都是我們小時候
[00:00:57.500 --> 00:01:00.500]  大家可能不知道這個叫做水泡餅
[00:01:00.500 --> 00:01:02.500]  水泡餅是一個鹹餅
[00:01:02.500 --> 00:01:03.500]  不是甜餅
[00:01:03.500 --> 00:01:05.500]  跟現在很流行的冬泥餅不同
[00:01:05.500 --> 00:01:07.500]  不是甜餅,是鹹餅
[00:01:07.500 --> 00:01:08.500]  蘸牛奶吃是很好的
[00:01:08.500 --> 00:01:11.500]  因為它不會溶化,非常好吃
[00:01:11.500 --> 00:01:14.500]  想起都還在回味,咬下去的那種感覺
[00:01:14.500 --> 00:01:16.500]  50年前已經不覺得了
[00:01:16.500 --> 00:01:18.500]  這個水泡餅有一個故事
[00:01:18.500 --> 00:01:20.500]  有沒有人聽過?
[00:01:20.500 --> 00:01:22.500]  有沒有聽過水泡餅的故事?
[00:01:22.500 --> 00:01:24.500]  沒有聽過?
[00:01:24.500 --> 00:01:26.500]  我小時候不斷講給大家聽
[00:01:26.500 --> 00:01:27.500]  聽了幾十年
[00:01:27.500 --> 00:01:30.500]  有一個媽媽帶著一個孩子在家裡
[00:01:30.500 --> 00:01:32.500]  撫養著孩子
[00:01:32.500 --> 00:01:35.500]  有一段時間,媽媽要出門
[00:01:35.500 --> 00:01:38.500]  出門,只剩下孩子在家裡,怎麼辦?
[00:01:38.500 --> 00:01:39.500]  會餓死他
[00:01:39.500 --> 00:01:42.500]  做了一個很大的水泡餅,怎麼做?
[00:01:42.500 --> 00:01:45.500]  吸在孩子身上
[00:01:45.500 --> 00:01:47.500]  10天8天回來都沒問題
[00:01:47.500 --> 00:01:48.500]  有水泡餅在面前
[00:01:48.500 --> 00:01:49.500]  肚子餓就怎樣?
[00:01:49.500 --> 00:01:52.500]  咬一口,再肚子餓就再咬一口
[00:01:52.500 --> 00:01:54.500]  短股這個水泡餅很大
[00:01:54.500 --> 00:01:56.500]  足夠吃一個星期都沒問題
[00:01:56.500 --> 00:01:58.500]  我媽媽就很安心地去了
[00:01:58.500 --> 00:02:01.500]  一星期回來,過兩星期回來
[00:02:01.500 --> 00:02:02.500]  看到孩子躺在地上
[00:02:02.500 --> 00:02:05.500]  軟軟的,病了怎麼辦?
[00:02:05.500 --> 00:02:07.500]  知道為什麼嗎?
[00:02:07.500 --> 00:02:10.500]  不夠吃嗎?不夠吃
[00:02:10.500 --> 00:02:11.500]  不是,餅還有很多
[00:02:11.500 --> 00:02:13.500]  大部分餅還在
[00:02:13.500 --> 00:02:16.500]  只是前面那一部吃了就算了
[00:02:16.500 --> 00:02:18.500]  為什麼孩子在地上呢?
[00:02:18.500 --> 00:02:19.500]  原來他懶惰
[00:02:19.500 --> 00:02:21.500]  這個故事小時候在家裡教我們
[00:02:21.500 --> 00:02:23.500]  記住,小朋友不要懶惰
[00:02:23.500 --> 00:02:25.500]  這麼大的餅做了給你吃
[00:02:25.500 --> 00:02:27.500]  轉過來,隨便吃都能吃到
[00:02:27.500 --> 00:02:29.500]  轉過來吃,很久都吃不完
[00:02:29.500 --> 00:02:31.500]  小朋友不要懶惰
[00:02:31.500 --> 00:02:33.500]  就是水泡餅的故事教導我們
