
[00:00:00.000 --> 00:00:02.680]  好 那丁文哲妹 我們上個禮拜
[00:00:02.680 --> 00:00:04.240]  講什麼 還記得嗎
[00:00:04.240 --> 00:00:07.060]  上禮拜講什麼
[00:00:07.060 --> 00:00:10.640]  這時候
[00:00:10.640 --> 00:00:14.800]  好像聲音都很小 來 上禮拜講什麼
[00:00:14.800 --> 00:00:16.860]  主題講什麼 還記得嗎
[00:00:16.860 --> 00:00:21.240]  主啊 我忍耐你們倒計時
[00:00:21.240 --> 00:00:28.840]  這時候
[00:00:29.380 --> 00:00:30.380]  啊
[00:00:30.380 --> 00:00:34.300]  與眾聖徒同德
[00:00:34.300 --> 00:00:38.480]  積業 積業你不太瞭解 就是產業啦
[00:00:38.480 --> 00:00:42.240]  你的property 是不是 我們上禮拜講得很精彩
[00:00:42.240 --> 00:00:45.040]  那個這個 有些人不在
[00:00:45.040 --> 00:00:47.920]  應該回去複習一下
[00:00:47.920 --> 00:00:50.960]  那麼事實上 按照保羅在這段經文裡面
[00:00:50.960 --> 00:00:54.020]  格羅西書第一章十二到十四節
[00:00:54.020 --> 00:00:57.360]  他做了第四個感謝 第四個
[00:00:57.440 --> 00:01:00.440]  啊 第四件事情 就說我們前面的信使
[00:01:00.440 --> 00:01:03.440]  一直講到說 我們要滿心知道
[00:01:03.440 --> 00:01:06.440]  神的旨意 對不對 保羅禱告
[00:01:06.440 --> 00:01:09.420]  為格羅西的信徒禱告說 滿心知道神的旨意
[00:01:09.420 --> 00:01:12.380]  幹嘛 知道神旨意幹嘛 有錢嗎
[00:01:12.380 --> 00:01:13.760]  有 這邊來了
[00:01:13.760 --> 00:01:17.780]  是不是 為什麼要知道神的旨意呢
[00:01:17.780 --> 00:01:20.960]  保羅說 知道神的旨意 你就會多認識神
[00:01:20.960 --> 00:01:23.960]  知道神的旨意 你的行事為人
[00:01:23.960 --> 00:01:26.920]  就能夠活出耶穌基督的樣子 就能夠多結果子
[00:01:26.920 --> 00:01:29.760]  你認識神的旨意 你就能夠感謝神
[00:01:29.760 --> 00:01:32.740]  你就能夠過一個靠主得聖喜樂的生活
[00:01:32.740 --> 00:01:34.740]  你就能夠過一個靠主得聖喜樂的生活
[00:01:34.740 --> 00:01:38.360]  所以上禮拜我們講到說 為什麼感謝神呢
[00:01:38.360 --> 00:01:41.700]  為了我們可以 神應許我們
[00:01:41.700 --> 00:01:44.120]  當我們信了耶穌之後 我們可以
[00:01:44.120 --> 00:01:47.400]  與眾生徒同得積業
[00:01:47.400 --> 00:01:50.720]  那個積業是什麼 那個積業是
[00:01:50.720 --> 00:01:54.040]  不能夠朽壞 不能夠衰殘 不會過去的
[00:01:54.040 --> 00:01:55.200]  這個積業
[00:01:55.700 --> 00:01:58.360]  這個積業是上帝允許給我們
[00:01:58.360 --> 00:02:01.360]  屬天的 不是屬地的
[00:02:01.360 --> 00:02:04.360]  地上的財富名利都會過去 但是天上的財富名利
[00:02:04.360 --> 00:02:07.500]  不 天上不是財富名利啦 天上是什麼
[00:02:07.500 --> 00:02:10.900]  積業 天上這個產業 上帝給我們
[00:02:10.900 --> 00:02:13.900]  允許的 它不會過去 Amen
[00:02:13.900 --> 00:02:17.820]  雖然你們都Amen 但是 你回了家之後
[00:02:17.820 --> 00:02:20.120]  你還是可能會去追求什麼
[00:02:20.120 --> 00:02:23.140]  再去買一棟房子 是嗎
[00:02:24.380 --> 00:02:25.640]  為什麼會這樣子
[00:02:25.640 --> 00:02:29.320]  為什麼 所以為什麼保留了禱告
[00:02:29.320 --> 00:02:31.260]  保留禱告
[00:02:31.260 --> 00:02:34.280]  因為呢 我們的肉體的眼睛啊
[00:02:34.280 --> 00:02:38.220]  還明亮的時候 你看到的都是花花世界
[00:02:38.220 --> 00:02:42.140]  只有當你心裡的眼睛打開的時候
[00:02:42.140 --> 00:02:45.380]  你才會看見那個看不見的 那個豐富的
[00:02:45.380 --> 00:02:48.220]  天上各樣屬靈的福氣
[00:02:48.220 --> 00:02:49.880]  你才會看見
[00:02:51.420 --> 00:02:54.520]  坦白說 如果不是神打開我的眼睛
[00:02:54.520 --> 00:02:57.240]  我今天也不會做傳道人
[00:02:57.240 --> 00:03:01.460]  沒時間講
[00:03:01.460 --> 00:03:05.160]  真的是很重要 需要 我們今天
[00:03:05.160 --> 00:03:08.160]  你在聽道的時候 你要禱告 你不是說 好
[00:03:08.160 --> 00:03:11.100]  看看今天 格木斯又有什麼花招
[00:03:11.100 --> 00:03:14.040]  又有什麼新鮮的道 不是 你要禱告主啊
[00:03:14.040 --> 00:03:16.320]  我的眼睛要被打開
[00:03:16.320 --> 00:03:20.080]  以至於你的話被解開的時候 我能夠明白
[00:03:22.400 --> 00:03:25.060]  所以劉師伯 我花工夫在這邊講
[00:03:25.060 --> 00:03:28.680]  原文怎麼說 不是我要秀我自己的原文
[00:03:28.680 --> 00:03:32.120]  我不是要秀自己的知識程度
[00:03:32.120 --> 00:03:34.720]  我是希望能夠讓神話
[00:03:34.720 --> 00:03:37.600]  原本神的話 明明白白的
[00:03:37.600 --> 00:03:39.540]  講解出來 讓你明白
[00:03:39.540 --> 00:03:44.100]  今天這個世代是一個不太求長進的世代
[00:03:44.100 --> 00:03:45.100]  承不承認
[00:03:45.100 --> 00:03:49.500]  你YouTube上面超過五分鐘的東西 大概沒有人會想要看
[00:03:50.760 --> 00:03:52.160]  除了劉庚宏
[00:03:52.160 --> 00:03:57.140]  跟他的直播搞那麼久
[00:03:57.140 --> 00:04:00.140]  要這麼久
[00:04:00.140 --> 00:04:01.580]  對不對
[00:04:01.580 --> 00:04:05.020]  大概你看一個東西 你一看 我不知道你是不是
[00:04:05.020 --> 00:04:08.000]  我一看那個視頻 我首先看它幾分鐘
[00:04:08.000 --> 00:04:12.660]  一兩分鐘 我還會看一看
[00:04:12.660 --> 00:04:16.560]  超過五分鐘以上
[00:04:16.560 --> 00:04:19.320]  找時間再看 對不對
[00:04:19.960 --> 00:04:21.220]  找什麼時間
[00:04:21.220 --> 00:04:23.440]  上廁所
[00:04:23.440 --> 00:04:30.720]  OK 那你要上久一點才行
[00:04:30.720 --> 00:04:34.720]  有準備 所以我們今天要來看
[00:04:34.720 --> 00:04:37.480]  保羅在這邊講到說 哥倫西書第一章
[00:04:37.480 --> 00:04:40.260]  十二到十四節 他說 又感現父
[00:04:40.260 --> 00:04:43.160]  叫我們人與眾聖徒在光明中同得基業
[00:04:43.160 --> 00:04:45.760]  他救了我們脫離黑暗的詮釋 你看
[00:04:45.760 --> 00:04:48.300]  我們上禮拜只講了一節 又感現父
[00:04:48.300 --> 00:04:51.620]  叫我們人與眾聖徒在光明中同得基業
[00:04:51.620 --> 00:04:53.640]  接下來
[00:04:53.640 --> 00:04:57.180]  保羅又講了兩件事情 要我們感謝
[00:04:57.180 --> 00:05:00.780]  第一件事情是 第二件事情是什麼呢
[00:05:00.780 --> 00:05:02.140]  他救了我們
[00:05:02.140 --> 00:05:09.420]  我知道了 那個幫我一下
[00:05:09.420 --> 00:05:11.380]  因為他這個需要 對
[00:05:11.380 --> 00:05:14.720]  他那個是圖畫要一直在那邊
[00:05:14.720 --> 00:05:16.700]  晃個大概二十秒吧
[00:05:17.480 --> 00:05:19.060]  八秒 好
[00:05:19.060 --> 00:05:22.200]  保羅說 要我們
[00:05:22.200 --> 00:05:25.500]  他救了我們脫離黑暗的詮釋
[00:05:25.500 --> 00:05:28.360]  把我們遷到他愛子的國裡
[00:05:28.360 --> 00:05:34.100]  這是第二件事情 對不對 第一件事情是
[00:05:34.100 --> 00:05:36.500]  與眾聖徒在光明中同得基業
[00:05:36.500 --> 00:05:38.980]  第二件事情 他救了我們脫離黑暗的詮釋
[00:05:38.980 --> 00:05:41.220]  把我們遷到他愛子的國裡
[00:05:41.220 --> 00:05:42.640]  好了
[00:05:42.640 --> 00:05:45.840]  所以保羅在這裡講到一件事情
[00:05:46.020 --> 00:05:49.260]  講到說 他救了我們
[00:05:49.260 --> 00:05:50.260]  他救了我們
[00:05:50.260 --> 00:05:55.040]  然後接著聽到說 他把我們遷到
[00:05:55.040 --> 00:05:56.460]  他愛子的國裡
[00:05:56.460 --> 00:06:01.840]  換句話說 保羅在這邊講一件事情
[00:06:01.840 --> 00:06:04.780]  其實他講的一個最基本的
[00:06:04.780 --> 00:06:07.640]  就是我們得救的事情
[00:06:07.640 --> 00:06:10.340]  救贖這個字 等一下我會解釋
[00:06:10.340 --> 00:06:14.400]  保羅在這邊講說 蒙救贖
[00:06:16.260 --> 00:06:18.240]  這個是比較神學用詞
[00:06:18.240 --> 00:06:21.660]  或者是說 當時候羅馬法庭的用詞
[00:06:21.660 --> 00:06:25.240]  但是救贖這個字 講白話點
[00:06:25.240 --> 00:06:28.120]  今天就是什麼 就是救恩
[00:06:28.120 --> 00:06:29.280]  就是得救
[00:06:29.280 --> 00:06:33.460]  現在說什麼 為什麼我們需要得救
[00:06:33.460 --> 00:06:36.800]  為什麼
[00:06:36.800 --> 00:06:42.880]  保羅在這裡說 他把我們從黑暗的詮釋當中
[00:06:42.880 --> 00:06:46.300]  遷到他愛子的國度裡面
[00:06:46.300 --> 00:06:50.400]  所以這講明了 為什麼我們需要得救
[00:06:50.400 --> 00:06:52.300]  原來我們是在 哪裡
[00:06:52.300 --> 00:06:56.060]  黑暗的詮釋 詮釋這個字就是
[00:06:56.060 --> 00:06:58.720]  就是一個 power
[00:06:58.720 --> 00:07:01.780]  詮釋就是一個 assorty
[00:07:01.780 --> 00:07:05.600]  詮釋是一個轄區 轄管的轄區
[00:07:05.600 --> 00:07:09.060]  現在烏克蘭戰爭正在進行打東部 有沒有
[00:07:10.440 --> 00:07:13.020]  那俄羅斯的軍隊就是一直打
[00:07:13.020 --> 00:07:16.040]  他現在想法就是怎麼樣 他把這個東部拿下來
[00:07:16.040 --> 00:07:19.000]  這是他最想要做的一件事情
[00:07:19.000 --> 00:07:22.060]  那如果 所以他現在第一步是怎麼樣
[00:07:22.060 --> 00:07:25.260]  現在已經好像是這樣做了 他第一步是怎麼樣
[00:07:25.260 --> 00:07:29.120]  他就把這個東部的地方 把它一切為二
[00:07:29.120 --> 00:07:33.520]  是不是 所以那個一切而為二
[00:07:33.520 --> 00:07:37.440]  那一部分 屬於俄羅斯軍隊的呢
[00:07:37.440 --> 00:07:39.160]  就變成是他什麼
[00:07:39.960 --> 00:07:42.720]  就變成他的轄區 你懂嗎
[00:07:42.720 --> 00:07:46.160]  就變成他的權勢所在
[00:07:46.160 --> 00:07:50.500]  所以在那一邊的烏克蘭的人
[00:07:50.500 --> 00:07:53.760]  他們就是在那個俄羅斯的軍隊的
[00:07:53.760 --> 00:07:55.520]  權下 你懂這意思嗎
[00:07:55.520 --> 00:07:58.380]  現在留著沒
[00:07:58.380 --> 00:08:04.440]  因此保羅說 他把我們拯救
[00:08:04.440 --> 00:08:07.720]  從哪裡拯救呢 從黑暗的詮釋
[00:08:07.720 --> 00:08:09.660]  黑暗的詮釋是指什麼
[00:08:10.760 --> 00:08:12.920]  魔鬼的詮釋底下
[00:08:12.920 --> 00:08:16.220]  也就是說 一個人還沒有認識耶穌的時候
[00:08:16.220 --> 00:08:18.520]  他是活在哪一個國度裡面呢
[00:08:18.520 --> 00:08:20.600]  哪裡
[00:08:20.600 --> 00:08:24.080]  哪裡
[00:08:24.080 --> 00:08:27.440]  你們信了主的人 告訴我
[00:08:27.440 --> 00:08:29.040]  你們以前活在哪裡
[00:08:29.040 --> 00:08:32.040]  說沒有那麼嚴重吧 牧師啊
[00:08:32.040 --> 00:08:35.260]  我也沒有覺得我活在黑暗的詮釋當中
[00:08:35.260 --> 00:08:37.800]  這就是眼睛沒有被打開
[00:08:40.060 --> 00:08:41.680]  神的話不會有錯
[00:08:41.680 --> 00:08:46.000]  保羅自己過去是多麼好的一個人
