
[00:00:00.000 --> 00:00:02.000]  好 今天的題目
[00:00:02.000 --> 00:00:05.000]  「獨生也精彩」
[00:00:05.000 --> 00:00:08.800]  今天我們回到哥倫多前書的分享
[00:00:08.800 --> 00:00:11.000]  陳牧師在兩個星期前
[00:00:11.000 --> 00:00:16.000]  跟我們分享了關於婚姻的教導
[00:00:16.000 --> 00:00:19.000]  一個非常重要的課題
[00:00:19.000 --> 00:00:25.000]  原因是婚姻是上帝創造人與人之間的第一種關係
[00:00:25.000 --> 00:00:28.500]  所以這個課題非常重要
[00:00:28.500 --> 00:00:32.500]  所以我們今天要好好學會
[00:00:32.500 --> 00:00:35.000]  在已婚中我們要好好學會
[00:00:35.000 --> 00:00:38.000]  如何去過上帝喜悅的婚姻生活
[00:00:38.000 --> 00:00:41.000]  不過回看現在的社會
[00:00:41.000 --> 00:00:43.000]  除了已婚的人之外
[00:00:43.000 --> 00:00:47.000]  也有相當多單身人士在社會
[00:00:47.000 --> 00:00:48.000]  教會也一樣
[00:00:48.000 --> 00:00:49.000]  你看看周圍
[00:00:49.000 --> 00:00:52.500]  是不是也看到一些你知道的單身人士
[00:00:52.500 --> 00:00:54.500]  也有的
[00:00:54.500 --> 00:00:57.000]  教會內外也一樣
[00:00:57.000 --> 00:01:02.000]  我記得陳牧在兩個星期前說到一個現象
[00:01:02.000 --> 00:01:07.000]  很多未婚的人拼命想進入婚姻
[00:01:07.000 --> 00:01:11.000]  但在婚姻中又想拼命爬出來
[00:01:11.000 --> 00:01:16.000]  爬出來後又想再一次拼命進入
[00:01:16.000 --> 00:01:18.000]  為什麼會這樣呢?
[00:01:18.000 --> 00:01:20.000]  因為有些人真的
[00:01:20.000 --> 00:01:21.000]  在人的角度
[00:01:21.000 --> 00:01:23.000]  有時人生缺少了婚姻
[00:01:23.000 --> 00:01:28.000]  好像不夠完美
[00:01:28.000 --> 00:01:30.000]  以前很多人都會這樣說
[00:01:30.000 --> 00:01:32.000]  男大當婚
[00:01:32.000 --> 00:01:34.000]  然後怎樣呢?
[00:01:34.000 --> 00:01:36.000]  女大當嫁
[00:01:36.000 --> 00:01:39.000]  這個其實是對的
[00:01:39.000 --> 00:01:43.000]  我覺得這是很恰當的說話
[00:01:43.000 --> 00:01:46.000]  但是回看社會的現況
[00:01:46.000 --> 00:01:48.000]  好像有點麻煩
[00:01:48.000 --> 00:01:52.000]  咦!根據香港政府統計處的公佈
[00:01:52.000 --> 00:01:56.000]  2018年15歲以上的婚姻狀況是怎樣呢?
[00:01:56.000 --> 00:01:58.000]  所有男人當中
[00:01:58.000 --> 00:02:03.000]  原來61.7%結婚
[00:02:03.000 --> 00:02:06.000]  而女人是55.7%結婚
[00:02:06.000 --> 00:02:09.000]  但當中無論是從未結婚
[00:02:09.000 --> 00:02:11.000]  喪偶、離婚、分居
[00:02:11.000 --> 00:02:13.000]  所有單身人士合共
[00:02:13.000 --> 00:02:18.000]  男人的單身人士是38.3%
[00:02:18.000 --> 00:02:21.000]  而女士是44.3%
[00:02:21.000 --> 00:02:24.000]  這個百分比的背後
[00:02:24.000 --> 00:02:26.000]  說的是多少人呢?
[00:02:26.000 --> 00:02:29.000]  原來已婚的人大約是380萬
[00:02:29.000 --> 00:02:32.000]  而單身的人大約是270萬
[00:02:32.000 --> 00:02:35.000]  相當大的數字
[00:02:35.000 --> 00:02:38.000]  原來單身都不是一個小數目
[00:02:38.000 --> 00:02:44.000]  你猜猜這幾年結婚的人數增多還是減少呢?
[00:02:44.000 --> 00:02:48.000]  嘩!這麼聰明
[00:02:48.000 --> 00:02:51.000]  結婚的人數真是在下降
[00:02:51.000 --> 00:02:54.000]  如果對比2017年和2018年
[00:02:54.000 --> 00:02:58.000]  2018年下降了4.8%
[00:02:58.000 --> 00:03:01.000]  但2019年和2018年相比
[00:03:01.000 --> 00:03:04.000]  再下降了9.8%
[00:03:04.000 --> 00:03:06.000]  繼續下降
[00:03:06.000 --> 00:03:11.000]  似乎可能單身人數會繼續上升
[00:03:11.000 --> 00:03:13.000]  如果是這樣看
[00:03:13.000 --> 00:03:16.000]  這也是我們相當需要關注的問題
[00:03:16.000 --> 00:03:18.000]  為什麼呢?
[00:03:18.000 --> 00:03:21.000]  因為社會現況反映在教會的狀況
[00:03:21.000 --> 00:03:25.000]  即是教會要照顧一群單身人士
[00:03:25.000 --> 00:03:28.000]  如果一群這麼大的數目的單身人士
[00:03:28.000 --> 00:03:30.000]  我們的牧羊會怎樣走呢?
[00:03:30.000 --> 00:03:33.000]  我們不可以忽視他們的需要
[00:03:33.000 --> 00:03:35.000]  兩個星期前
[00:03:35.000 --> 00:03:39.000]  陳牧師說的是婚姻秘笈
[00:03:39.000 --> 00:03:43.000]  教我們如何在婚姻中得到上帝的祝福
[00:03:43.000 --> 00:03:45.000]  過上喜悅的生活
[00:03:45.000 --> 00:03:49.000]  今天在哥倫多前書七章二十五至四十節
[00:03:49.000 --> 00:03:51.000]  保羅提到
