
[00:00:00.000 --> 00:00:02.600]  丁永子妹,我們很高興
[00:00:02.600 --> 00:00:07.240]  其實我這兩天的心情轉換有點不太容易
[00:00:07.240 --> 00:00:10.280]  昨天嫁女兒,今天要講一個很嚴肅的道
[00:00:10.280 --> 00:00:13.800]  就是講到要致死忠心的見證人
[00:00:13.800 --> 00:00:16.640]  要講到殉道,要講到受苦
[00:00:16.640 --> 00:00:19.160]  但是丁永子妹,其實我們人生當中
[00:00:19.160 --> 00:00:20.760]  事實上你會發現
[00:00:20.760 --> 00:00:24.200]  這個苦跟樂常常都是在一起的
[00:00:24.200 --> 00:00:27.280]  你會發現,就是像剛才那首詩歌所說的
[00:00:27.280 --> 00:00:30.880]  在這個苦難的中間看見恩典
[00:00:30.880 --> 00:00:33.440]  反而是很多時候在你受苦的時候
[00:00:33.440 --> 00:00:35.240]  你感覺到神的恩典
[00:00:35.240 --> 00:00:39.080]  感覺到神的同在,其實是更強烈的
[00:00:39.080 --> 00:00:40.880]  我們看今天這一段經文
[00:00:40.880 --> 00:00:42.680]  我們上次提到這一段經文裡面
[00:00:42.680 --> 00:00:44.480]  講到這兩個見證人
[00:00:44.480 --> 00:00:47.480]  我們曾經提過,這兩個見證人
[00:00:47.480 --> 00:00:49.800]  當然有的人講說這是摩西跟以利亞
[00:00:49.800 --> 00:00:51.400]  有的人又是講這個以洛
[00:00:51.400 --> 00:00:53.560]  反正就是有不同的說法
[00:00:53.560 --> 00:00:56.200]  其實在這個聖經裡面
[00:00:56.200 --> 00:01:00.240]  那麼事實上,這兩個見證人應該是指的
[00:01:00.240 --> 00:01:03.800]  就是說在摩西的時候,在教會裡面
[00:01:03.800 --> 00:01:07.400]  有這些的基督徒,這些愛主的基督徒
[00:01:07.400 --> 00:01:09.840]  願意為主的緣故受苦的基督徒
[00:01:09.840 --> 00:01:11.680]  他們在摩西的時候
[00:01:11.680 --> 00:01:16.840]  會要出來努力地做見證傳福音
[00:01:16.840 --> 00:01:18.840]  那你會發現這兩個見證人
[00:01:18.840 --> 00:01:20.640]  真是無敵鐵金剛,有沒有?
[00:01:20.640 --> 00:01:22.240]  有沒有看過無敵鐵金剛?
[00:01:22.240 --> 00:01:27.240]  哇,那個真是,這個叫做什麼?什麼功能啊?
[00:01:27.240 --> 00:01:31.240]  他們真的是功力雄厚
[00:01:31.240 --> 00:01:33.640]  凡是敵對他的人,聖經上裡面就說
[00:01:33.640 --> 00:01:37.240]  他就怎麼樣?用口中噴出的什麼?
[00:01:37.240 --> 00:01:39.840]  火去燒滅他們,哇,好厲害啊!
[00:01:39.840 --> 00:01:42.840]  哇,我們什麼基督徒會,我們都是被殺被打的
[00:01:42.840 --> 00:01:45.240]  竟然基督徒會到這種地步,這麼厲害
[00:01:45.240 --> 00:01:47.840]  哇,我真巴不得我像這兩個傳道人一樣
[00:01:47.840 --> 00:01:50.640]  哇,這個武功高強,出去傳福音的時候
[00:01:50.640 --> 00:01:57.240]  誰敢反對我,誰敢不聽我,我就馬上怎麼樣?
[00:01:57.240 --> 00:02:01.440]  但是你看這兩個見證人前面很風光啊
[00:02:01.440 --> 00:02:05.840]  今天我們就看到,結果呢?
[00:02:05.840 --> 00:02:10.240]  你注意看,在今天的第七節就講什麼?
[00:02:10.240 --> 00:02:15.240]  他說,他們做完見證的時候
[00:02:15.240 --> 00:02:19.240]  他們做完見證的時候就怎麼樣?
[00:02:19.240 --> 00:02:22.640]  就有從無底坑裡上來的時候
[00:02:22.640 --> 00:02:26.240]  必與他們交戰,並且得勝
[00:02:26.240 --> 00:02:31.240]  把他們怎麼樣?把他們殺了
[00:02:31.240 --> 00:02:34.240]  我想我們稍微去了解一下
[00:02:34.240 --> 00:02:37.440]  大家可能這個啟示錄已經一年的時間了
[00:02:37.440 --> 00:02:40.040]  那你可以看見整個啟示錄裡面
[00:02:40.040 --> 00:02:41.640]  到了最後末世的時候
[00:02:41.640 --> 00:02:44.840]  有七年所謂的大災難期間,對不對?
[00:02:44.840 --> 00:02:47.040]  所以這時候已經是到了末後了
[00:02:47.040 --> 00:02:49.440]  已經是到了後面的三年半了
[00:02:49.440 --> 00:02:53.040]  那麼在這個時候呢,你就可以看見
[00:02:53.040 --> 00:02:56.040]  就有一個,這啟示錄裡面有提到
[00:02:56.040 --> 00:02:59.440]  有一些的解經就提到所謂被提,對不對?
[00:02:59.440 --> 00:03:03.840]  那被提呢,在這個地方就講到說
[00:03:03.840 --> 00:03:07.840]  這一個見證人他被殺了,是不是?
[00:03:07.840 --> 00:03:09.840]  被殺了之後還不夠啊
[00:03:09.840 --> 00:03:16.840]  而且你看見,接著是怎麼樣子呢?
[00:03:16.840 --> 00:03:24.440]  這一段時間就是整個見證人出來傳福音
[00:03:24.440 --> 00:03:27.840]  在全地,在各民各族各方都在那邊傳福音
[00:03:27.840 --> 00:03:33.840]  可以說這是一個大量的廣傳福音的時候
[00:03:33.840 --> 00:03:37.040]  當這兩個見證人就預表著
[00:03:37.040 --> 00:03:39.840]  這是一個非常,真是那種
[00:03:39.840 --> 00:03:43.040]  好像我們說的趕死隊,特種部隊
