
[00:00:00.000 --> 00:00:03.500]  很多年前有一天呢 我在教會裡面
[00:00:03.500 --> 00:00:05.500]  那時候只有我一個人在
[00:00:05.500 --> 00:00:09.500]  因為邵叔叔他們跟彭老師到大陸去宣教
[00:00:09.500 --> 00:00:14.500]  突然間有一個老年人來說要拜訪邵叔叔
[00:00:14.500 --> 00:00:18.500]  然後呢 他帶了一個青年
[00:00:18.500 --> 00:00:23.500]  這個青年呢 一聽就知道他應該是原住民
[00:00:23.500 --> 00:00:27.500]  但是這個老年人卻是一臉外省的樣子
[00:00:27.500 --> 00:00:29.500]  而且那個口音也是個外省腔
[00:00:29.500 --> 00:00:34.500]  那我就搞不清楚這個老年人跟年輕人的組合
[00:00:34.500 --> 00:00:37.500]  他們跟我說他們是父子
[00:00:37.500 --> 00:00:39.500]  我真是有點不太明白
[00:00:39.500 --> 00:00:42.500]  因為這個兒子長得跟父親一點都不像
[00:00:42.500 --> 00:00:44.500]  然後口音也不像
[00:00:44.500 --> 00:00:47.500]  然後呢 這個老年人就跟我說
[00:00:47.500 --> 00:00:53.500]  他是六龜教會的楊許牧師
[00:00:53.500 --> 00:01:00.500]  那我就很熟悉 這個名字很熟悉
[00:01:00.500 --> 00:01:04.500]  為什麼 因為我常常聽邵叔彭老師說
[00:01:04.500 --> 00:01:08.500]  那就很可惜邵叔不在 我就負責接待他們
[00:01:08.500 --> 00:01:10.500]  那跟他談了一小時的話
[00:01:10.500 --> 00:01:13.500]  那這是我第一次見到楊許牧師 也是最後一次
[00:01:13.500 --> 00:01:18.500]  因為前幾天在報紙上看到他已經過世
[00:01:18.500 --> 00:01:23.500]  那這個楊許牧師過世的時候
[00:01:23.500 --> 00:01:29.500]  就有一個他收養的孤兒在報紙上接受記者的採訪
[00:01:29.500 --> 00:01:31.500]  紀念這楊許牧師
[00:01:31.500 --> 00:01:35.500]  那這個孤兒他就說如果沒有楊許牧師
[00:01:35.500 --> 00:01:38.500]  我一輩子是一個醫學標本
[00:01:38.500 --> 00:01:42.500]  那這個孤兒是誰呢 他的名字叫楊恩典
[00:01:42.500 --> 00:01:46.500]  那這個楊恩典他一生下來就沒有兩隻手
[00:01:46.500 --> 00:01:48.500]  就是個殘廢
[00:01:48.500 --> 00:01:54.500]  那所以就被當作不吉祥的東西就丟在路邊
[00:01:54.500 --> 00:01:58.500]  那也沒有人敢去碰他 因為大家都覺得他很不吉祥
